Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,4,50,50,0.07931237843424352,5.925507246376812,299,1,50,50,0.09353233606642022,5.867290969899665,299
2,21,112,210,0.11106037693851847,5.740557413600892,299,1,140,203,0.020280701871448006,5.970769230769231,299
3,8,73,81,0.10126702582264653,5.758907469342252,299,1,73,81,0.15524495100034,5.666042363433668,299
4,4,155,191,0.0033777031236157913,5.864347826086957,299,1,156,191,0.005151482037825888,5.842898550724637,299
5,12,143,177,0.0819655308844683,5.711571906354515,299,1,145,177,0.023512704448797668,5.6697658862876255,299
6,7,76,86,0.18033320642003792,5.820624303232999,299,1,76,86,0.1553505593542318,5.742564102564103,299
7,15,66,70,0.255255530367982,5.32644370122631,299,1,66,70,0.34832169640271005,5.565039018952063,299
8,10,146,162,0.18555812328336485,5.9851282051282055,299,1,135,150,0.20669335490828178,5.914046822742475,299
9,26,43,195,0.0936046252705008,5.918706800445931,299,1,57,195,0.04948045932823019,5.710457079152731,299
10,29,22,174,0.17200564381578176,4.721806020066889,299,1,60,174,0.044833978538598954,4.869230769230769,299
11,4,67,77,0.10544369909780744,6.5361872909699,299,1,68,77,0.07442972530797513,6.469609810479375,299
12,4,182,199,0.13128617853137267,5.352263099219621,299,1,179,196,0.13274400355427168,5.303433667781494,299
13,5,82,100,0.12474609793868413,5.624816053511705,299,1,82,100,0.2259500399115657,5.500936454849498,299
14,8,64,87,0.20614284542489636,5.895406911928651,299,1,65,86,0.12588698714804858,5.724080267558528,299
15,10,38,41,0.061874911485203445,5.486711259754738,299,1,35,40,0.22844239450209425,5.320066889632107,299
16,4,121,154,0.045090885180168044,5.809966555183946,299,1,123,154,0.19145473835662297,5.803344481605351,299
17,10,146,160,0.0025246162261069174,5.714425863991082,299,1,146,160,0.0003553825152248183,5.4912820512820515,299
18,4,77,98,0.1008560456845764,5.726243032329989,299,1,78,98,0.09917465238528551,5.6871348940914155,299
19,10,157,190,0.03693694774549659,6.044325529542921,299,1,161,188,0.02598595188577849,6.374091415830546,299
20,6,43,48,0.009012823674503652,5.416967670011148,299,1,43,48,0.0011680245330684368,5.2901672240802675,299
21,9,78,89,0.1721437726505739,5.996365663322185,299,1,78,87,0.13646531690640268,5.855451505016722,299
22,12,108,200,0.16179237374423328,6.19139353400223,299,1,141,198,0.17428052474682987,6.006220735785953,299
