Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,50,50,0.07931237843424352,5.925507246376812,299,2,2,2,0.32206503498436123,5.120713489409142,299,2,2,2,0.32206503498436123,5.120713489409142,299
2,21,112,210,0.11106037693851847,5.740557413600892,299,2,2,2,0.054395816982772995,4.153868450390189,299,2,2,2,0.054395816982772995,4.153868450390189,299
3,8,73,81,0.10126702582264653,5.758907469342252,299,2,2,2,0.0037907619079066337,4.9626309921962095,299,2,2,2,0.0037907619079066337,4.9626309921962095,299
4,4,155,191,0.0033777031236157913,5.864347826086957,299,2,2,2,0.17054756207329724,5.0490078037904125,299,2,2,2,0.17054756207329724,5.0490078037904125,299
5,12,143,177,0.0819655308844683,5.711571906354515,299,2,2,2,0.13375581258828095,4.225841694537347,299,2,2,2,0.13375581258828095,4.225841694537347,299
6,7,76,86,0.18033320642003792,5.820624303232999,299,2,2,2,0.04203394024761256,4.488695652173913,299,2,2,2,0.04203394024761256,4.488695652173913,299
7,15,66,70,0.255255530367982,5.32644370122631,299,2,2,2,0.12266830517184979,4.250791527313266,299,2,2,2,0.12266830517184979,4.250791527313266,299
8,10,146,162,0.18555812328336485,5.9851282051282055,299,2,2,2,0.14451402508951347,4.445819397993311,299,2,2,2,0.14451402508951347,4.445819397993311,299
9,26,43,195,0.0936046252705008,5.918706800445931,299,2,2,2,0.0006022090853690503,4.160914158305463,299,2,2,2,0.0006022090853690503,4.160914158305463,299
10,29,22,174,0.17200564381578176,4.721806020066889,299,2,2,2,0.0942314726088872,3.7050390189520623,299,2,2,2,0.0942314726088872,3.7050390189520623,299
11,4,67,77,0.10544369909780744,6.5361872909699,299,2,2,2,0.023210673832275402,4.383723522853957,299,2,2,2,0.023210673832275402,4.383723522853957,299
12,4,182,199,0.13128617853137267,5.352263099219621,299,2,2,2,0.08754549865934816,4.32907469342252,299,2,2,2,0.08754549865934816,4.32907469342252,299
13,5,82,100,0.12474609793868413,5.624816053511705,299,2,2,2,0.12851237895325968,3.8254626532887404,299,2,2,2,0.12851237895325968,3.8254626532887404,299
14,8,64,87,0.20614284542489636,5.895406911928651,299,2,2,2,0.03907874446331607,4.7328874024526195,299,2,2,2,0.03907874446331607,4.7328874024526195,299
15,10,38,41,0.061874911485203445,5.486711259754738,299,2,2,2,0.12132559757582248,3.884570791527313,299,2,2,2,0.12132559757582248,3.884570791527313,299
16,4,121,154,0.045090885180168044,5.809966555183946,299,2,2,2,0.013008713674900476,3.9843255295429207,299,2,2,2,0.013008713674900476,3.9843255295429207,299
17,10,146,160,0.0025246162261069174,5.714425863991082,299,2,2,2,0.0994244175765698,4.009319955406912,299,2,2,2,0.0994244175765698,4.009319955406912,299
18,4,77,98,0.1008560456845764,5.726243032329989,299,2,2,2,0.8299804151290526,5.782943143812709,299,2,2,2,0.8299804151290526,5.782943143812709,299
19,10,157,190,0.03693694774549659,6.044325529542921,299,2,2,2,0.19331407671313772,4.8071571906354515,299,2,2,2,0.19331407671313772,4.8071571906354515,299
20,6,43,48,0.009012823674503652,5.416967670011148,299,2,2,2,0.11499270834457868,3.857480490523969,299,2,2,2,0.11499270834457868,3.857480490523969,299
21,9,78,89,0.1721437726505739,5.996365663322185,299,2,2,2,0.0021709008554037517,4.471125975473802,299,2,2,2,0.0021709008554037517,4.471125975473802,299
22,12,108,200,0.16179237374423328,6.19139353400223,299,2,2,2,0.0683120125390181,4.471727982162765,299,2,2,2,0.0683120125390181,4.471727982162765,299
23,4,91,154,0.15521336365338528,5.897369007803791,299,2,2,2,0.08661434167792013,4.11701226309922,299,2,2,2,0.08661434167792013,4.11701226309922,299
24,4,30,30,0.19350446083072026,5.406243032329989,299,2,2,2,0.03714786352590343,4.2035451505016725,299,2,2,2,0.03714786352590343,4.2035451505016725,299
25,17,48,134,0.2188165965645329,5.769476031215162,299,2,2,2,0.06609788772728868,4.925819397993311,299,2,2,2,0.06609788772728868,4.925819397993311,299
