Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,6,7,0.07931237843424352,5.925507246376812,299,2,2,2,0.3230138450978962,5.874314381270903,299,2,2,2,0.3230138450978962,5.874314381270903,299
2,21,13,46,0.11106037693851847,5.740557413600892,299,2,2,2,0.06508720267689495,6.076209587513936,299,2,2,2,0.06508720267689495,6.076209587513936,299
3,8,7,11,0.10126702582264653,5.758907469342252,299,2,2,2,0.2576171633113373,5.8014046822742475,299,2,2,2,0.2576171633113373,5.8014046822742475,299
4,4,4,20,0.0033777031236157913,5.864347826086957,299,2,2,2,0.017085819624518182,5.555585284280936,299,2,2,2,0.017085819624518182,5.555585284280936,299
5,12,30,62,0.0819655308844683,5.711571906354515,299,2,2,2,0.12532054184324132,5.436410256410256,299,2,2,2,0.12532054184324132,5.436410256410256,299
6,7,4,10,0.18033320642003792,5.820624303232999,299,2,2,2,0.03819418922410858,5.65870680044593,299,2,2,2,0.03819418922410858,5.65870680044593,299
7,15,4,27,0.255255530367982,5.32644370122631,299,2,2,2,0.23591538642319787,5.531304347826087,299,2,2,2,0.23591538642319787,5.531304347826087,299
8,10,16,50,0.18555812328336485,5.9851282051282055,299,2,2,2,0.2778563469974302,5.990256410256411,299,2,2,2,0.2778563469974302,5.990256410256411,299
9,26,4,48,0.0936046252705008,5.918706800445931,299,2,2,2,0.10037118232513888,5.367580824972129,299,2,2,2,0.10037118232513888,5.367580824972129,299
10,29,3,58,0.17200564381578176,4.721806020066889,299,2,2,2,0.06709248026731912,4.808807134894091,299,2,2,2,0.06709248026731912,4.808807134894091,299
11,4,6,15,0.10544369909780744,6.5361872909699,299,2,2,2,0.05194150888350718,6.305685618729097,299,2,2,2,0.05194150888350718,6.305685618729097,299
12,4,6,8,0.13128617853137267,5.352263099219621,299,2,2,2,0.12951030197516325,5.438127090301004,299,2,2,2,0.12951030197516325,5.438127090301004,299
13,5,9,26,0.12474609793868413,5.624816053511705,299,2,2,2,0.2751241931012647,5.870144927536232,299,2,2,2,0.2751241931012647,5.870144927536232,299
14,8,8,30,0.20614284542489636,5.895406911928651,299,2,2,2,0.17334604429087763,5.29917502787068,299,2,2,2,0.17334604429087763,5.29917502787068,299
15,10,7,20,0.061874911485203445,5.486711259754738,299,2,2,2,0.1968568965946954,5.2382831661092535,299,2,2,2,0.1968568965946954,5.2382831661092535,299
16,4,26,41,0.045090885180168044,5.809966555183946,299,2,2,2,0.014230269205174933,6.068517279821628,299,2,2,2,0.014230269205174933,6.068517279821628,299
17,10,17,24,0.0025246162261069174,5.714425863991082,299,2,2,2,0.008255252351103564,5.229074693422519,299,2,2,2,0.008255252351103564,5.229074693422519,299
18,4,4,9,0.1008560456845764,5.726243032329989,299,2,2,2,0.05047889207580678,5.6236343366778145,299,2,2,2,0.05047889207580678,5.6236343366778145,299
19,10,7,17,0.03693694774549659,6.044325529542921,299,2,2,2,0.03247170422165868,6.2603121516165,299,2,2,2,0.03247170422165868,6.2603121516165,299
20,6,5,17,0.009012823674503652,5.416967670011148,299,2,2,2,0.29988940406017006,5.1237012263099215,299,2,2,2,0.29988940406017006,5.1237012263099215,299
21,9,4,13,0.1721437726505739,5.996365663322185,299,2,2,2,0.07382262799398265,5.818305462653289,299,2,2,2,0.07382262799398265,5.818305462653289,299
22,12,12,26,0.16179237374423328,6.19139353400223,299,2,2,2,0.16904581593072676,5.769810479375697,299,2,2,2,0.16904581593072676,5.769810479375697,299
23,4,21,46,0.15521336365338528,5.897369007803791,299,2,2,2,0.2623696267751492,6.2907692307692304,299,2,2,2,0.2623696267751492,6.2907692307692304,299
24,4,5,10,0.19350446083072026,5.406243032329989,299,2,2,2,0.17566404782126666,5.378639910813824,299,2,2,2,0.17566404782126666,5.378639910813824,299
25,17,3,27,0.2188165965645329,5.769476031215162,299,2,2,2,0.23773416069970876,5.9395540691192865,299,2,2,2,0.23773416069970876,5.9395540691192865,299
26,5,11,31,0.3523884249828385,5.823589743589744,299,2,2,2,0.6067559275201546,5.648517279821627,299,2,2,2,0.6067559275201546,5.648517279821627,299
