Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,50,104,0.07931237843424352,5.925507246376812,299,2,2,2,0.10351374610823305,4.3875808249721295,299,2,2,2,0.10351374610823305,4.3875808249721295,299
2,121,112,246,0.11106037693851847,5.740557413600892,299,2,2,2,0.04473751801057688,3.9125083612040132,299,2,2,2,0.04473751801057688,3.9125083612040132,299
3,78,73,111,0.10126702582264653,5.758907469342252,299,2,2,2,0.2803019433595675,3.120490523968785,299,2,2,2,0.2803019433595675,3.120490523968785,299
4,111,155,278,0.0033777031236157913,5.864347826086957,299,2,2,2,0.0917405133295236,5.6231438127090305,299,2,2,2,0.0917405133295236,5.6231438127090305,299
5,81,143,242,0.0819655308844683,5.711571906354515,299,2,2,2,0.04867870720117268,3.3853065774804905,299,2,2,2,0.04867870720117268,3.3853065774804905,299
6,44,76,115,0.18033320642003792,5.820624303232999,299,2,2,2,0.09167018171243661,2.8679152731326645,299,2,2,2,0.09167018171243661,2.8679152731326645,299
7,71,66,87,0.255255530367982,5.32644370122631,299,2,2,2,0.04897478292186279,3.0183500557413603,299,2,2,2,0.04897478292186279,3.0183500557413603,299
8,203,146,270,0.18555812328336485,5.9851282051282055,299,2,2,2,0.00039606818981027873,4.733333333333333,299,2,2,2,0.00039606818981027873,4.733333333333333,299
9,148,43,274,0.0936046252705008,5.918706800445931,299,2,2,2,5.717822598081573e-06,3.428026755852843,299,2,2,2,5.717822598081573e-06,3.428026755852843,299
10,206,22,279,0.17200564381578176,4.721806020066889,299,2,2,2,0.07303116621095437,4.587469342251951,299,2,2,2,0.07303116621095437,4.587469342251951,299
11,75,67,101,0.10544369909780744,6.5361872909699,299,2,2,2,0.20982434600172495,4.175139353400223,299,2,2,2,0.20982434600172495,4.175139353400223,299
12,107,182,246,0.13128617853137267,5.352263099219621,299,2,2,2,7.430733144673709e-06,4.3648606465997775,299,2,2,2,7.430733144673709e-06,4.3648606465997775,299
13,183,82,266,0.12474609793868413,5.624816053511705,299,2,2,2,0.045790754780526396,3.081025641025641,299,2,2,2,0.045790754780526396,3.081025641025641,299
14,176,64,239,0.20614284542489636,5.895406911928651,299,2,2,2,0.3245858892793374,4.160111482720178,299,2,2,2,0.3245858892793374,4.160111482720178,299
15,167,38,267,0.061874911485203445,5.486711259754738,299,2,2,2,0.009764593262221658,3.235897435897436,299,2,2,2,0.009764593262221658,3.235897435897436,299
16,27,121,179,0.045090885180168044,5.809966555183946,299,2,2,2,0.00012400930155941273,3.4032107023411373,299,2,2,2,0.00012400930155941273,3.4032107023411373,299
17,144,146,212,0.0025246162261069174,5.714425863991082,299,2,2,2,0.0001523291643616953,3.028160535117057,299,2,2,2,0.0001523291643616953,3.028160535117057,299
18,53,77,212,0.1008560456845764,5.726243032329989,299,2,2,2,0.012075125488168548,3.668829431438127,299,2,2,2,0.012075125488168548,3.668829431438127,299
19,168,157,253,0.03693694774549659,6.044325529542921,299,2,2,2,0.026915391762384548,3.864593088071349,299,2,2,2,0.026915391762384548,3.864593088071349,299
20,198,43,257,0.009012823674503652,5.416967670011148,299,2,2,2,0.21516351161365654,3.6352285395763655,299,2,2,2,0.21516351161365654,3.6352285395763655,299
21,23,78,101,0.1721437726505739,5.996365663322185,299,2,2,2,0.001847791608301604,3.8785953177257526,299,2,2,2,0.001847791608301604,3.8785953177257526,299
22,58,108,232,0.16179237374423328,6.19139353400223,299,2,2,2,0.000408872117135842,4.7096098104793755,299,2,2,2,0.000408872117135842,4.7096098104793755,299
