Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,17,18,0.07931237843424352,5.925507246376812,299,3,3,3,0.05927359926458277,5.29948717948718,299,3,3,3,0.05927359926458277,5.29948717948718,299
2,21,37,104,0.11106037693851847,5.740557413600892,299,3,3,3,0.036232994828574235,5.3078929765886285,299,3,3,3,0.036232994828574235,5.3078929765886285,299
3,8,40,44,0.10126702582264653,5.758907469342252,299,2,3,3,0.11909279403900258,5.467335562987737,299,2,3,3,0.11909279403900258,5.467335562987737,299
4,4,26,71,0.0033777031236157913,5.864347826086957,299,3,3,3,0.08904995456037042,5.216744704570791,299,3,3,3,0.08904995456037042,5.216744704570791,299
5,12,74,111,0.0819655308844683,5.711571906354515,299,3,3,3,0.28332814235283077,5.089609810479375,299,3,3,3,0.28332814235283077,5.089609810479375,299
6,7,9,16,0.18033320642003792,5.820624303232999,299,3,3,3,0.012258525262776494,5.636477146042363,299,3,3,3,0.012258525262776494,5.636477146042363,299
7,15,6,52,0.255255530367982,5.32644370122631,299,3,3,3,0.36683728272521077,5.041003344481605,299,3,3,3,0.36683728272521077,5.041003344481605,299
8,10,60,104,0.18555812328336485,5.9851282051282055,299,3,3,3,0.20874382327872043,5.343589743589743,299,3,3,3,0.20874382327872043,5.343589743589743,299
9,26,11,93,0.0936046252705008,5.918706800445931,299,3,3,3,0.14819196157834105,5.660579710144927,299,3,3,3,0.14819196157834105,5.660579710144927,299
10,29,8,99,0.17200564381578176,4.721806020066889,299,3,3,3,0.11336992461083245,4.690434782608696,299,3,3,3,0.11336992461083245,4.690434782608696,299
11,4,31,48,0.10544369909780744,6.5361872909699,299,3,3,3,0.08057592449230283,5.6181047937569675,299,3,3,3,0.08057592449230283,5.6181047937569675,299
12,4,33,56,0.13128617853137267,5.352263099219621,299,3,3,3,0.14774201070768397,5.668160535117057,299,3,3,3,0.14774201070768397,5.668160535117057,299
13,5,35,52,0.12474609793868413,5.624816053511705,299,3,3,3,0.06475379800662716,5.607246376811594,299,3,3,3,0.06475379800662716,5.607246376811594,299
14,8,29,66,0.20614284542489636,5.895406911928651,299,3,3,3,0.12628790545679688,5.257814938684504,299,3,3,3,0.12628790545679688,5.257814938684504,299
15,10,21,26,0.061874911485203445,5.486711259754738,299,3,3,3,0.2799235778855962,4.58113712374582,299,3,3,3,0.2799235778855962,4.58113712374582,299
16,4,71,102,0.045090885180168044,5.809966555183946,299,2,3,3,0.09656958040937333,5.282118171683389,299,2,3,3,0.09656958040937333,5.282118171683389,299
17,10,33,37,0.0025246162261069174,5.714425863991082,299,3,3,3,0.12880955446074394,4.710323299888517,299,3,3,3,0.12880955446074394,4.710323299888517,299
18,4,38,60,0.1008560456845764,5.726243032329989,299,3,3,3,0.0005300108175236806,6.144860646599777,299,3,3,3,0.0005300108175236806,6.144860646599777,299
19,10,47,123,0.03693694774549659,6.044325529542921,299,3,3,3,0.03338008995057056,6.699375696767001,299,3,3,3,0.03338008995057056,6.699375696767001,299
20,6,14,18,0.009012823674503652,5.416967670011148,299,3,3,3,0.0218528858991968,4.776544035674471,299,3,3,3,0.0218528858991968,4.776544035674471,299
21,9,23,45,0.1721437726505739,5.996365663322185,299,3,3,3,0.0691262439067358,5.335585284280937,299,3,3,3,0.0691262439067358,5.335585284280937,299
22,12,28,37,0.16179237374423328,6.19139353400223,299,3,3,3,0.24864752562374626,5.4055072463768115,299,3,3,3,0.24864752562374626,5.4055072463768115,299
23,4,36,77,0.15521336365338528,5.897369007803791,299,2,3,3,0.24208233862563322,5.627045707915273,299,2,3,3,0.24208233862563322,5.627045707915273,299
24,4,14,20,0.19350446083072026,5.406243032329989,299,2,3,3,0.16702620975111515,4.856209587513935,299,2,3,3,0.16702620975111515,4.856209587513935,299
25,17,11,95,0.2188165965645329,5.769476031215162,299,3,3,3,0.3149019255786204,5.768138238573021,299,3,3,3,0.3149019255786204,5.768138238573021,299
26,5,35,76,0.3523884249828385,5.823589743589744,299,3,3,3,0.027513094899380943,4.976833890746934,299,3,3,3,0.027513094899380943,4.976833890746934,299
27,8,19,61,0.006273179123515847,6.034202898550725,299,3,3,3,0.027662549891594564,5.381337792642141,299,3,3,3,0.027662549891594564,5.381337792642141,299
28,7,54,110,0.07425705652634519,5.225039018952063,299,3,3,3,0.12693052421980688,4.644905239687849,299,3,3,3,0.12693052421980688,4.644905239687849,299
29,30,77,124,0.1126949754011122,5.044526198439242,299,3,3,3,0.14135858009640997,4.618929765886287,299,3,3,3,0.14135858009640997,4.618929765886287,299
30,7,75,91,0.05366575135173719,5.006153846153846,299,2,3,3,0.1393634707489395,4.447090301003344,299,2,3,3,0.1393634707489395,4.447090301003344,299
31,6,61,93,0.11013186567986182,4.734113712374582,299,3,3,3,0.11704310021086294,4.963121516164994,299,3,3,3,0.11704310021086294,4.963121516164994,299
32,37,45,122,0.14470071044484203,5.562051282051282,299,2,3,3,0.1367813354895206,4.985351170568562,299,2,3,3,0.1367813354895206,4.985351170568562,299
33,17,15,33,0.013813055726832193,5.0369676700111485,299,2,3,3,0.12934176312387455,5.021293199554069,299,2,3,3,0.12934176312387455,5.021293199554069,299
34,5,11,12,0.38899911708237955,5.947558528428094,299,3,3,3,0.21005973329938266,5.773667781493868,299,3,3,3,0.21005973329938266,5.773667781493868,299
35,2,16,21,0.05687190045479178,6.792954292084727,299,2,3,3,0.035110517485732504,6.314827201783723,299,2,3,3,0.035110517485732504,6.314827201783723,299
36,8,10,16,0.07244945476523276,5.29340022296544,299,3,3,3,0.08531925185804203,5.0717279821627645,299,3,3,3,0.08531925185804203,5.0717279821627645,299
37,4,10,15,0.4187321484698301,5.67257525083612,299,2,3,3,0.10297384615977065,5.3650836120401335,299,2,3,3,0.10297384615977065,5.3650836120401335,299
