Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,7,50,98,0.07931237843424352,5.925507246376812,299,5,52,98,0.06290593773184032,5.921783723522854,299
2,71,112,228,0.11106037693851847,5.740557413600892,299,5,156,220,0.20719223385039665,6.156231884057971,299
3,15,73,89,0.10126702582264653,5.758907469342252,299,5,73,89,0.18695571156765278,5.846956521739131,299
4,39,155,198,0.0033777031236157913,5.864347826086957,299,5,167,197,0.0008234593826495506,5.886020066889632,299
5,31,143,214,0.0819655308844683,5.711571906354515,299,5,94,146,0.09614153022643737,5.8818283166109255,299
6,14,76,95,0.18033320642003792,5.820624303232999,299,5,76,95,0.03540297796999458,5.700423634336678,299
7,39,66,78,0.255255530367982,5.32644370122631,299,5,66,78,0.3930099089703494,5.411705685618729,299
8,21,146,209,0.18555812328336485,5.9851282051282055,299,5,146,205,0.2667081055483538,5.663634336677815,299
9,71,43,247,0.0936046252705008,5.918706800445931,299,5,63,247,0.0450637201084236,5.59835005574136,299
10,63,22,200,0.17200564381578176,4.721806020066889,299,5,75,200,0.05921255699814555,4.8878706800445935,299
11,33,67,90,0.10544369909780744,6.5361872909699,299,5,67,90,0.08904397520629775,6.66329988851728,299
12,10,182,216,0.13128617853137267,5.352263099219621,299,5,178,211,0.15250327290039575,5.299531772575251,299
13,20,82,244,0.12474609793868413,5.624816053511705,299,5,84,240,0.06325524331854036,5.540022296544036,299
14,24,64,114,0.20614284542489636,5.895406911928651,299,5,74,111,0.220988498844228,5.818907469342252,299
15,20,38,46,0.061874911485203445,5.486711259754738,299,5,30,42,0.2081156411332319,5.2672686733556295,299
16,6,121,166,0.045090885180168044,5.809966555183946,299,4,121,166,0.053113235910708795,5.842185061315496,299
17,80,146,178,0.0025246162261069174,5.714425863991082,299,5,146,178,0.05903405268261954,5.372709030100334,299
18,18,77,140,0.1008560456845764,5.726243032329989,299,5,95,140,0.05907625668977457,5.566711259754738,299
19,52,157,220,0.03693694774549659,6.044325529542921,299,5,113,156,0.35240963598663977,7.331817168338907,299
20,40,43,56,0.009012823674503652,5.416967670011148,299,5,30,33,0.1379622075333054,4.7787290969899665,299
21,16,78,95,0.1721437726505739,5.996365663322185,299,5,78,95,0.17507119926084191,5.704503901895206,299
22,28,108,216,0.16179237374423328,6.19139353400223,299,5,139,214,0.31010800369474767,6.2099442586399105,299
23,10,91,192,0.15521336365338528,5.897369007803791,299,5,93,192,0.18445242427418995,5.877614269788183,299
24,11,30,31,0.19350446083072026,5.406243032329989,299,5,30,31,0.21086557618194013,5.389342251950947,299
25,57,48,190,0.2188165965645329,5.769476031215162,299,5,43,55,0.17415437171511128,5.7903901895206245,299
26,32,82,256,0.3523884249828385,5.823589743589744,299,5,153,256,0.22158051781848576,5.182564102564102,299
27,13,87,145,0.006273179123515847,6.034202898550725,299,5,91,145,0.018028312939087684,5.848272017837235,299
28,9,104,212,0.07425705652634519,5.225039018952063,299,5,104,208,0.08426442918855559,5.177502787068004,299
29,59,152,244,0.1126949754011122,5.044526198439242,299,5,153,244,0.18564351771602772,4.731505016722408,299
30,44,104,235,0.05366575135173719,5.006153846153846,299,5,143,235,0.1805687503601957,4.766131549609811,299
31,14,161,218,0.11013186567986182,4.734113712374582,299,5,161,218,0.09583817437921058,4.563723522853958,299
32,107,140,221,0.14470071044484203,5.562051282051282,299,5,140,217,0.3334803438276591,5.33288740245262,299
33,90,76,236,0.013813055726832193,5.0369676700111485,299,5,123,236,0.04590603128454601,4.6925083612040135,299
34,25,120,202,0.38899911708237955,5.947558528428094,299,5,120,174,0.2133943431743136,5.911727982162764,299
35,7,58,76,0.05687190045479178,6.792954292084727,299,4,58,76,0.053892869494410744,6.750345596432553,299
36,14,110,130,0.07244945476523276,5.29340022296544,299,5,110,130,0.1376376985813503,5.309632107023411,299
37,42,17,139,0.4187321484698301,5.67257525083612,299,5,17,35,0.31976053969971774,5.613444816053511,299
38,10,191,223,0.029829828809561497,5.695005574136009,299,5,191,223,0.03552355173180993,5.638104793756968,299
39,26,117,245,0.39821765939322196,6.228004459308807,299,5,115,241,0.4930222968409823,6.54711259754738,299
40,58,163,245,0.10923168298892778,5.27901895206243,299,5,163,245,0.1843945944296781,5.228405797101449,299
41,80,138,251,0.0986554635765809,5.48989966555184,299,5,161,240,0.09172075585825838,5.265707915273133,299
42,28,89,230,0.21310340189195254,5.670657748049052,299,5,89,226,0.026334964847702414,5.79469342251951,299
43,11,198,246,0.05712049727965628,5.2901226309921965,299,5,198,246,0.0825995883890481,5.316967670011148,299
44,65,119,196,0.13013846935293302,6.263099219620959,299,5,55,62,0.21747563775170586,5.993511705685619,299
45,30,180,244,0.002994100849694382,5.82180602006689,299,5,182,244,0.09442635206795344,5.12247491638796,299
