Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,31,17,38,0.07931237843424352,5.925507246376812,299,5,17,34,0.06346569384129956,6.154024526198439,299
2,121,37,213,0.11106037693851847,5.740557413600892,299,5,75,194,0.12918542132749045,5.534292084726867,299
3,78,40,96,0.10126702582264653,5.758907469342252,299,5,9,22,0.2923399321975614,4.688651059085842,299
4,111,26,247,0.0033777031236157913,5.864347826086957,299,5,56,139,0.05403453477078631,5.283522853957637,299
5,81,74,215,0.0819655308844683,5.711571906354515,299,5,51,119,0.11436582277744498,5.731036789297659,299
6,44,9,56,0.18033320642003792,5.820624303232999,299,5,9,25,0.054550721944076785,5.00927536231884,299
7,71,6,83,0.255255530367982,5.32644370122631,299,5,30,71,0.28730161955364575,5.204526198439242,299
8,203,60,248,0.18555812328336485,5.9851282051282055,299,5,80,210,0.11356071742172087,5.707045707915273,299
9,148,11,212,0.0936046252705008,5.918706800445931,299,5,58,199,0.20615867695652368,4.901627647714604,299
10,206,8,260,0.17200564381578176,4.721806020066889,299,5,78,255,0.20270287724791547,4.022006688963211,299
11,75,31,85,0.10544369909780744,6.5361872909699,299,5,11,15,0.13743707369003164,5.36,299
12,107,33,217,0.13128617853137267,5.352263099219621,299,5,64,178,0.23969237104629793,4.8763210702341135,299
13,183,35,235,0.12474609793868413,5.624816053511705,299,5,72,215,0.19969116701218148,4.424303232998885,299
14,176,29,220,0.20614284542489636,5.895406911928651,299,5,13,45,0.2106638904603363,5.928896321070234,299
15,167,21,240,0.061874911485203445,5.486711259754738,299,5,46,189,0.35046948979188197,5.895072463768116,299
16,27,71,149,0.045090885180168044,5.809966555183946,299,5,76,149,0.1212393659060386,5.611460423634337,299
17,144,33,198,0.0025246162261069174,5.714425863991082,299,5,12,15,0.23356888755180694,4.189364548494983,299
18,53,38,186,0.1008560456845764,5.726243032329989,299,5,37,125,0.025191187749991007,5.737881828316611,299
19,168,47,215,0.03693694774549659,6.044325529542921,299,5,7,22,0.2816145847779804,5.470479375696767,299
20,198,14,237,0.009012823674503652,5.416967670011148,299,5,43,159,0.06358536972525276,5.720579710144928,299
21,23,23,82,0.1721437726505739,5.996365663322185,299,5,34,82,0.03879298231942302,5.4169453734671125,299
22,58,28,67,0.16179237374423328,6.19139353400223,299,5,26,55,0.37257502056856573,5.820267558528428,299
23,38,36,192,0.15521336365338528,5.897369007803791,299,5,50,159,0.2419721392815879,5.564593088071349,299
24,52,14,61,0.19350446083072026,5.406243032329989,299,5,11,16,0.23181950415574293,5.3764771460423635,299
25,145,11,228,0.2188165965645329,5.769476031215162,299,5,32,186,0.3865353772785738,5.430858416945373,299
26,86,35,227,0.3523884249828385,5.823589743589744,299,5,71,223,0.10841171556771127,4.650144927536232,299
27,94,19,166,0.006273179123515847,6.034202898550725,299,5,47,141,0.07759046116572559,5.932753623188406,299
28,21,54,203,0.07425705652634519,5.225039018952063,299,5,62,201,0.07749961681163059,4.8015607580824975,299
29,175,77,227,0.1126949754011122,5.044526198439242,299,5,19,34,0.20458453258089204,4.40216276477146,299
30,166,75,236,0.05366575135173719,5.006153846153846,299,5,105,236,0.1883170830963513,4.179041248606466,299
31,165,61,221,0.11013186567986182,4.734113712374582,299,5,69,203,0.17497889643571218,4.533667781493868,299
32,178,45,239,0.14470071044484203,5.562051282051282,299,5,50,112,0.05358156698114977,5.286778149386845,299
33,154,15,209,0.013813055726832193,5.0369676700111485,299,5,12,43,0.157129041753981,4.304258639910814,299
34,132,11,173,0.38899911708237955,5.947558528428094,299,5,35,125,0.30483882421579744,5.263411371237458,299
35,34,16,75,0.05687190045479178,6.792954292084727,299,5,14,36,0.09849199037020331,6.5429431438127095,299
36,145,10,197,0.07244945476523276,5.29340022296544,299,5,8,18,0.2476962426977346,5.017034559643255,299
37,93,10,118,0.4187321484698301,5.67257525083612,299,5,5,11,0.1497624834572569,5.2504347826086954,299
38,117,56,151,0.029829828809561497,5.695005574136009,299,5,12,17,0.042969031685318265,4.8071571906354515,299
39,172,43,238,0.39821765939322196,6.228004459308807,299,5,80,187,0.5867800768304977,5.7902787068004455,299
40,192,85,228,0.10923168298892778,5.27901895206243,299,5,20,33,0.3187994774837045,4.666198439241917,299
41,134,37,196,0.0986554635765809,5.48989966555184,299,5,22,37,0.14471782954227988,4.608383500557413,299
42,71,9,98,0.21310340189195254,5.670657748049052,299,5,9,23,0.26571997405102676,4.734113712374582,299
43,130,31,177,0.05712049727965628,5.2901226309921965,299,5,63,177,0.11090762271623614,5.12149386845039,299
44,163,55,197,0.13013846935293302,6.263099219620959,299,5,6,33,0.2781006664088965,5.974827201783723,299
45,65,37,235,0.002994100849694382,5.82180602006689,299,5,81,229,0.17808726518628482,4.475652173913043,299
46,138,41,176,0.6399211574387471,6.335250836120402,299,5,13,57,0.7644309809709594,6.990301003344482,299
47,67,43,229,0.06205337496888233,5.327045707915273,299,5,84,226,0.19974815073715657,4.356967670011148,299
48,107,72,197,0.2662721152325376,6.520802675585284,299,5,22,39,0.08768968570711339,7.463121516164994,299
49,65,69,165,0.28682014814364953,5.814648829431438,299,5,70,165,0.21313279656662798,5.655652173913044,299
50,170,21,217,0.08330319940036783,5.1288963210702345,299,5,85,204,0.1399921044873767,4.461583054626533,299
51,189,54,239,0.19175397147076612,5.7154069119286515,299,5,47,168,0.0987217972279227,5.193913043478261,299
52,103,10,178,0.3555795333739128,5.506176142697882,299,5,29,173,0.10477655095286596,5.22015607580825,299
53,24,77,241,0.06612946434652679,5.169453734671126,299,5,82,233,0.17056906924390558,4.671772575250836,299
54,31,29,91,0.056909679227877256,5.074247491638796,299,5,29,85,0.09803512518550743,4.425284280936455,299
55,48,60,236,0.14780955429520162,5.05752508361204,299,5,87,221,0.17212265803947457,4.437413600891862,299
56,201,31,240,0.07487420890403716,5.378216276477146,299,5,13,29,0.13394913277625814,4.267001114827202,299
57,34,13,42,0.11651091044705225,5.932931995540692,299,5,10,38,0.07741442686626517,5.182943143812709,299
58,110,13,169,0.532617531728279,5.936633221850613,299,5,48,163,0.31883165763446475,5.390590858416945,299
59,112,66,204,0.25940832098680644,6.072107023411371,299,5,72,188,0.08859823128969574,5.604347826086957,299
60,112,9,204,0.20211844392547051,5.941872909698997,299,5,25,201,0.3339657578563381,5.809698996655518,299
61,164,24,230,0.22909159349117758,5.326622073578595,299,5,16,31,0.2771593417880337,4.612753623188405,299
62,59,59,201,0.20173462863153957,5.994247491638796,299,5,76,201,0.30216171681298365,4.854336677814938,299
63,85,35,224,0.13136117279132203,5.518037904124861,299,5,87,218,0.20309540477026256,5.24711259754738,299
64,41,27,162,0.0063428936109778036,5.489208472686734,299,5,63,162,0.18962142647268798,5.081248606465998,299
65,193,14,235,0.2872080231030043,5.4396432552954295,299,5,55,209,0.1699053326892529,4.818037904124861,299
66,34,48,168,0.02816546292748803,5.7215384615384615,299,5,53,167,0.02827716667914587,5.164882943143812,299
67,88,42,226,0.2125026282908904,5.924838350055741,299,5,42,202,0.03651783079235276,5.7610702341137126,299
68,47,37,151,0.07225196500155302,7.276967670011148,299,5,37,128,0.08198549151757195,5.997993311036789,299
69,145,12,233,0.08531648098086178,5.155629877369008,299,5,60,233,0.15098479223571226,4.568985507246377,299
70,76,25,95,0.04629308312842597,5.795562987736901,299,5,7,18,0.2511989779769793,4.653979933110368,299
