Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,7,17,36,0.07931237843424352,5.925507246376812,299,6,1,15,0.05901220010671238,5.204437012263099,299
2,71,37,163,0.11106037693851847,5.740557413600892,299,80,1,154,0.10019496711208302,5.26015607580825,299
3,15,40,59,0.10126702582264653,5.758907469342252,299,13,1,33,0.1350536950419826,5.470323299888517,299
4,39,26,128,0.0033777031236157913,5.864347826086957,299,40,1,73,0.0004064087190122492,5.37948717948718,299
5,31,74,172,0.0819655308844683,5.711571906354515,299,16,1,25,0.32036182312251116,5.271326644370123,299
6,14,9,19,0.18033320642003792,5.820624303232999,299,14,1,17,0.018277730758300435,5.437591973244147,299
7,39,6,67,0.255255530367982,5.32644370122631,299,39,1,59,0.04495580016421823,5.138751393534002,299
8,21,60,173,0.18555812328336485,5.9851282051282055,299,65,1,160,0.20055048479684867,5.446555183946488,299
9,71,11,161,0.0936046252705008,5.918706800445931,299,82,1,154,0.08029355224913735,5.20891861761427,299
10,63,8,140,0.17200564381578176,4.721806020066889,299,74,1,140,0.09983810500027064,4.3592865105908585,299
11,33,31,63,0.10544369909780744,6.5361872909699,299,13,1,25,0.2706358779193271,5.571215161649945,299
12,10,33,74,0.13128617853137267,5.352263099219621,299,13,1,56,0.09956113484527372,5.173266443701226,299
13,20,35,144,0.12474609793868413,5.624816053511705,299,46,1,143,0.15396281998037042,5.5027870680044595,299
14,24,29,99,0.20614284542489636,5.895406911928651,299,25,1,42,0.14027085577454412,5.030501672240803,299
15,20,21,36,0.061874911485203445,5.486711259754738,299,21,1,36,0.10954267096515927,4.907179487179487,299
16,6,71,119,0.045090885180168044,5.809966555183946,299,7,1,25,0.009774906567637574,5.419197324414716,299
17,80,33,151,0.0025246162261069174,5.714425863991082,299,86,1,148,0.09155553537065816,4.556142697881828,299
18,18,38,101,0.1008560456845764,5.726243032329989,299,19,1,27,1.1246450051608779e-05,5.984392419175028,299
19,52,47,155,0.03693694774549659,6.044325529542921,299,22,1,41,0.009860926863779526,6.471460423634337,299
20,40,14,51,0.009012823674503652,5.416967670011148,299,28,1,44,0.8757734901896939,4.941716833890747,299
21,16,23,63,0.1721437726505739,5.996365663322185,299,16,1,62,0.009312043435306958,5.539264214046823,299
22,28,28,51,0.16179237374423328,6.19139353400223,299,27,1,38,0.025502860667874536,5.4969453734671125,299
23,10,36,116,0.15521336365338528,5.897369007803791,299,46,1,116,0.14270214113178187,5.713623188405797,299
24,11,14,24,0.19350446083072026,5.406243032329989,299,11,1,24,0.06757335061783087,4.733154960981048,299
25,57,11,143,0.2188165965645329,5.769476031215162,299,58,1,123,0.17152890256030784,5.639955406911929,299
26,32,35,172,0.3523884249828385,5.823589743589744,299,72,1,163,0.0026804802343619546,5.595362318840579,299
27,13,19,93,0.006273179123515847,6.034202898550725,299,29,1,90,0.029377485617253413,5.894738015607581,299
28,9,54,147,0.07425705652634519,5.225039018952063,299,26,1,106,0.005850166573108489,5.102497212931995,299
29,59,77,185,0.1126949754011122,5.044526198439242,299,94,1,178,0.08015475553095043,4.817480490523969,299
30,44,75,192,0.05366575135173719,5.006153846153846,299,82,1,184,0.18123629877091008,4.247781493868451,299
31,14,61,129,0.11013186567986182,4.734113712374582,299,51,1,125,0.08345330832650463,4.938573021181717,299
