Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,6,35,0.07931237843424352,5.925507246376812,299,31,4,35,0.07732080618396835,5.912931995540691,299
2,121,13,174,0.11106037693851847,5.740557413600892,299,121,5,174,0.14068143435671845,6.097926421404682,299
3,78,7,83,0.10126702582264653,5.758907469342252,299,78,5,83,0.10002911788733326,5.7786399108138236,299
4,111,4,126,0.0033777031236157913,5.864347826086957,299,111,4,126,0.0033777031236157913,5.864347826086957,299
5,81,30,182,0.0819655308844683,5.711571906354515,299,115,5,182,0.09518343854708863,5.742408026755853,299
6,44,4,53,0.18033320642003792,5.820624303232999,299,44,4,53,0.18033320642003792,5.820624303232999,299
7,71,4,74,0.255255530367982,5.32644370122631,299,71,4,74,0.255255530367982,5.32644370122631,299
8,203,16,215,0.18555812328336485,5.9851282051282055,299,203,5,215,0.2313006610253292,6.352017837235229,299
9,148,4,190,0.0936046252705008,5.918706800445931,299,148,4,190,0.0936046252705008,5.918706800445931,299
10,206,3,239,0.17200564381578176,4.721806020066889,299,206,3,239,0.17200564381578176,4.721806020066889,299
11,75,6,79,0.10544369909780744,6.5361872909699,299,75,4,79,0.10983160581126115,6.518060200668896,299
12,107,6,120,0.13128617853137267,5.352263099219621,299,107,4,120,0.1271226282771535,5.4164771460423635,299
13,183,9,211,0.12474609793868413,5.624816053511705,299,183,5,211,0.3865524468837005,5.656365663322185,299
14,176,8,193,0.20614284542489636,5.895406911928651,299,176,5,193,0.2153258257493016,5.654336677814939,299
15,167,7,183,0.061874911485203445,5.486711259754738,299,165,5,181,0.07656968463338881,5.499910813823857,299
16,27,26,113,0.045090885180168044,5.809966555183946,299,27,5,37,0.04002773088783608,6.304414715719064,299
17,144,17,177,0.0025246162261069174,5.714425863991082,299,144,5,177,0.004733488823207984,5.593913043478261,299
18,53,4,74,0.1008560456845764,5.726243032329989,299,53,4,74,0.1008560456845764,5.726243032329989,299
19,168,7,186,0.03693694774549659,6.044325529542921,299,168,4,186,0.0515359900739685,6.070367892976589,299
20,198,5,217,0.009012823674503652,5.416967670011148,299,198,5,217,0.009012823674503652,5.416967670011148,299
21,23,4,25,0.1721437726505739,5.996365663322185,299,23,4,25,0.1721437726505739,5.996365663322185,299
22,58,12,64,0.16179237374423328,6.19139353400223,299,58,5,64,0.20383750794963096,5.85108138238573,299
23,38,21,171,0.15521336365338528,5.897369007803791,299,66,5,129,0.31873500327746696,6.357725752508361,299
24,52,5,58,0.19350446083072026,5.406243032329989,299,52,5,58,0.19350446083072026,5.406243032329989,299
25,145,3,195,0.2188165965645329,5.769476031215162,299,145,3,195,0.2188165965645329,5.769476031215162,299
26,86,11,199,0.3523884249828385,5.823589743589744,299,88,4,199,0.3459458365686915,5.900289855072463,299
27,94,12,139,0.006273179123515847,6.034202898550725,299,99,5,139,0.005830992479727149,6.064325529542921,299
28,21,17,172,0.07425705652634519,5.225039018952063,299,21,5,172,0.046984115033002344,5.356254180602007,299
29,175,18,186,0.1126949754011122,5.044526198439242,299,175,5,186,0.08239542258169658,5.256588628762541,299
30,166,8,189,0.05366575135173719,5.006153846153846,299,166,4,189,0.06356667099033214,5.076544035674471,299
31,165,4,181,0.11013186567986182,4.734113712374582,299,165,4,181,0.11013186567986182,4.734113712374582,299
32,178,19,194,0.14470071044484203,5.562051282051282,299,178,5,194,0.35410096027261795,5.682363433667781,299
33,154,10,192,0.013813055726832193,5.0369676700111485,299,154,4,192,0.017907603340121595,5.021984392419175,299
34,132,3,148,0.38899911708237955,5.947558528428094,299,132,3,148,0.38899911708237955,5.947558528428094,299
35,34,5,43,0.05687190045479178,6.792954292084727,299,34,5,43,0.05687190045479178,6.792954292084727,299
36,145,6,167,0.07244945476523276,5.29340022296544,299,145,4,167,0.017976211555574155,5.326064659977703,299
37,93,3,101,0.4187321484698301,5.67257525083612,299,93,3,101,0.4187321484698301,5.67257525083612,299
38,117,13,146,0.029829828809561497,5.695005574136009,299,117,5,146,0.12643846545789408,5.802095875139353,299
39,172,6,201,0.39821765939322196,6.228004459308807,299,172,4,201,0.41248422214243763,6.333154960981048,299
