Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,6,7,0.07931237843424352,5.925507246376812,299,4,3,4,0.06418595188198198,5.8935562987736905,299
2,21,13,46,0.11106037693851847,5.740557413600892,299,20,3,31,0.16505949334127812,6.095139353400223,299
3,8,7,11,0.10126702582264653,5.758907469342252,299,8,3,10,0.12452586651923814,5.790590858416945,299
4,4,4,20,0.0033777031236157913,5.864347826086957,299,4,3,20,0.003896075399164553,5.852129319955407,299
5,12,30,62,0.0819655308844683,5.711571906354515,299,22,3,62,0.08142452740897188,5.712151616499443,299
6,7,4,10,0.18033320642003792,5.820624303232999,299,7,3,9,0.161516358536133,5.821917502787068,299
7,15,4,27,0.255255530367982,5.32644370122631,299,15,3,26,0.2428611190156892,5.333065774804905,299
8,10,16,50,0.18555812328336485,5.9851282051282055,299,10,3,29,0.23407762125971143,6.346934225195095,299
9,26,4,48,0.0936046252705008,5.918706800445931,299,26,3,46,0.10057263128135746,5.898193979933111,299
10,29,3,58,0.17200564381578176,4.721806020066889,299,29,3,58,0.17200564381578176,4.721806020066889,299
11,4,6,15,0.10544369909780744,6.5361872909699,299,4,3,15,0.10543525991346861,6.494158305462653,299
12,4,6,8,0.13128617853137267,5.352263099219621,299,4,3,8,0.1438824973654205,5.403991081382386,299
13,5,9,26,0.12474609793868413,5.624816053511705,299,5,3,26,0.17274487980177178,5.661739130434783,299
14,8,8,30,0.20614284542489636,5.895406911928651,299,8,3,16,0.21537591854670968,5.6291638795986625,299
15,10,7,20,0.061874911485203445,5.486711259754738,299,10,3,20,0.10390331633798006,5.519598662207358,299
16,4,26,41,0.045090885180168044,5.809966555183946,299,4,3,9,0.035619056028863574,6.276008918617614,299
17,10,17,24,0.0025246162261069174,5.714425863991082,299,10,3,14,0.008572584738833726,5.545596432552954,299
18,4,4,9,0.1008560456845764,5.726243032329989,299,4,3,8,0.09826173402389682,5.720111482720179,299
19,10,7,17,0.03693694774549659,6.044325529542921,299,10,3,13,0.046590607221948334,6.057257525083612,299
20,6,5,17,0.009012823674503652,5.416967670011148,299,6,3,13,0.012882928649855789,5.403255295429209,299
21,9,4,13,0.1721437726505739,5.996365663322185,299,9,3,13,0.1546521545657627,6.0029877369007805,299
22,12,12,26,0.16179237374423328,6.19139353400223,299,12,3,20,0.20114778643314224,5.812129319955407,299
23,4,21,46,0.15521336365338528,5.897369007803791,299,6,3,28,0.32984456228781744,6.338149386845039,299
24,4,5,10,0.19350446083072026,5.406243032329989,299,4,3,8,0.2018036773728732,5.405663322185061,299
25,17,3,27,0.2188165965645329,5.769476031215162,299,17,3,27,0.2188165965645329,5.769476031215162,299
26,5,11,31,0.3523884249828385,5.823589743589744,299,5,3,16,0.3390699625033148,5.880802675585285,299
27,8,12,43,0.006273179123515847,6.034202898550725,299,13,3,43,0.00926384361500107,6.061761426978818,299
28,7,17,59,0.07425705652634519,5.225039018952063,299,7,3,53,0.03972728724633405,5.375741360089187,299
29,30,18,66,0.1126949754011122,5.044526198439242,299,34,3,66,0.07056025663437084,5.244905239687848,299
30,7,8,12,0.05366575135173719,5.006153846153846,299,7,3,11,0.05231742525248198,5.089743589743589,299
31,6,4,11,0.11013186567986182,4.734113712374582,299,6,3,11,0.17452668068245192,4.75371237458194,299
32,37,19,60,0.14470071044484203,5.562051282051282,299,35,3,54,0.44102696892579474,5.667090301003345,299
33,17,10,26,0.013813055726832193,5.0369676700111485,299,16,3,19,0.02359722013163638,5.030813823857302,299
34,5,3,10,0.38899911708237955,5.947558528428094,299,5,3,10,0.38899911708237955,5.947558528428094,299
35,2,5,8,0.05687190045479178,6.792954292084727,299,2,3,8,0.05527049883107095,6.782430323299889,299
36,8,6,13,0.07244945476523276,5.29340022296544,299,8,3,12,0.026073292566035026,5.294247491638796,299
37,4,3,6,0.4187321484698301,5.67257525083612,299,4,3,6,0.4187321484698301,5.67257525083612,299
