Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,7,17,36,0.07931237843424352,5.925507246376812,299,7,3,17,0.0919275459489443,5.41721293199554,299
2,71,37,163,0.11106037693851847,5.740557413600892,299,76,3,160,0.07372155968973515,5.604191750278707,299
3,15,40,59,0.10126702582264653,5.758907469342252,299,13,3,33,0.2577974925838651,5.66263099219621,299
4,39,26,128,0.0033777031236157913,5.864347826086957,299,41,3,74,0.0019438207634205958,5.482207357859532,299
5,31,74,172,0.0819655308844683,5.711571906354515,299,15,3,28,0.228874217262083,5.429944258639911,299
6,14,9,19,0.18033320642003792,5.820624303232999,299,14,3,17,0.04569435772246473,5.719308807134894,299
7,39,6,67,0.255255530367982,5.32644370122631,299,35,3,61,0.24635877072579648,5.3360758082497215,299
8,21,60,173,0.18555812328336485,5.9851282051282055,299,62,3,168,0.2220641000548048,5.710523968784838,299
9,71,11,161,0.0936046252705008,5.918706800445931,299,72,3,156,0.09570442968772518,5.505663322185061,299
10,63,8,140,0.17200564381578176,4.721806020066889,299,65,3,140,0.18550484909744225,4.633400222965441,299
11,33,31,63,0.10544369909780744,6.5361872909699,299,14,3,27,0.07609312520585704,5.8307023411371235,299
12,10,33,74,0.13128617853137267,5.352263099219621,299,11,3,57,0.1992341816550075,5.471594202898551,299
13,20,35,144,0.12474609793868413,5.624816053511705,299,46,3,144,0.12576435484357743,5.725150501672241,299
14,24,29,99,0.20614284542489636,5.895406911928651,299,24,3,44,0.15272762046982466,5.310055741360089,299
15,20,21,36,0.061874911485203445,5.486711259754738,299,20,3,36,0.15840223811952592,5.075629877369008,299
16,6,71,119,0.045090885180168044,5.809966555183946,299,6,3,25,0.0284706176258982,5.701270903010033,299
17,80,33,151,0.0025246162261069174,5.714425863991082,299,82,3,150,0.291111149743825,4.879687848383501,299
18,18,38,101,0.1008560456845764,5.726243032329989,299,18,3,28,0.054434523376361656,6.273199554069119,299
19,52,47,155,0.03693694774549659,6.044325529542921,299,22,3,43,0.09884456621296413,6.534648829431438,299
20,40,14,51,0.009012823674503652,5.416967670011148,299,29,3,45,0.023132468493370452,5.080936454849498,299
21,16,23,63,0.1721437726505739,5.996365663322185,299,15,3,63,0.2025003213587061,5.741092530657748,299
22,28,28,51,0.16179237374423328,6.19139353400223,299,28,3,40,0.30214150119042804,5.7610702341137126,299
23,10,36,116,0.15521336365338528,5.897369007803791,299,34,3,116,0.15361763240376705,5.925886287625418,299
24,11,14,24,0.19350446083072026,5.406243032329989,299,10,3,24,0.22433079802226996,4.910033444816054,299
25,57,11,143,0.2188165965645329,5.769476031215162,299,58,3,129,0.17020330358460967,5.766399108138239,299
26,32,35,172,0.3523884249828385,5.823589743589744,299,61,3,164,0.03227679554079445,5.7961872909698995,299
27,13,19,93,0.006273179123515847,6.034202898550725,299,27,3,92,0.03498653530340979,6.046488294314381,299
28,9,54,147,0.07425705652634519,5.225039018952063,299,26,3,110,0.014003552936790398,5.329832775919733,299
29,59,77,185,0.1126949754011122,5.044526198439242,299,92,3,179,0.047362706203265076,5.072352285395763,299
30,44,75,192,0.05366575135173719,5.006153846153846,299,72,3,189,0.19687565212740965,4.592352285395764,299
31,14,61,129,0.11013186567986182,4.734113712374582,299,43,3,126,0.07689788449674417,5.049096989966555,299
32,107,45,180,0.14470071044484203,5.562051282051282,299,105,3,178,0.14371755780209364,5.60200668896321,299
33,90,15,172,0.013813055726832193,5.0369676700111485,299,90,3,162,0.051274175720275796,5.099687848383501,299
34,25,11,36,0.38899911708237955,5.947558528428094,299,25,3,36,0.36539068602723523,5.872396878483835,299
35,7,16,27,0.05687190045479178,6.792954292084727,299,4,3,10,0.08270604186338083,6.486599777034559,299
36,14,10,18,0.07244945476523276,5.29340022296544,299,10,3,16,0.07495871606021234,5.090390189520624,299
37,42,10,99,0.4187321484698301,5.67257525083612,299,42,3,99,0.2667648634657831,5.70448160535117,299
38,10,56,94,0.029829828809561497,5.695005574136009,299,10,3,21,0.2256435644416237,5.908985507246377,299
39,26,43,150,0.39821765939322196,6.228004459308807,299,28,3,118,0.32200762908436786,6.6059531772575255,299
40,58,85,147,0.10923168298892778,5.27901895206243,299,25,3,34,0.21085886331682002,4.926176142697882,299
41,80,37,166,0.0986554635765809,5.48989966555184,299,73,3,126,0.04541421681176229,5.698929765886287,299
42,28,9,60,0.21310340189195254,5.670657748049052,299,32,3,60,0.055733247991477594,5.489096989966555,299
43,11,31,68,0.05712049727965628,5.2901226309921965,299,7,3,30,0.030202746419246505,5.110702341137124,299
44,65,55,145,0.13013846935293302,6.263099219620959,299,33,3,68,0.20354981262219973,6.604593088071349,299
45,30,37,160,0.002994100849694382,5.82180602006689,299,59,3,159,0.16530845485297552,5.428940914158305,299
46,52,41,134,0.6399211574387471,6.335250836120402,299,61,3,126,0.5074488551414765,6.709208472686734,299
47,20,43,121,0.06205337496888233,5.327045707915273,299,20,3,50,0.05687895405185867,5.2443478260869565,299
48,30,72,150,0.2662721152325376,6.520802675585284,299,11,3,30,0.8962972790354293,6.89654403567447,299
49,7,69,133,0.28682014814364953,5.814648829431438,299,7,3,27,0.14116526703197335,5.2902118171683385,299
50,61,21,137,0.08330319940036783,5.1288963210702345,299,64,3,126,0.17521732464676953,4.587759197324415,299
51,33,54,162,0.19175397147076612,5.7154069119286515,299,65,3,162,0.06695790008538031,5.935273132664437,299
52,39,10,118,0.3555795333739128,5.506176142697882,299,39,3,104,0.05711639580138885,5.555607580824972,299
53,14,77,179,0.06612946434652679,5.169453734671126,299,14,3,42,0.13786383542548755,5.5773244147157195,299
54,11,29,70,0.056909679227877256,5.074247491638796,299,18,3,67,0.039637235177116,5.432129319955407,299
55,36,60,204,0.14780955429520162,5.05752508361204,299,36,3,197,0.06481589303381392,5.339375696767001,299
56,70,31,129,0.07487420890403716,5.378216276477146,299,66,3,107,0.04306958144045573,5.40051282051282,299
57,15,13,32,0.11651091044705225,5.932931995540692,299,14,3,32,0.021602079582426107,5.703232998885173,299
58,40,13,116,0.532617531728279,5.936633221850613,299,43,3,114,0.41770468982037345,5.852307692307693,299
59,52,66,146,0.25940832098680644,6.072107023411371,299,13,3,33,0.2734066099607423,5.657302118171684,299
60,30,9,94,0.20211844392547051,5.941872909698997,299,35,3,88,0.07668586928114503,5.834002229654404,299
61,63,24,134,0.22909159349117758,5.326622073578595,299,46,3,92,0.1999939767399982,5.309698996655518,299
62,41,59,148,0.20173462863153957,5.994247491638796,299,55,3,143,0.3285823008229122,6.099888517279822,299
63,36,35,164,0.13136117279132203,5.518037904124861,299,41,3,151,0.19181949510017582,5.7327313266443705,299
64,32,27,136,0.0063428936109778036,5.489208472686734,299,46,3,128,0.03391922950346036,5.319241917502787,299
65,66,14,104,0.2872080231030043,5.4396432552954295,299,62,3,91,0.19567288174766895,5.445730211817168,299
66,6,48,99,0.02816546292748803,5.7215384615384615,299,6,3,28,0.04808167426250133,5.931772575250836,299
67,53,42,174,0.2125026282908904,5.924838350055741,299,69,3,125,0.25289547268705914,5.80778149386845,299
68,24,37,118,0.07225196500155302,7.276967670011148,299,58,3,113,0.33994764353075624,6.385752508361204,299
69,14,12,47,0.08531648098086178,5.155629877369008,299,9,3,27,0.4566881432483312,4.861694537346711,299
70,36,25,53,0.04629308312842597,5.795562987736901,299,19,3,33,0.0910658366950979,5.590702341137124,299
71,9,36,77,0.2242370836507792,5.886243032329989,299,8,3,33,0.3051580755523352,4.985239687848384,299
72,92,13,156,0.24847777644575098,5.3589966555183945,299,90,3,153,0.23900318190165604,5.19406911928651,299
73,22,21,119,0.13497730198591248,5.312396878483835,299,23,3,119,0.004623969545412382,5.252530657748049,299
74,17,57,185,0.046492801037664316,5.770702341137124,299,54,3,185,0.2986729204387415,5.0888071348940915,299
75,19,29,62,0.06536549081582851,5.306845039018952,299,19,3,61,0.24167093939365158,5.086042363433668,299
76,54,63,150,0.021419122147799518,5.609966555183947,299,55,3,128,0.14486991694268847,5.433779264214047,299
77,71,83,177,0.3065254246261411,5.437146042363434,299,72,3,176,0.3973219081040842,5.6753846153846155,299
78,43,14,105,0.4529269496471753,6.0434336677814935,299,44,3,94,0.19903140150551624,5.820891861761427,299
79,17,84,165,0.15818448293266907,5.517257525083612,299,9,3,39,0.23561933052685713,5.907469342251951,299
80,29,102,189,0.2328871625330472,5.1464882943143815,299,38,3,175,0.16691525904715832,5.407045707915273,299
81,64,11,141,0.08312335970152053,5.314113712374582,299,66,3,134,0.07250580829582978,5.273221850613155,299
82,15,64,157,0.05571991010012398,5.232084726867336,299,17,3,157,0.001358551756686407,5.620066889632107,299
83,29,25,43,0.18357287042720993,5.786755852842809,299,14,3,18,0.4247971737193442,5.502408026755853,299
84,66,20,127,0.17532505052800595,5.621382385730212,299,66,3,127,0.1087637877182855,5.634425863991082,299
85,20,23,50,0.06270669950753174,6.402408026755853,299,20,3,27,0.44520232856210307,6.097703455964326,299
86,22,26,79,0.08296180402232481,6.253288740245262,299,21,3,64,0.3033574736538496,5.924325529542921,299
87,31,39,135,0.0280066020918544,6.040423634336678,299,27,3,49,0.024991174163170923,5.8,299
88,14,24,41,0.11344708218824763,5.638283166109253,299,9,3,14,0.4746743687512469,5.108651059085842,299
89,11,14,36,0.2576105727017034,5.235518394648829,299,11,3,16,0.30988495153120266,4.99241917502787,299
90,42,13,135,0.24605605986500345,6.006265328874025,299,54,3,135,0.2046634904622664,5.924013377926421,299
91,27,58,153,0.5526599053026077,6.457770345596432,299,21,3,41,0.5288302768076174,6.069520624303233,299
92,8,30,121,0.09886415830502684,6.339197324414716,299,15,3,104,0.24359482652602227,6.893823857302118,299
93,11,8,13,0.12000781126649136,5.2903232998885175,299,11,3,13,0.06973835311629395,5.2787290969899665,299
94,21,72,184,0.022862618856058232,5.6119955406911926,299,28,3,40,0.14006014524829805,5.245863991081382,299
95,25,59,135,0.13525273917184266,5.470769230769231,299,21,3,58,0.05898930140343644,5.425306577480491,299
96,13,16,27,0.015959245621468457,5.453333333333333,299,13,3,21,0.1202936313507219,5.388717948717948,299
97,50,44,128,0.13392018314549803,5.333377926421405,299,68,3,128,0.059103451840816015,4.927647714604237,299
98,66,7,140,0.249854319337507,4.954425863991081,299,70,3,140,0.25256493154158066,4.843389074693422,299
