Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,50,104,0.07931237843424352,5.925507246376812,299,21,1,31,0.033375815620924794,4.939397993311037,299
2,121,112,246,0.11106037693851847,5.740557413600892,299,158,1,222,0.06579260011159416,4.525284280936455,299
3,78,73,111,0.10126702582264653,5.758907469342252,299,44,1,61,0.003262814183394676,4.878060200668896,299
4,111,155,278,0.0033777031236157913,5.864347826086957,299,179,1,277,0.036450337576701484,5.561092530657748,299
5,81,143,242,0.0819655308844683,5.711571906354515,299,25,1,30,0.10474218392888143,4.204615384615384,299
6,44,76,115,0.18033320642003792,5.820624303232999,299,39,1,44,0.10467430845088158,4.304236343366778,299
7,71,66,87,0.255255530367982,5.32644370122631,299,33,1,37,0.10097868494961171,4.17571906354515,299
8,203,146,270,0.18555812328336485,5.9851282051282055,299,211,1,257,0.09656401640286257,4.323701226309922,299
9,148,43,274,0.0936046252705008,5.918706800445931,299,198,1,266,0.016940440059256212,4.375652173913044,299
10,206,22,279,0.17200564381578176,4.721806020066889,299,225,1,278,0.047869283043825615,3.43670011148272,299
11,75,67,101,0.10544369909780744,6.5361872909699,299,78,1,91,0.010541303704449844,4.169899665551839,299
12,107,182,246,0.13128617853137267,5.352263099219621,299,156,1,211,0.0790621052467019,4.174938684503902,299
13,183,82,266,0.12474609793868413,5.624816053511705,299,194,1,260,0.09033537258939765,3.838974358974359,299
14,176,64,239,0.20614284542489636,5.895406911928651,299,193,1,239,0.010838438460817982,4.488740245261984,299
15,167,38,267,0.061874911485203445,5.486711259754738,299,190,1,249,0.10653931270743724,3.872954292084727,299
16,27,121,179,0.045090885180168044,5.809966555183946,299,28,1,35,0.05105715131507965,4.465484949832776,299
17,144,146,212,0.0025246162261069174,5.714425863991082,299,22,1,26,0.07611282798698422,3.839888517279822,299
18,53,77,212,0.1008560456845764,5.726243032329989,299,71,1,116,6.854836224602051e-05,5.539464882943144,299
19,168,157,253,0.03693694774549659,6.044325529542921,299,50,1,63,0.06478106659710213,4.832352285395763,299
20,198,43,257,0.009012823674503652,5.416967670011148,299,207,1,253,0.04362253033680102,3.676053511705686,299
21,23,78,101,0.1721437726505739,5.996365663322185,299,67,1,88,0.0002573344844213263,4.44974358974359,299
22,58,108,232,0.16179237374423328,6.19139353400223,299,133,1,211,0.04795377274996462,4.109007803790412,299
23,38,91,256,0.15521336365338528,5.897369007803791,299,133,1,256,0.01599551241605138,4.778037904124861,299
24,52,30,67,0.19350446083072026,5.406243032329989,299,48,1,57,0.03738848471245793,3.9208026755852843,299
25,145,48,263,0.2188165965645329,5.769476031215162,299,145,1,218,0.057961423939722444,4.817369007803791,299
26,86,82,278,0.3523884249828385,5.823589743589744,299,185,1,274,0.001892132902404503,3.672664437012263,299
27,94,87,197,0.006273179123515847,6.034202898550725,299,115,1,190,0.06162015433332652,4.594158305462654,299
28,21,104,249,0.07425705652634519,5.225039018952063,299,124,1,247,0.02620968458428056,3.922251950947603,299
29,175,152,260,0.1126949754011122,5.044526198439242,299,189,1,252,0.11860272245220764,4.1290746934225195,299
30,166,104,261,0.05366575135173719,5.006153846153846,299,195,1,257,0.09521221267129856,3.847670011148272,299
31,165,161,274,0.11013186567986182,4.734113712374582,299,182,1,248,0.03235098585247812,4.076365663322185,299
