Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,6,35,0.07931237843424352,5.925507246376812,299,31,2,35,0.05969401221328722,5.887157190635452,299
2,121,13,174,0.11106037693851847,5.740557413600892,299,121,2,174,0.18307232543349727,6.074269788182832,299
3,78,7,83,0.10126702582264653,5.758907469342252,299,78,2,83,0.17327910892032194,5.79484949832776,299
4,111,4,126,0.0033777031236157913,5.864347826086957,299,109,2,124,0.004472796629573475,5.862274247491639,299
5,81,30,182,0.0819655308844683,5.711571906354515,299,119,2,182,0.0625845086315566,5.698483835005574,299
6,44,4,53,0.18033320642003792,5.820624303232999,299,44,2,53,0.004935841397516062,5.75025641025641,299
7,71,4,74,0.255255530367982,5.32644370122631,299,71,2,74,0.2098937166599949,5.294002229654404,299
8,203,16,215,0.18555812328336485,5.9851282051282055,299,203,2,215,0.2993228100712434,6.346176142697882,299
9,148,4,190,0.0936046252705008,5.918706800445931,299,148,2,190,0.11255112140260028,5.814403567447045,299
10,206,3,239,0.17200564381578176,4.721806020066889,299,207,2,239,0.16331005217172745,4.709052396878484,299
11,75,6,79,0.10544369909780744,6.5361872909699,299,75,2,79,0.10076082809369287,6.4222742474916386,299
12,107,6,120,0.13128617853137267,5.352263099219621,299,107,2,120,0.14477607130972922,5.397591973244147,299
13,183,9,211,0.12474609793868413,5.624816053511705,299,183,2,211,0.21112032848866535,5.661204013377926,299
14,176,8,193,0.20614284542489636,5.895406911928651,299,176,2,193,0.21905380032549748,5.61603121516165,299
15,167,7,183,0.061874911485203445,5.486711259754738,299,161,2,176,0.10945325804246916,5.500802675585284,299
16,27,26,113,0.045090885180168044,5.809966555183946,299,27,2,34,0.02760133114289048,6.0835005574136005,299
17,144,17,177,0.0025246162261069174,5.714425863991082,299,144,2,177,0.01040211986809369,5.547736900780379,299
18,53,4,74,0.1008560456845764,5.726243032329989,299,53,2,74,0.09306759055102548,5.713935340022297,299
19,168,7,186,0.03693694774549659,6.044325529542921,299,168,2,185,0.044006423758601386,6.076633221850613,299
20,198,5,217,0.009012823674503652,5.416967670011148,299,198,2,217,0.7925949529777931,5.380646599777035,299
21,23,4,25,0.1721437726505739,5.996365663322185,299,23,2,25,0.18715433648738056,5.996989966555184,299
22,58,12,64,0.16179237374423328,6.19139353400223,299,59,2,64,0.1714792834108957,5.775384615384615,299
23,38,21,171,0.15521336365338528,5.897369007803791,299,68,2,129,0.37107135898493493,6.325863991081382,299
24,52,5,58,0.19350446083072026,5.406243032329989,299,52,2,58,0.20882047599631226,5.418104793756967,299
25,145,3,195,0.2188165965645329,5.769476031215162,299,151,2,195,0.2188165965645329,5.730680044593088,299
26,86,11,199,0.3523884249828385,5.823589743589744,299,93,2,199,0.03398249915476987,5.828874024526199,299
27,94,12,139,0.006273179123515847,6.034202898550725,299,100,2,139,0.010346590576901567,6.039754738015607,299
28,21,17,172,0.07425705652634519,5.225039018952063,299,22,2,172,0.034169455804830044,5.3997324414715715,299
29,175,18,186,0.1126949754011122,5.044526198439242,299,175,2,186,0.06643571355667797,5.238751393534002,299
30,166,8,189,0.05366575135173719,5.006153846153846,299,166,2,188,0.049174543277684175,5.076544035674471,299
31,165,4,181,0.11013186567986182,4.734113712374582,299,165,2,181,0.11013186567986182,4.747134894091416,299
