Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,50,50,0.07931237843424352,5.925507246376812,299,5,2,16,0.11484130262737685,5.299888517279822,299
2,21,112,210,0.11106037693851847,5.740557413600892,299,34,2,156,0.07931602830974163,4.882876254180602,299
3,8,73,81,0.10126702582264653,5.758907469342252,299,2,2,15,0.0632694740901081,5.205707915273132,299
4,4,155,191,0.0033777031236157913,5.864347826086957,299,23,2,108,0.04407048447068427,5.883478260869565,299
5,12,143,177,0.0819655308844683,5.711571906354515,299,3,2,7,0.15520755540040582,4.535429208472687,299
6,7,76,86,0.18033320642003792,5.820624303232999,299,7,2,17,0.09605228413524922,4.61835005574136,299
7,15,66,70,0.255255530367982,5.32644370122631,299,3,2,6,0.1867044861285878,4.421761426978819,299
8,10,146,162,0.18555812328336485,5.9851282051282055,299,4,2,7,0.1874366444623108,4.591460423634337,299
9,26,43,195,0.0936046252705008,5.918706800445931,299,37,2,188,0.045357571318634056,4.751794871794872,299
10,29,22,174,0.17200564381578176,4.721806020066889,299,43,2,165,0.12079757089549262,3.8064659977703457,299
11,4,67,77,0.10544369909780744,6.5361872909699,299,4,2,9,0.029152841630729894,4.555785953177257,299
12,4,182,199,0.13128617853137267,5.352263099219621,299,2,2,6,0.11041387936829945,4.490434782608696,299
13,5,82,100,0.12474609793868413,5.624816053511705,299,4,2,18,0.1627901246905653,4.148561872909699,299
14,8,64,87,0.20614284542489636,5.895406911928651,299,17,2,56,0.043272097784783685,4.766220735785953,299
15,10,38,41,0.061874911485203445,5.486711259754738,299,3,2,6,0.11033720912578203,4.134804905239688,299
16,4,121,154,0.045090885180168044,5.809966555183946,299,6,2,33,0.12921278215544976,4.700802675585284,299
17,10,146,160,0.0025246162261069174,5.714425863991082,299,3,2,10,0.1285009509508984,4.159554069119286,299
18,4,77,98,0.1008560456845764,5.726243032329989,299,4,2,12,0.00108622669792423,5.932998885172799,299
19,10,157,190,0.03693694774549659,6.044325529542921,299,6,2,14,0.1777737747917626,5.1577703455964325,299
20,6,43,48,0.009012823674503652,5.416967670011148,299,6,2,7,0.03714803064901404,3.970613154960981,299
21,9,78,89,0.1721437726505739,5.996365663322185,299,4,2,9,0.00943684315228159,4.727892976588628,299
22,12,108,200,0.16179237374423328,6.19139353400223,299,30,2,171,0.0148472979861327,4.403879598662208,299
23,4,91,154,0.15521336365338528,5.897369007803791,299,20,2,125,0.06746596658440547,5.105707915273133,299
24,4,30,30,0.19350446083072026,5.406243032329989,299,2,2,19,0.08094556282022196,4.318372352285396,299
25,17,48,134,0.2188165965645329,5.769476031215162,299,18,2,97,0.09439518167307295,5.07241917502787,299
26,5,82,111,0.3523884249828385,5.823589743589744,299,4,2,19,0.15149404643410175,4.0312151616499445,299
27,8,87,125,0.006273179123515847,6.034202898550725,299,26,2,116,0.04849423153954408,4.963545150501672,299
28,7,104,199,0.07425705652634519,5.225039018952063,299,23,2,193,0.056968508368898704,4.235250836120401,299
29,30,152,206,0.1126949754011122,5.044526198439242,299,8,2,18,0.08638439409349355,4.416833890746934,299
30,7,104,123,0.05366575135173719,5.006153846153846,299,3,2,6,0.06761870981328151,4.205908584169454,299
31,6,161,187,0.11013186567986182,4.734113712374582,299,34,2,169,0.020310937909582414,4.39123745819398,299
32,37,140,175,0.14470071044484203,5.562051282051282,299,21,2,83,0.0769159517773041,5.2385953177257525,299
33,17,76,85,0.013813055726832193,5.0369676700111485,299,5,2,9,0.07736781909834238,3.92231884057971,299
34,5,120,134,0.38899911708237955,5.947558528428094,299,5,2,13,0.08736832005541872,5.568160535117057,299
35,2,58,64,0.05687190045479178,6.792954292084727,299,2,2,7,0.07279084848810893,5.569119286510591,299
36,8,110,119,0.07244945476523276,5.29340022296544,299,5,2,7,0.37658934707546665,4.799353400222966,299
37,4,17,17,0.4187321484698301,5.67257525083612,299,2,2,6,0.02647616843853546,5.034002229654403,299
38,4,191,209,0.029829828809561497,5.695005574136009,299,6,2,23,0.1037576890597712,3.928896321070234,299
39,5,117,133,0.39821765939322196,6.228004459308807,299,7,2,25,0.13187452113232925,4.38845039018952,299
40,23,163,185,0.10923168298892778,5.27901895206243,299,35,2,138,0.0541690522294648,4.641092530657748,299
41,23,138,159,0.0986554635765809,5.48989966555184,299,9,2,25,0.05848630097012831,4.298885172798216,299
42,7,89,204,0.21310340189195254,5.670657748049052,299,34,2,196,0.15230071826734343,4.986733556298773,299
43,10,198,218,0.05712049727965628,5.2901226309921965,299,3,2,6,0.13463266838074361,3.5734002229654402,299
44,9,119,141,0.13013846935293302,6.263099219620959,299,8,2,24,0.05441804242404484,5.969899665551839,299
45,12,180,198,0.002994100849694382,5.82180602006689,299,41,2,167,0.09455561503479752,4.361047937569677,299
46,19,142,174,0.6399211574387471,6.335250836120402,299,25,2,129,0.15173815904488527,4.994804905239688,299
47,7,132,158,0.06205337496888233,5.327045707915273,299,3,2,8,0.07692171705079467,4.896499442586399,299
48,4,149,168,0.2662721152325376,6.520802675585284,299,4,2,7,0.04259567745359541,6.273333333333333,299
49,6,124,144,0.28682014814364953,5.814648829431438,299,6,2,10,0.13564590307107277,4.503612040133779,299
50,27,66,208,0.08330319940036783,5.1288963210702345,299,38,2,196,0.058193973561638086,3.9203790412486064,299
51,8,158,199,0.19175397147076612,5.7154069119286515,299,5,2,15,0.07820252121368625,4.8531326644370125,299
52,16,51,178,0.3555795333739128,5.506176142697882,299,24,2,115,0.11448832308385284,4.798483835005574,299
53,4,184,211,0.06612946434652679,5.169453734671126,299,4,2,10,0.1164144588161486,4.431727982162765,299
54,4,142,186,0.056909679227877256,5.074247491638796,299,12,2,72,0.10733873108739742,5.130858416945373,299
55,4,99,112,0.14780955429520162,5.05752508361204,299,4,2,9,0.11367772004108362,4.254292084726868,299
56,17,131,231,0.07487420890403716,5.378216276477146,299,22,2,130,0.00819432701558095,4.501114827201784,299
57,4,66,74,0.11651091044705225,5.932931995540692,299,5,2,26,0.10569109660994598,4.063946488294315,299
58,13,173,185,0.532617531728279,5.936633221850613,299,4,2,7,0.05049929984490281,4.654626532887402,299
59,10,127,155,0.25940832098680644,6.072107023411371,299,4,2,11,0.1841308986629029,4.961739130434783,299
60,11,38,134,0.20211844392547051,5.941872909698997,299,18,2,105,0.02710853633918059,4.793801560758083,299
61,5,61,74,0.22909159349117758,5.326622073578595,299,4,2,13,0.1427228417030374,4.453288740245262,299
62,4,160,176,0.20173462863153957,5.994247491638796,299,2,2,6,0.022643210230819343,5.3360535117056855,299
63,6,169,197,0.13136117279132203,5.518037904124861,299,5,2,11,0.11406916760209833,4.546800445930881,299
64,13,195,213,0.0063428936109778036,5.489208472686734,299,11,2,84,0.00029367839476299943,4.647892976588628,299
65,10,34,36,0.2872080231030043,5.4396432552954295,299,10,2,26,0.002175658572430679,4.881003344481606,299
66,4,116,146,0.02816546292748803,5.7215384615384615,299,13,2,70,0.04325067841104071,5.438617614269789,299
67,15,94,100,0.2125026282908904,5.924838350055741,299,4,2,14,0.15928169667043646,4.205752508361204,299
68,13,52,102,0.07225196500155302,7.276967670011148,299,23,2,90,0.025329668190395508,5.493132664437012,299
69,4,34,38,0.08531648098086178,5.155629877369008,299,2,2,9,0.05523668676111505,4.369765886287626,299
70,6,46,61,0.04629308312842597,5.795562987736901,299,5,2,16,0.00934218121590017,5.418729096989966,299
71,5,136,150,0.2242370836507792,5.886243032329989,299,3,2,8,0.07111286803855452,4.816254180602007,299
72,26,32,173,0.24847777644575098,5.3589966555183945,299,37,2,142,0.12041249470015664,4.902608695652174,299
73,5,156,177,0.13497730198591248,5.312396878483835,299,12,2,77,0.05208651697431612,4.585284280936455,299
