Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,17,38,0.07931237843424352,5.925507246376812,299,13,2,17,0.14979587631002522,5.317212931995541,299
2,121,37,213,0.11106037693851847,5.740557413600892,299,157,2,213,0.08210741352644467,5.424659977703456,299
3,78,40,96,0.10126702582264653,5.758907469342252,299,46,2,58,0.19463625591350475,5.630033444816053,299
4,111,26,247,0.0033777031236157913,5.864347826086957,299,154,2,247,0.0022419051697269983,5.4564325529542925,299
5,81,74,215,0.0819655308844683,5.711571906354515,299,41,2,48,0.18567722606302473,5.389921962095875,299
6,44,9,56,0.18033320642003792,5.820624303232999,299,44,2,56,0.008840797908120347,5.625841694537347,299
7,71,6,83,0.255255530367982,5.32644370122631,299,62,2,74,0.04607112972427839,5.251505016722408,299
8,203,60,248,0.18555812328336485,5.9851282051282055,299,204,2,247,0.1665393094859744,5.60149386845039,299
9,148,11,212,0.0936046252705008,5.918706800445931,299,161,2,212,0.0913769198404533,5.383500557413601,299
10,206,8,260,0.17200564381578176,4.721806020066889,299,212,2,260,0.1801817294353173,4.601003344481605,299
11,75,31,85,0.10544369909780744,6.5361872909699,299,33,2,38,0.08271062520926147,5.810457079152731,299
12,107,33,217,0.13128617853137267,5.352263099219621,299,122,2,213,0.16185681270254693,5.398840579710145,299
13,183,35,235,0.12474609793868413,5.624816053511705,299,189,2,234,0.1629497972386178,5.6438127090301,299
14,176,29,220,0.20614284542489636,5.895406911928651,299,177,2,220,0.14603334261875459,5.191371237458194,299
15,167,21,240,0.061874911485203445,5.486711259754738,299,184,2,239,0.16583625613696407,5.028940914158305,299
16,27,71,149,0.045090885180168044,5.809966555183946,299,27,2,32,0.0725935401509029,5.576722408026756,299
17,144,33,198,0.0025246162261069174,5.714425863991082,299,148,2,198,0.10068158536366137,4.741627647714604,299
18,53,38,186,0.1008560456845764,5.726243032329989,299,47,2,62,0.0005054895847671028,6.177346711259755,299
19,168,47,215,0.03693694774549659,6.044325529542921,299,168,2,211,0.015530759898009417,6.528740245261984,299
20,198,14,237,0.009012823674503652,5.416967670011148,299,198,2,237,0.22900403796773539,5.076410256410257,299
21,23,23,82,0.1721437726505739,5.996365663322185,299,27,2,82,0.033727211709601225,5.659910813823857,299
22,58,28,67,0.16179237374423328,6.19139353400223,299,59,2,67,0.1802674542553092,5.6981716833890745,299
23,38,36,192,0.15521336365338528,5.897369007803791,299,102,2,190,0.26506172914503556,5.88,299
24,52,14,61,0.19350446083072026,5.406243032329989,299,41,2,48,0.13685716268118556,4.851415830546265,299
25,145,11,228,0.2188165965645329,5.769476031215162,299,149,2,211,0.3243082027098516,5.694715719063545,299
26,86,35,227,0.3523884249828385,5.823589743589744,299,146,2,219,0.3029959538024971,5.720245261984393,299
27,94,19,166,0.006273179123515847,6.034202898550725,299,106,2,164,0.05068934750060471,6.017056856187291,299
28,21,54,203,0.07425705652634519,5.225039018952063,299,50,2,203,0.015389858274050136,5.237480490523969,299
29,175,77,227,0.1126949754011122,5.044526198439242,299,183,2,227,0.10723116048456835,5.013444816053512,299
30,166,75,236,0.05366575135173719,5.006153846153846,299,183,2,234,0.1548056208655319,4.505172798216276,299
31,165,61,221,0.11013186567986182,4.734113712374582,299,169,2,221,0.0857357201496711,5.043344481605351,299
32,178,45,239,0.14470071044484203,5.562051282051282,299,180,2,239,0.06630917437786231,5.56231884057971,299
33,154,15,209,0.013813055726832193,5.0369676700111485,299,157,2,207,0.14837546469202528,5.106176142697882,299
34,132,11,173,0.38899911708237955,5.947558528428094,299,136,2,173,0.28345456860218055,5.818260869565218,299
35,34,16,75,0.05687190045479178,6.792954292084727,299,33,2,68,0.041573771760870654,6.389119286510591,299
36,145,10,197,0.07244945476523276,5.29340022296544,299,144,2,192,0.053358705312614226,4.951036789297659,299
37,93,10,118,0.4187321484698301,5.67257525083612,299,93,2,118,0.1797509153487954,5.518149386845039,299
38,117,56,151,0.029829828809561497,5.695005574136009,299,113,2,145,0.013617229052825953,5.765039018952063,299
39,172,43,238,0.39821765939322196,6.228004459308807,299,171,2,231,0.07266265050318027,6.5605797101449275,299
40,192,85,228,0.10923168298892778,5.27901895206243,299,196,2,228,0.16025485481935042,4.808249721293199,299
41,134,37,196,0.0986554635765809,5.48989966555184,299,122,2,152,0.02102128930808774,5.694202898550724,299
42,71,9,98,0.21310340189195254,5.670657748049052,299,82,2,98,0.03546375592151999,5.437904124860647,299
43,130,31,177,0.05712049727965628,5.2901226309921965,299,131,2,164,0.020422035014562575,4.986867335562987,299
44,163,55,197,0.13013846935293302,6.263099219620959,299,147,2,167,0.10959866155096065,6.527469342251951,299
45,65,37,235,0.002994100849694382,5.82180602006689,299,131,2,235,0.18436183553711627,5.388784838350055,299
46,138,41,176,0.6399211574387471,6.335250836120402,299,145,2,176,0.27854125843018596,6.556477146042363,299
47,67,43,229,0.06205337496888233,5.327045707915273,299,106,2,229,0.02587625871125864,5.20463768115942,299
48,107,72,197,0.2662721152325376,6.520802675585284,299,49,2,58,0.32488045417725353,6.792753623188406,299
49,65,69,165,0.28682014814364953,5.814648829431438,299,33,2,40,0.11789864304254516,5.092441471571906,299
50,170,21,217,0.08330319940036783,5.1288963210702345,299,169,2,206,0.10493569577926654,4.505239687848383,299
51,189,54,239,0.19175397147076612,5.7154069119286515,299,190,2,239,0.03557980178821603,5.914715719063545,299
52,103,10,178,0.3555795333739128,5.506176142697882,299,104,2,169,0.026500716168886853,5.529966555183947,299
53,24,77,241,0.06612946434652679,5.169453734671126,299,24,2,60,0.15244288663231811,5.517458193979933,299
54,31,29,91,0.056909679227877256,5.074247491638796,299,46,2,91,0.02697482181031067,5.398327759197325,299
55,48,60,236,0.14780955429520162,5.05752508361204,299,75,2,236,0.05427286820186849,5.252664437012263,299
56,201,31,240,0.07487420890403716,5.378216276477146,299,203,2,240,0.013943407571289913,5.291393534002229,299
57,34,13,42,0.11651091044705225,5.932931995540692,299,27,2,38,0.15929567752249685,5.708673355629878,299
58,110,13,169,0.532617531728279,5.936633221850613,299,114,2,167,0.38432146761074604,5.803701226309922,299
59,112,66,204,0.25940832098680644,6.072107023411371,299,116,2,198,0.21201408695745094,5.607714604236343,299
60,112,9,204,0.20211844392547051,5.941872909698997,299,118,2,165,0.05787806024264585,5.832530657748049,299
61,164,24,230,0.22909159349117758,5.326622073578595,299,161,2,221,0.24513354839428536,5.374269788182832,299
62,59,59,201,0.20173462863153957,5.994247491638796,299,109,2,195,0.2620192586812877,6.016900780379041,299
63,85,35,224,0.13136117279132203,5.518037904124861,299,83,2,216,0.14243027476675327,5.693801560758082,299
64,41,27,162,0.0063428936109778036,5.489208472686734,299,63,2,159,0.021460759880238024,5.234960981047937,299
65,193,14,235,0.2872080231030043,5.4396432552954295,299,181,2,220,0.1485036816363323,5.400222965440356,299
66,34,48,168,0.02816546292748803,5.7215384615384615,299,49,2,168,0.03789167261049571,5.896387959866221,299
67,88,42,226,0.2125026282908904,5.924838350055741,299,107,2,212,0.20847188819402007,5.769386845039019,299
68,47,37,151,0.07225196500155302,7.276967670011148,299,103,2,146,0.23543952928359313,6.263768115942029,299
69,145,12,233,0.08531648098086178,5.155629877369008,299,148,2,233,0.12203346115441503,4.813846153846153,299
70,76,25,95,0.04629308312842597,5.795562987736901,299,76,2,95,0.05955483654843139,5.515362318840579,299
71,68,36,180,0.2242370836507792,5.886243032329989,299,101,2,170,0.06417730764533294,4.845195094760312,299
72,178,13,204,0.24847777644575098,5.3589966555183945,299,174,2,200,0.18083734633644333,5.04479375696767,299
73,49,21,233,0.13497730198591248,5.312396878483835,299,66,2,233,0.0025606915469992735,5.196410256410257,299
74,77,57,221,0.046492801037664316,5.770702341137124,299,120,2,221,0.21400418878242622,5.019108138238573,299
75,57,29,74,0.06536549081582851,5.306845039018952,299,59,2,74,0.17680080271258114,4.9916610925306575,299
76,147,63,217,0.021419122147799518,5.609966555183947,299,124,2,187,0.10755722219683511,5.417904124860646,299
77,152,83,254,0.3065254246261411,5.437146042363434,299,171,2,253,0.29898929379039885,5.638327759197324,299
78,128,14,203,0.4529269496471753,6.0434336677814935,299,133,2,191,0.18193270323431388,5.759420289855073,299
79,34,84,223,0.15818448293266907,5.517257525083612,299,26,2,67,0.10585939772310496,5.83469342251951,299
80,123,102,251,0.2328871625330472,5.1464882943143815,299,168,2,239,0.12709532361247744,5.302742474916388,299
81,163,11,218,0.08312335970152053,5.314113712374582,299,169,2,208,0.05281045986298234,5.202608695652174,299
82,125,64,233,0.05571991010012398,5.232084726867336,299,163,2,233,0.005820113056896168,5.554782608695652,299
83,52,25,68,0.18357287042720993,5.786755852842809,299,52,2,67,0.2221552175099415,5.431259754738016,299
84,172,20,212,0.17532505052800595,5.621382385730212,299,173,2,212,0.050847997182610655,5.555607580824972,299
85,148,23,242,0.06270669950753174,6.402408026755853,299,152,2,240,0.17051137576028874,6.071148272017838,299
86,153,26,204,0.08296180402232481,6.253288740245262,299,148,2,189,0.20381035882736231,5.884258639910814,299
87,62,39,222,0.0280066020918544,6.040423634336678,299,77,2,216,0.061851256227539335,5.794983277591974,299
88,54,24,67,0.11344708218824763,5.638283166109253,299,26,2,28,0.3821359468838522,5.019286510590859,299
89,17,14,41,0.2576105727017034,5.235518394648829,299,17,2,19,0.1599833239398626,4.898617614269789,299
90,53,13,193,0.24605605986500345,6.006265328874025,299,75,2,169,0.4132759155516402,5.971549609810479,299
91,123,58,225,0.5526599053026077,6.457770345596432,299,121,2,212,0.20673801999627228,5.968985507246376,299
92,67,30,163,0.09886415830502684,6.339197324414716,299,93,2,139,0.245720579245306,6.854002229654403,299
93,77,8,116,0.12000781126649136,5.2903232998885175,299,87,2,116,0.0529021949673682,5.142296544035674,299
94,96,72,213,0.022862618856058232,5.6119955406911926,299,36,2,46,0.10981659706548594,5.118082497212932,299
95,148,59,230,0.13525273917184266,5.470769230769231,299,98,2,125,0.040700837030053685,5.362809364548495,299
96,52,16,61,0.015959245621468457,5.453333333333333,299,52,2,61,0.016237475749972613,5.298238573021182,299
97,117,44,154,0.13392018314549803,5.333377926421405,299,123,2,154,0.044642516028170535,4.837859531772575,299
98,146,7,206,0.249854319337507,4.954425863991081,299,152,2,206,0.18978842678121344,4.821605351170569,299
99,199,39,233,0.04143020908726572,5.601672240802675,299,161,2,184,0.11748560544620729,5.828673355629878,299
100,76,75,204,0.12372347867470844,5.463344481605351,299,111,2,195,0.10597641086917958,5.313088071348941,299
