Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,7,6,12,0.07931237843424352,5.925507246376812,299,7,4,12,0.07732080618396835,5.912931995540691,299
2,71,13,114,0.11106037693851847,5.740557413600892,299,71,4,114,0.14081738033608626,6.099464882943144,299
3,15,7,19,0.10126702582264653,5.758907469342252,299,15,4,19,0.11907107190054445,5.848539576365663,299
4,39,4,64,0.0033777031236157913,5.864347826086957,299,39,4,64,0.0033777031236157913,5.864347826086957,299
5,31,30,107,0.0819655308844683,5.711571906354515,299,58,4,107,0.08708147398820927,5.729988851727982,299
6,14,4,18,0.18033320642003792,5.820624303232999,299,14,4,18,0.18033320642003792,5.820624303232999,299
7,39,4,44,0.255255530367982,5.32644370122631,299,39,4,44,0.255255530367982,5.32644370122631,299
8,21,16,100,0.18555812328336485,5.9851282051282055,299,21,4,75,0.2426969802583564,6.344013377926421,299
9,71,4,93,0.0936046252705008,5.918706800445931,299,71,4,93,0.0936046252705008,5.918706800445931,299
10,63,3,119,0.17200564381578176,4.721806020066889,299,63,3,119,0.17200564381578176,4.721806020066889,299
11,33,6,46,0.10544369909780744,6.5361872909699,299,33,4,46,0.10983160581126115,6.518060200668896,299
12,10,6,13,0.13128617853137267,5.352263099219621,299,10,4,13,0.1271226282771535,5.4164771460423635,299
13,20,9,113,0.12474609793868413,5.624816053511705,299,20,4,113,0.19155929578489483,5.674760312151617,299
14,24,8,85,0.20614284542489636,5.895406911928651,299,24,4,66,0.22285214876198278,5.6354292084726865,299
15,20,7,27,0.061874911485203445,5.486711259754738,299,20,4,27,0.08849657682495927,5.519375696767001,299
16,6,26,59,0.045090885180168044,5.809966555183946,299,6,4,17,0.03518792420516517,6.293979933110368,299
17,80,17,108,0.0025246162261069174,5.714425863991082,299,80,4,108,0.007030211054826571,5.551594202898551,299
18,18,4,23,0.1008560456845764,5.726243032329989,299,18,4,23,0.1008560456845764,5.726243032329989,299
19,52,7,77,0.03693694774549659,6.044325529542921,299,52,4,73,0.0515359900739685,6.070367892976589,299
20,40,5,46,0.009012823674503652,5.416967670011148,299,40,4,44,0.01078676665835454,5.408874024526199,299
21,16,4,18,0.1721437726505739,5.996365663322185,299,16,4,18,0.1721437726505739,5.996365663322185,299
22,28,12,41,0.16179237374423328,6.19139353400223,299,28,4,32,0.21473023635106958,5.844994425863991,299
