Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,17,18,0.07931237843424352,5.925507246376812,299,4,2,6,0.14979587631002522,5.317212931995541,299
2,21,37,104,0.11106037693851847,5.740557413600892,299,22,2,60,0.08210741352644467,5.424659977703456,299
3,8,40,44,0.10126702582264653,5.758907469342252,299,3,2,15,0.19463625591350475,5.630033444816053,299
4,4,26,71,0.0033777031236157913,5.864347826086957,299,8,2,33,0.0022419051697269983,5.4564325529542925,299
5,12,74,111,0.0819655308844683,5.711571906354515,299,7,2,12,0.18567722606302473,5.389921962095875,299
6,7,9,16,0.18033320642003792,5.820624303232999,299,6,2,11,0.008840797908120347,5.625841694537347,299
7,15,6,52,0.255255530367982,5.32644370122631,299,12,2,43,0.04607112972427839,5.251505016722408,299
8,10,60,104,0.18555812328336485,5.9851282051282055,299,29,2,99,0.1665393094859744,5.60149386845039,299
9,26,11,93,0.0936046252705008,5.918706800445931,299,29,2,93,0.0913769198404533,5.383500557413601,299
10,29,8,99,0.17200564381578176,4.721806020066889,299,32,2,95,0.1801817294353173,4.601003344481605,299
11,4,31,48,0.10544369909780744,6.5361872909699,299,4,2,17,0.08271062520926147,5.810457079152731,299
12,4,33,56,0.13128617853137267,5.352263099219621,299,4,2,19,0.16185681270254693,5.398840579710145,299
13,5,35,52,0.12474609793868413,5.624816053511705,299,5,2,14,0.1629497972386178,5.6438127090301,299
14,8,29,66,0.20614284542489636,5.895406911928651,299,8,2,22,0.14603334261875459,5.191371237458194,299
15,10,21,26,0.061874911485203445,5.486711259754738,299,10,2,25,0.16583625613696407,5.028940914158305,299
16,4,71,102,0.045090885180168044,5.809966555183946,299,5,2,25,0.0725935401509029,5.576722408026756,299
17,10,33,37,0.0025246162261069174,5.714425863991082,299,3,2,8,0.10068158536366137,4.741627647714604,299
18,4,38,60,0.1008560456845764,5.726243032329989,299,4,2,14,0.0005054895847671028,6.177346711259755,299
19,10,47,123,0.03693694774549659,6.044325529542921,299,6,2,35,0.015530759898009417,6.528740245261984,299
20,6,14,18,0.009012823674503652,5.416967670011148,299,6,2,13,0.22900403796773539,5.076410256410257,299
21,9,23,45,0.1721437726505739,5.996365663322185,299,4,2,20,0.033727211709601225,5.659910813823857,299
22,12,28,37,0.16179237374423328,6.19139353400223,299,12,2,31,0.1802674542553092,5.6981716833890745,299
23,4,36,77,0.15521336365338528,5.897369007803791,299,11,2,73,0.26506172914503556,5.88,299
24,4,14,20,0.19350446083072026,5.406243032329989,299,4,2,9,0.13685716268118556,4.851415830546265,299
25,17,11,95,0.2188165965645329,5.769476031215162,299,18,2,80,0.3243082027098516,5.694715719063545,299
26,5,35,76,0.3523884249828385,5.823589743589744,299,6,2,31,0.3029959538024971,5.720245261984393,299
27,8,19,61,0.006273179123515847,6.034202898550725,299,15,2,59,0.05068934750060471,6.017056856187291,299
28,7,54,110,0.07425705652634519,5.225039018952063,299,13,2,77,0.015389858274050136,5.237480490523969,299
