Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,17,38,0.07931237843424352,5.925507246376812,299,15,3,17,0.0919275459489443,5.41721293199554,299
2,121,37,213,0.11106037693851847,5.740557413600892,299,155,3,213,0.07372155968973515,5.604191750278707,299
3,78,40,96,0.10126702582264653,5.758907469342252,299,46,3,60,0.2577974925838651,5.66263099219621,299
4,111,26,247,0.0033777031236157913,5.864347826086957,299,153,3,247,0.0019438207634205958,5.482207357859532,299
5,81,74,215,0.0819655308844683,5.711571906354515,299,41,3,49,0.228874217262083,5.429944258639911,299
6,44,9,56,0.18033320642003792,5.820624303232999,299,44,3,56,0.04569435772246473,5.719308807134894,299
7,71,6,83,0.255255530367982,5.32644370122631,299,62,3,74,0.24635877072579648,5.3360758082497215,299
8,203,60,248,0.18555812328336485,5.9851282051282055,299,203,3,247,0.2220641000548048,5.710523968784838,299
9,148,11,212,0.0936046252705008,5.918706800445931,299,152,3,212,0.09570442968772518,5.505663322185061,299
10,206,8,260,0.17200564381578176,4.721806020066889,299,208,3,260,0.18550484909744225,4.633400222965441,299
11,75,31,85,0.10544369909780744,6.5361872909699,299,33,3,39,0.07609312520585704,5.8307023411371235,299
12,107,33,217,0.13128617853137267,5.352263099219621,299,122,3,216,0.1992341816550075,5.471594202898551,299
13,183,35,235,0.12474609793868413,5.624816053511705,299,188,3,235,0.12576435484357743,5.725150501672241,299
14,176,29,220,0.20614284542489636,5.895406911928651,299,177,3,220,0.15272762046982466,5.310055741360089,299
15,167,21,240,0.061874911485203445,5.486711259754738,299,181,3,240,0.15840223811952592,5.075629877369008,299
16,27,71,149,0.045090885180168044,5.809966555183946,299,27,3,32,0.0284706176258982,5.701270903010033,299
17,144,33,198,0.0025246162261069174,5.714425863991082,299,147,3,198,0.291111149743825,4.879687848383501,299
18,53,38,186,0.1008560456845764,5.726243032329989,299,47,3,62,0.054434523376361656,6.273199554069119,299
19,168,47,215,0.03693694774549659,6.044325529542921,299,167,3,213,0.09884456621296413,6.534648829431438,299
20,198,14,237,0.009012823674503652,5.416967670011148,299,198,3,237,0.023132468493370452,5.080936454849498,299
21,23,23,82,0.1721437726505739,5.996365663322185,299,25,3,82,0.2025003213587061,5.741092530657748,299
22,58,28,67,0.16179237374423328,6.19139353400223,299,58,3,67,0.30214150119042804,5.7610702341137126,299
23,38,36,192,0.15521336365338528,5.897369007803791,299,98,3,192,0.15361763240376705,5.925886287625418,299
24,52,14,61,0.19350446083072026,5.406243032329989,299,41,3,49,0.22433079802226996,4.910033444816054,299
25,145,11,228,0.2188165965645329,5.769476031215162,299,141,3,213,0.17020330358460967,5.766399108138239,299
26,86,35,227,0.3523884249828385,5.823589743589744,299,142,3,219,0.03227679554079445,5.7961872909698995,299
27,94,19,166,0.006273179123515847,6.034202898550725,299,104,3,166,0.03498653530340979,6.046488294314381,299
28,21,54,203,0.07425705652634519,5.225039018952063,299,49,3,203,0.014003552936790398,5.329832775919733,299
29,175,77,227,0.1126949754011122,5.044526198439242,299,179,3,227,0.047362706203265076,5.072352285395763,299
30,166,75,236,0.05366575135173719,5.006153846153846,299,181,3,236,0.19687565212740965,4.592352285395764,299
31,165,61,221,0.11013186567986182,4.734113712374582,299,167,3,221,0.07689788449674417,5.049096989966555,299
32,178,45,239,0.14470071044484203,5.562051282051282,299,178,3,239,0.14371755780209364,5.60200668896321,299
33,154,15,209,0.013813055726832193,5.0369676700111485,299,155,3,209,0.051274175720275796,5.099687848383501,299
34,132,11,173,0.38899911708237955,5.947558528428094,299,135,3,173,0.36539068602723523,5.872396878483835,299
35,34,16,75,0.05687190045479178,6.792954292084727,299,33,3,68,0.08270604186338083,6.486599777034559,299
36,145,10,197,0.07244945476523276,5.29340022296544,299,146,3,195,0.07495871606021234,5.090390189520624,299
37,93,10,118,0.4187321484698301,5.67257525083612,299,93,3,118,0.2667648634657831,5.70448160535117,299
38,117,56,151,0.029829828809561497,5.695005574136009,299,112,3,145,0.2256435644416237,5.908985507246377,299
39,172,43,238,0.39821765939322196,6.228004459308807,299,170,3,231,0.32200762908436786,6.6059531772575255,299
40,192,85,228,0.10923168298892778,5.27901895206243,299,193,3,228,0.21085886331682002,4.926176142697882,299
41,134,37,196,0.0986554635765809,5.48989966555184,299,122,3,153,0.04541421681176229,5.698929765886287,299
42,71,9,98,0.21310340189195254,5.670657748049052,299,81,3,98,0.055733247991477594,5.489096989966555,299
