Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,6,35,0.07931237843424352,5.925507246376812,299,31,3,35,0.06418595188198198,5.8935562987736905,299
2,121,13,174,0.11106037693851847,5.740557413600892,299,121,3,174,0.16505949334127812,6.095139353400223,299
3,78,7,83,0.10126702582264653,5.758907469342252,299,78,3,83,0.12452586651923814,5.790590858416945,299
4,111,4,126,0.0033777031236157913,5.864347826086957,299,111,3,126,0.003896075399164553,5.852129319955407,299
5,81,30,182,0.0819655308844683,5.711571906354515,299,116,3,182,0.08142452740897188,5.712151616499443,299
6,44,4,53,0.18033320642003792,5.820624303232999,299,44,3,53,0.161516358536133,5.821917502787068,299
7,71,4,74,0.255255530367982,5.32644370122631,299,71,3,74,0.2428611190156892,5.333065774804905,299
8,203,16,215,0.18555812328336485,5.9851282051282055,299,203,3,215,0.23407762125971143,6.346934225195095,299
9,148,4,190,0.0936046252705008,5.918706800445931,299,148,3,190,0.10057263128135746,5.898193979933111,299
10,206,3,239,0.17200564381578176,4.721806020066889,299,206,3,239,0.17200564381578176,4.721806020066889,299
11,75,6,79,0.10544369909780744,6.5361872909699,299,75,3,79,0.10543525991346861,6.494158305462653,299
12,107,6,120,0.13128617853137267,5.352263099219621,299,107,3,120,0.1438824973654205,5.403991081382386,299
13,183,9,211,0.12474609793868413,5.624816053511705,299,183,3,211,0.17274487980177178,5.661739130434783,299
14,176,8,193,0.20614284542489636,5.895406911928651,299,176,3,193,0.21537591854670968,5.6291638795986625,299
15,167,7,183,0.061874911485203445,5.486711259754738,299,161,3,177,0.10390331633798006,5.519598662207358,299
16,27,26,113,0.045090885180168044,5.809966555183946,299,27,3,34,0.035619056028863574,6.276008918617614,299
17,144,17,177,0.0025246162261069174,5.714425863991082,299,144,3,177,0.008572584738833726,5.545596432552954,299
18,53,4,74,0.1008560456845764,5.726243032329989,299,53,3,74,0.09826173402389682,5.720111482720179,299
19,168,7,186,0.03693694774549659,6.044325529542921,299,168,3,186,0.046590607221948334,6.057257525083612,299
20,198,5,217,0.009012823674503652,5.416967670011148,299,198,3,217,0.012882928649855789,5.403255295429209,299
