Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,17,38,0.07931237843424352,5.925507246376812,299,16,4,19,0.10014425059614485,5.437703455964326,299
2,121,37,213,0.11106037693851847,5.740557413600892,299,151,4,213,0.08397876252324897,5.6682497212932,299
3,78,40,96,0.10126702582264653,5.758907469342252,299,46,4,60,0.2904149894021397,5.718706800445931,299
4,111,26,247,0.0033777031236157913,5.864347826086957,299,151,4,247,0.003225126007654592,5.592419175027871,299
5,81,74,215,0.0819655308844683,5.711571906354515,299,41,4,50,0.22322057122291605,5.549632107023411,299
6,44,9,56,0.18033320642003792,5.820624303232999,299,44,4,56,0.05935079993369549,5.754470457079153,299
7,71,6,83,0.255255530367982,5.32644370122631,299,62,4,74,0.2580808390768844,5.343054626532887,299
8,203,60,248,0.18555812328336485,5.9851282051282055,299,203,4,248,0.239233735651449,5.747469342251951,299
9,148,11,212,0.0936046252705008,5.918706800445931,299,150,4,212,0.10801273222109005,5.580178372352285,299
10,206,8,260,0.17200564381578176,4.721806020066889,299,207,4,260,0.18407711446483854,4.632775919732442,299
11,75,31,85,0.10544369909780744,6.5361872909699,299,34,4,40,0.05685901775721486,5.935741360089186,299
12,107,33,217,0.13128617853137267,5.352263099219621,299,120,4,216,0.2364338960040615,5.51866220735786,299
13,183,35,235,0.12474609793868413,5.624816053511705,299,188,4,235,0.12432065769738287,5.722408026755853,299
14,176,29,220,0.20614284542489636,5.895406911928651,299,176,4,220,0.21317944475093642,5.375964325529543,299
15,167,21,240,0.061874911485203445,5.486711259754738,299,181,4,240,0.1633838036159425,5.164570791527313,299
16,27,71,149,0.045090885180168044,5.809966555183946,299,27,4,32,0.2799275873117876,5.740802675585284,299
17,144,33,198,0.0025246162261069174,5.714425863991082,299,147,4,198,0.11618308188487275,4.950189520624304,299
18,53,38,186,0.1008560456845764,5.726243032329989,299,47,4,67,0.020317819200924018,6.33984392419175,299
19,168,47,215,0.03693694774549659,6.044325529542921,299,167,4,213,0.25846279587038723,6.530033444816054,299
20,198,14,237,0.009012823674503652,5.416967670011148,299,198,4,237,0.038278194098335064,5.142876254180602,299
21,23,23,82,0.1721437726505739,5.996365663322185,299,23,4,82,0.1445493970907423,5.809386845039019,299
22,58,28,67,0.16179237374423328,6.19139353400223,299,58,4,67,0.37860564790702256,5.836967670011148,299
23,38,36,192,0.15521336365338528,5.897369007803791,299,93,4,192,0.40606058508175535,5.893110367892977,299
24,52,14,61,0.19350446083072026,5.406243032329989,299,42,4,50,0.23809633180185552,4.948695652173913,299
25,145,11,228,0.2188165965645329,5.769476031215162,299,140,4,215,0.22723359500402174,5.812396878483835,299
26,86,35,227,0.3523884249828385,5.823589743589744,299,142,4,220,0.2904811575292444,5.803857302118172,299
27,94,19,166,0.006273179123515847,6.034202898550725,299,103,4,166,0.033485807265244,6.062898550724638,299
28,21,54,203,0.07425705652634519,5.225039018952063,299,44,4,203,0.018095830927119506,5.415875139353401,299
29,175,77,227,0.1126949754011122,5.044526198439242,299,178,4,227,0.03918807285547977,5.113623188405797,299
30,166,75,236,0.05366575135173719,5.006153846153846,299,180,4,236,0.1964268117227923,4.627134894091416,299
31,165,61,221,0.11013186567986182,4.734113712374582,299,167,4,221,0.08016399716639008,5.0088517279821625,299
32,178,45,239,0.14470071044484203,5.562051282051282,299,178,4,239,0.12628849376820991,5.6354292084726865,299
33,154,15,209,0.013813055726832193,5.0369676700111485,299,154,4,209,0.04389780028461068,5.098416945373467,299
34,132,11,173,0.38899911708237955,5.947558528428094,299,132,4,173,0.30087106830303345,5.887692307692308,299
35,34,16,75,0.05687190045479178,6.792954292084727,299,33,4,70,0.12037531962968277,6.4853957636566335,299
36,145,10,197,0.07244945476523276,5.29340022296544,299,146,4,195,0.06596362292930438,5.197748049052397,299
37,93,10,118,0.4187321484698301,5.67257525083612,299,93,4,118,0.36297542683358586,5.7238127090301,299
38,117,56,151,0.029829828809561497,5.695005574136009,299,113,4,146,0.21065932812971944,5.936477146042363,299
39,172,43,238,0.39821765939322196,6.228004459308807,299,172,4,238,0.41140618904918613,6.566555183946488,299
40,192,85,228,0.10923168298892778,5.27901895206243,299,193,4,228,0.20508611383478925,4.978015607580825,299
41,134,37,196,0.0986554635765809,5.48989966555184,299,123,4,156,0.06483745449907961,5.671215161649944,299
42,71,9,98,0.21310340189195254,5.670657748049052,299,80,4,98,0.040031367707190436,5.521270903010033,299
43,130,31,177,0.05712049727965628,5.2901226309921965,299,130,4,172,0.03006793747115089,5.100423634336678,299
44,163,55,197,0.13013846935293302,6.263099219620959,299,144,4,167,0.22038280330692173,6.6010479375696764,299
45,65,37,235,0.002994100849694382,5.82180602006689,299,126,4,235,0.16196235849201102,5.4855741360089185,299
46,138,41,176,0.6399211574387471,6.335250836120402,299,138,4,176,0.662538814673387,6.791326644370122,299
47,67,43,229,0.06205337496888233,5.327045707915273,299,105,4,229,0.039331433712718106,5.264414715719064,299
48,107,72,197,0.2662721152325376,6.520802675585284,299,50,4,61,0.8715078253427476,6.959487179487179,299
49,65,69,165,0.28682014814364953,5.814648829431438,299,35,4,42,0.15696985841886726,5.359821627647714,299
