Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,4,50,50,0.07931237843424352,5.925507246376812,299,3,50,50,0.0846230710803296,5.905774804905239,299
2,21,112,210,0.11106037693851847,5.740557413600892,299,3,139,204,0.04015966507348579,6.055897435897436,299
3,8,73,81,0.10126702582264653,5.758907469342252,299,3,73,81,0.10908620323837767,5.7154738015607585,299
4,4,155,191,0.0033777031236157913,5.864347826086957,299,3,155,191,0.003147364917221261,5.88113712374582,299
5,12,143,177,0.0819655308844683,5.711571906354515,299,3,143,177,0.06758770919076165,5.70876254180602,299
6,7,76,86,0.18033320642003792,5.820624303232999,299,3,76,86,0.12891764846280435,5.742073578595318,299
7,15,66,70,0.255255530367982,5.32644370122631,299,3,66,70,0.37178266255062764,5.557502787068004,299
8,10,146,162,0.18555812328336485,5.9851282051282055,299,3,143,159,0.22883612369123996,5.898885172798217,299
9,26,43,195,0.0936046252705008,5.918706800445931,299,3,48,195,0.03539848198218581,5.830546265328874,299
10,29,22,174,0.17200564381578176,4.721806020066889,299,3,57,174,0.06911913512267287,4.851036789297659,299
11,4,67,77,0.10544369909780744,6.5361872909699,299,3,67,77,0.10108844236556523,6.536053511705686,299
12,4,182,199,0.13128617853137267,5.352263099219621,299,3,179,196,0.11050256503362692,5.39154960981048,299
13,5,82,100,0.12474609793868413,5.624816053511705,299,3,82,100,0.09647687072406516,5.572173913043478,299
14,8,64,87,0.20614284542489636,5.895406911928651,299,3,64,87,0.14792659985655027,5.79340022296544,299
15,10,38,41,0.061874911485203445,5.486711259754738,299,3,35,41,0.1222333085514169,5.37768115942029,299
16,4,121,154,0.045090885180168044,5.809966555183946,299,3,121,154,0.053113235910708795,5.816499442586399,299
17,10,146,160,0.0025246162261069174,5.714425863991082,299,3,146,160,0.001402353009575619,5.646889632107023,299
18,4,77,98,0.1008560456845764,5.726243032329989,299,3,77,98,0.0923096894444853,5.7328651059085844,299
19,10,157,190,0.03693694774549659,6.044325529542921,299,3,160,190,0.07887383725371254,6.363054626532888,299
