Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,7,50,98,0.07931237843424352,5.925507246376812,299,4,5,5,0.09405837437202927,4.977859531772575,299,4,5,5,0.09405837437202927,4.977859531772575,299
2,71,112,228,0.11106037693851847,5.740557413600892,299,5,5,5,0.1430589331703044,4.627045707915273,299,5,5,5,0.1430589331703044,4.627045707915273,299
3,15,73,89,0.10126702582264653,5.758907469342252,299,5,5,5,0.21998098619587292,4.990167224080268,299,5,5,5,0.21998098619587292,4.990167224080268,299
4,39,155,198,0.0033777031236157913,5.864347826086957,299,5,5,5,0.03820318701328432,5.054916387959866,299,5,5,5,0.03820318701328432,5.054916387959866,299
5,31,143,214,0.0819655308844683,5.711571906354515,299,5,5,5,0.2805013157886046,4.657279821627648,299,5,5,5,0.2805013157886046,4.657279821627648,299
6,14,76,95,0.18033320642003792,5.820624303232999,299,4,5,5,0.1865959745186957,4.210746934225195,299,4,5,5,0.1865959745186957,4.210746934225195,299
7,39,66,78,0.255255530367982,5.32644370122631,299,4,5,5,0.3347862298075559,4.15768115942029,299,4,5,5,0.3347862298075559,4.15768115942029,299
8,21,146,209,0.18555812328336485,5.9851282051282055,299,5,5,5,0.30892001419445025,4.534760312151617,299,5,5,5,0.30892001419445025,4.534760312151617,299
9,71,43,247,0.0936046252705008,5.918706800445931,299,5,5,5,0.13111629789913526,5.489721293199554,299,5,5,5,0.13111629789913526,5.489721293199554,299
10,63,22,200,0.17200564381578176,4.721806020066889,299,5,5,5,0.20399688560913765,3.8256633221850613,299,5,5,5,0.20399688560913765,3.8256633221850613,299
11,33,67,90,0.10544369909780744,6.5361872909699,299,5,5,5,0.10281470570555147,5.247714604236343,299,5,5,5,0.10281470570555147,5.247714604236343,299
12,10,182,216,0.13128617853137267,5.352263099219621,299,4,5,5,0.2334594559604991,4.394559643255295,299,4,5,5,0.2334594559604991,4.394559643255295,299
13,20,82,244,0.12474609793868413,5.624816053511705,299,4,5,5,0.16904545235913548,3.894604236343367,299,4,5,5,0.16904545235913548,3.894604236343367,299
14,24,64,114,0.20614284542489636,5.895406911928651,299,5,5,5,0.2365989587509305,5.016142697881828,299,5,5,5,0.2365989587509305,5.016142697881828,299
15,20,38,46,0.061874911485203445,5.486711259754738,299,5,5,5,0.2610618121169711,4.079063545150501,299,5,5,5,0.2610618121169711,4.079063545150501,299
16,6,121,166,0.045090885180168044,5.809966555183946,299,4,5,5,0.2101721558868499,4.332017837235228,299,4,5,5,0.2101721558868499,4.332017837235228,299
17,80,146,178,0.0025246162261069174,5.714425863991082,299,5,5,5,0.23005186873953287,4.005841694537347,299,5,5,5,0.23005186873953287,4.005841694537347,299
18,18,77,140,0.1008560456845764,5.726243032329989,299,4,5,5,0.038187063507627815,5.853756967670011,299,4,5,5,0.038187063507627815,5.853756967670011,299
19,52,157,220,0.03693694774549659,6.044325529542921,299,5,5,5,0.17513214127696275,5.045128205128205,299,5,5,5,0.17513214127696275,5.045128205128205,299
20,40,43,56,0.009012823674503652,5.416967670011148,299,4,5,5,0.11468316773916153,3.900289855072464,299,4,5,5,0.11468316773916153,3.900289855072464,299
21,16,78,95,0.1721437726505739,5.996365663322185,299,5,5,5,0.07581395276149487,4.7326867335562985,299,5,5,5,0.07581395276149487,4.7326867335562985,299
22,28,108,216,0.16179237374423328,6.19139353400223,299,5,5,5,0.2623828063756247,4.866889632107023,299,5,5,5,0.2623828063756247,4.866889632107023,299
23,10,91,192,0.15521336365338528,5.897369007803791,299,5,5,5,0.1577339056129149,4.030323299888518,299,5,5,5,0.1577339056129149,4.030323299888518,299
24,11,30,31,0.19350446083072026,5.406243032329989,299,5,5,5,0.1973903069003864,4.634046822742475,299,5,5,5,0.1973903069003864,4.634046822742475,299
25,57,48,190,0.2188165965645329,5.769476031215162,299,5,5,5,0.2161029397369394,5.164347826086956,299,5,5,5,0.2161029397369394,5.164347826086956,299
26,32,82,256,0.3523884249828385,5.823589743589744,299,4,5,5,0.2506207294776457,3.812865105908584,299,4,5,5,0.2506207294776457,3.812865105908584,299
27,13,87,145,0.006273179123515847,6.034202898550725,299,5,5,5,0.08879989000634525,4.75536231884058,299,5,5,5,0.08879989000634525,4.75536231884058,299
28,9,104,212,0.07425705652634519,5.225039018952063,299,5,5,5,0.24861943382419205,4.112709030100334,299,5,5,5,0.24861943382419205,4.112709030100334,299
29,59,152,244,0.1126949754011122,5.044526198439242,299,5,5,5,0.1405529220836208,5.052798216276477,299,5,5,5,0.1405529220836208,5.052798216276477,299
30,44,104,235,0.05366575135173719,5.006153846153846,299,5,5,5,0.12051879544056569,4.681672240802675,299,5,5,5,0.12051879544056569,4.681672240802675,299
31,14,161,218,0.11013186567986182,4.734113712374582,299,4,5,5,0.16669182230102553,3.93603121516165,299,4,5,5,0.16669182230102553,3.93603121516165,299
32,107,140,221,0.14470071044484203,5.562051282051282,299,5,5,5,0.18431743525838318,5.062073578595318,299,5,5,5,0.18431743525838318,5.062073578595318,299
33,90,76,236,0.013813055726832193,5.0369676700111485,299,5,5,5,0.1350529744810964,3.9761204013377927,299,5,5,5,0.1350529744810964,3.9761204013377927,299
34,25,120,202,0.38899911708237955,5.947558528428094,299,5,5,5,0.08226428777631181,5.653355629877369,299,5,5,5,0.08226428777631181,5.653355629877369,299
35,7,58,76,0.05687190045479178,6.792954292084727,299,4,5,5,0.13288238361359317,5.554202898550725,299,4,5,5,0.13288238361359317,5.554202898550725,299
