Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,17,38,0.07931237843424352,5.925507246376812,299,5,5,5,0.0585841684481336,5.191438127090301,299,5,5,5,0.0585841684481336,5.191438127090301,299
2,121,37,213,0.11106037693851847,5.740557413600892,299,5,4,5,0.1561848761972343,5.337614269788183,299,5,4,5,0.1561848761972343,5.337614269788183,299
3,78,40,96,0.10126702582264653,5.758907469342252,299,5,4,5,0.2561329793887428,4.125039018952062,299,5,4,5,0.2561329793887428,4.125039018952062,299
4,111,26,247,0.0033777031236157913,5.864347826086957,299,5,5,5,0.20615650654339346,5.034069119286511,299,5,5,5,0.20615650654339346,5.034069119286511,299
5,81,74,215,0.0819655308844683,5.711571906354515,299,5,5,5,0.2881200786981799,4.476989966555184,299,5,5,5,0.2881200786981799,4.476989966555184,299
6,44,9,56,0.18033320642003792,5.820624303232999,299,5,5,5,0.08270617514803168,4.513132664437013,299,5,5,5,0.08270617514803168,4.513132664437013,299
7,71,6,83,0.255255530367982,5.32644370122631,299,5,4,5,0.3628482096686302,4.250345596432553,299,5,4,5,0.3628482096686302,4.250345596432553,299
8,203,60,248,0.18555812328336485,5.9851282051282055,299,5,5,5,0.2486550444097727,6.372865105908584,299,5,5,5,0.2486550444097727,6.372865105908584,299
9,148,11,212,0.0936046252705008,5.918706800445931,299,5,4,5,0.2572828692280522,4.351036789297659,299,5,4,5,0.2572828692280522,4.351036789297659,299
10,206,8,260,0.17200564381578176,4.721806020066889,299,5,5,5,0.23968814167743935,4.210947603121516,299,5,5,5,0.23968814167743935,4.210947603121516,299
11,75,31,85,0.10544369909780744,6.5361872909699,299,5,4,5,0.1328357614991142,4.9507915273132665,299,5,4,5,0.1328357614991142,4.9507915273132665,299
12,107,33,217,0.13128617853137267,5.352263099219621,299,5,4,5,0.05982687824988639,5.377948717948718,299,5,4,5,0.05982687824988639,5.377948717948718,299
13,183,35,235,0.12474609793868413,5.624816053511705,299,5,5,5,0.3733473780207678,4.212753623188406,299,5,5,5,0.3733473780207678,4.212753623188406,299
14,176,29,220,0.20614284542489636,5.895406911928651,299,5,5,5,0.11529128273998983,5.436588628762542,299,5,5,5,0.11529128273998983,5.436588628762542,299
15,167,21,240,0.061874911485203445,5.486711259754738,299,5,4,5,0.3075362706022745,4.109520624303233,299,5,4,5,0.3075362706022745,4.109520624303233,299
16,27,71,149,0.045090885180168044,5.809966555183946,299,5,4,5,0.13565851875122434,5.055362318840579,299,5,4,5,0.13565851875122434,5.055362318840579,299
17,144,33,198,0.0025246162261069174,5.714425863991082,299,5,5,5,0.13081990344063169,3.7870234113712375,299,5,5,5,0.13081990344063169,3.7870234113712375,299
18,53,38,186,0.1008560456845764,5.726243032329989,299,5,5,5,0.05537724512011763,5.408272017837235,299,5,5,5,0.05537724512011763,5.408272017837235,299
19,168,47,215,0.03693694774549659,6.044325529542921,299,5,4,5,0.22195840258229227,4.783255295429209,299,5,4,5,0.22195840258229227,4.783255295429209,299
