Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,7,6,12,0.07931237843424352,5.925507246376812,299,5,4,5,0.05989408403696875,5.838929765886288,299,5,4,5,0.05989408403696875,5.838929765886288,299
2,71,13,114,0.11106037693851847,5.740557413600892,299,5,3,5,0.14803328051886627,5.182675585284281,299,5,3,5,0.14803328051886627,5.182675585284281,299
3,15,7,19,0.10126702582264653,5.758907469342252,299,5,3,5,0.17246533423375188,5.851371237458194,299,5,3,5,0.17246533423375188,5.851371237458194,299
4,39,4,64,0.0033777031236157913,5.864347826086957,299,5,3,5,0.017039584257560428,5.495897435897436,299,5,3,5,0.017039584257560428,5.495897435897436,299
5,31,30,107,0.0819655308844683,5.711571906354515,299,5,4,5,0.18861339469740623,5.135652173913043,299,5,4,5,0.18861339469740623,5.135652173913043,299
6,14,4,18,0.18033320642003792,5.820624303232999,299,5,3,5,0.03593147878889287,5.582653288740246,299,5,3,5,0.03593147878889287,5.582653288740246,299
7,39,4,44,0.255255530367982,5.32644370122631,299,5,3,5,0.3638353820096485,5.329788182831661,299,5,3,5,0.3638353820096485,5.329788182831661,299
8,21,16,100,0.18555812328336485,5.9851282051282055,299,5,3,5,0.23930117754568525,5.631125975473801,299,5,3,5,0.23930117754568525,5.631125975473801,299
9,71,4,93,0.0936046252705008,5.918706800445931,299,5,4,5,0.22379476994996617,5.0543589743589745,299,5,4,5,0.22379476994996617,5.0543589743589745,299
10,63,3,119,0.17200564381578176,4.721806020066889,299,5,3,5,0.11547080242559425,4.593690078037904,299,5,3,5,0.11547080242559425,4.593690078037904,299
11,33,6,46,0.10544369909780744,6.5361872909699,299,5,3,5,0.07871657674345706,6.446265328874024,299,5,3,5,0.07871657674345706,6.446265328874024,299
12,10,6,13,0.13128617853137267,5.352263099219621,299,4,4,5,0.1470208985630374,5.344682274247492,299,4,4,5,0.1470208985630374,5.344682274247492,299
13,20,9,113,0.12474609793868413,5.624816053511705,299,5,4,5,0.21113134893641083,4.940646599777034,299,5,4,5,0.21113134893641083,4.940646599777034,299
14,24,8,85,0.20614284542489636,5.895406911928651,299,5,3,5,0.38734173436847097,5.494626532887403,299,5,3,5,0.38734173436847097,5.494626532887403,299
15,20,7,27,0.061874911485203445,5.486711259754738,299,5,4,5,0.2102751501490976,4.917034559643255,299,5,4,5,0.2102751501490976,4.917034559643255,299
16,6,26,59,0.045090885180168044,5.809966555183946,299,4,4,5,0.03585248417638486,6.103701226309922,299,4,4,5,0.03585248417638486,6.103701226309922,299
17,80,17,108,0.0025246162261069174,5.714425863991082,299,5,3,5,0.09878949914947892,5.2155629877369005,299,5,3,5,0.09878949914947892,5.2155629877369005,299
18,18,4,23,0.1008560456845764,5.726243032329989,299,5,3,5,0.04684700389753331,5.547692307692308,299,5,3,5,0.04684700389753331,5.547692307692308,299
19,52,7,77,0.03693694774549659,6.044325529542921,299,5,4,5,0.4653461381320918,7.397948717948718,299,5,4,5,0.4653461381320918,7.397948717948718,299
20,40,5,46,0.009012823674503652,5.416967670011148,299,5,3,5,0.15829010463465054,4.7500557413600895,299,5,3,5,0.15829010463465054,4.7500557413600895,299
21,16,4,18,0.1721437726505739,5.996365663322185,299,5,3,5,0.1302369402899199,5.687313266443701,299,5,3,5,0.1302369402899199,5.687313266443701,299
22,28,12,41,0.16179237374423328,6.19139353400223,299,5,4,5,0.4363129226930593,5.828115942028986,299,5,4,5,0.4363129226930593,5.828115942028986,299
23,10,21,91,0.15521336365338528,5.897369007803791,299,5,4,5,0.30717472764505116,6.4166778149386845,299,5,4,5,0.30717472764505116,6.4166778149386845,299
24,11,5,18,0.19350446083072026,5.406243032329989,299,5,5,5,0.22510949103574496,5.320557413600892,299,5,5,5,0.22510949103574496,5.320557413600892,299
25,57,3,72,0.2188165965645329,5.769476031215162,299,5,3,5,0.257341661272368,5.770836120401338,299,5,3,5,0.257341661272368,5.770836120401338,299
26,32,11,114,0.3523884249828385,5.823589743589744,299,5,4,5,0.16083236034936088,5.068049052396878,299,5,4,5,0.16083236034936088,5.068049052396878,299
27,13,12,80,0.006273179123515847,6.034202898550725,299,5,4,5,0.01346026025252241,5.3536008918617615,299,5,4,5,0.01346026025252241,5.3536008918617615,299
28,9,17,103,0.07425705652634519,5.225039018952063,299,5,5,5,0.0745822264156215,4.984057971014493,299,5,5,5,0.0745822264156215,4.984057971014493,299
29,59,18,135,0.1126949754011122,5.044526198439242,299,5,4,5,0.04427573503747347,5.339620958751394,299,5,4,5,0.04427573503747347,5.339620958751394,299
