Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,6,7,0.07931237843424352,5.925507246376812,299,4,4,5,0.07732080618396835,5.912931995540691,299,4,4,5,0.07732080618396835,5.912931995540691,299
2,21,13,46,0.11106037693851847,5.740557413600892,299,5,4,5,0.07370254863362401,6.320245261984392,299,5,4,5,0.07370254863362401,6.320245261984392,299
3,8,7,11,0.10126702582264653,5.758907469342252,299,4,4,5,0.12419798012914708,5.911438127090301,299,4,4,5,0.12419798012914708,5.911438127090301,299
4,4,4,20,0.0033777031236157913,5.864347826086957,299,4,3,5,0.012299835504954643,5.67866220735786,299,4,3,5,0.012299835504954643,5.67866220735786,299
5,12,30,62,0.0819655308844683,5.711571906354515,299,4,4,5,0.08880115115759753,5.534492753623188,299,4,4,5,0.08880115115759753,5.534492753623188,299
6,7,4,10,0.18033320642003792,5.820624303232999,299,5,3,5,0.1458162008433319,5.7211817168338905,299,5,3,5,0.1458162008433319,5.7211817168338905,299
7,15,4,27,0.255255530367982,5.32644370122631,299,4,4,5,0.360471518415435,5.61154960981048,299,4,4,5,0.360471518415435,5.61154960981048,299
8,10,16,50,0.18555812328336485,5.9851282051282055,299,5,3,5,0.2582356751462622,6.028740245261984,299,5,3,5,0.2582356751462622,6.028740245261984,299
9,26,4,48,0.0936046252705008,5.918706800445931,299,4,4,5,0.05690615544306964,5.565128205128205,299,4,4,5,0.05690615544306964,5.565128205128205,299
10,29,3,58,0.17200564381578176,4.721806020066889,299,5,3,5,0.05100351696155956,4.958394648829431,299,5,3,5,0.05100351696155956,4.958394648829431,299
11,4,6,15,0.10544369909780744,6.5361872909699,299,4,4,5,0.11442831229170299,6.446532887402452,299,4,4,5,0.11442831229170299,6.446532887402452,299
12,4,6,8,0.13128617853137267,5.352263099219621,299,4,4,5,0.14903078748590437,5.436209587513935,299,4,4,5,0.14903078748590437,5.436209587513935,299
13,5,9,26,0.12474609793868413,5.624816053511705,299,5,4,5,0.7146644857021758,5.824147157190636,299,5,4,5,0.7146644857021758,5.824147157190636,299
14,8,8,30,0.20614284542489636,5.895406911928651,299,4,4,5,0.2556051266624295,5.4856187290969896,299,4,4,5,0.2556051266624295,5.4856187290969896,299
15,10,7,20,0.061874911485203445,5.486711259754738,299,3,4,5,0.1632915336465719,5.346867335562988,299,3,4,5,0.1632915336465719,5.346867335562988,299
16,4,26,41,0.045090885180168044,5.809966555183946,299,3,4,5,0.024490120875662977,6.198662207357859,299,3,4,5,0.024490120875662977,6.198662207357859,299
17,10,17,24,0.0025246162261069174,5.714425863991082,299,5,5,5,0.007502992974250592,5.430390189520624,299,5,5,5,0.007502992974250592,5.430390189520624,299
18,4,4,9,0.1008560456845764,5.726243032329989,299,4,3,5,0.08528786043202947,5.688784838350056,299,4,3,5,0.08528786043202947,5.688784838350056,299
19,10,7,17,0.03693694774549659,6.044325529542921,299,4,4,5,0.08681791212660213,6.352508361204014,299,4,4,5,0.08681791212660213,6.352508361204014,299
20,6,5,17,0.009012823674503652,5.416967670011148,299,5,3,5,0.019551312602633656,5.34659977703456,299,5,3,5,0.019551312602633656,5.34659977703456,299
21,9,4,13,0.1721437726505739,5.996365663322185,299,4,3,5,0.15349224678528955,5.879085841694537,299,4,3,5,0.15349224678528955,5.879085841694537,299
22,12,12,26,0.16179237374423328,6.19139353400223,299,3,4,5,0.37324793435655024,5.874158305462653,299,3,4,5,0.37324793435655024,5.874158305462653,299
23,4,21,46,0.15521336365338528,5.897369007803791,299,3,5,5,0.5266673025400368,6.576321070234114,299,3,5,5,0.5266673025400368,6.576321070234114,299
24,4,5,10,0.19350446083072026,5.406243032329989,299,4,5,5,0.20425341078268244,5.407134894091416,299,4,5,5,0.20425341078268244,5.407134894091416,299
25,17,3,27,0.2188165965645329,5.769476031215162,299,3,3,5,0.29538531856128647,6.027491638795986,299,3,3,5,0.29538531856128647,6.027491638795986,299
26,5,11,31,0.3523884249828385,5.823589743589744,299,4,4,5,0.06535714942074652,5.8305016722408025,299,4,4,5,0.06535714942074652,5.8305016722408025,299
27,8,12,43,0.006273179123515847,6.034202898550725,299,5,5,5,0.0035784204698264582,5.606867335562987,299,5,5,5,0.0035784204698264582,5.606867335562987,299
28,7,17,59,0.07425705652634519,5.225039018952063,299,4,5,5,0.02748287984287294,5.198885172798216,299,4,5,5,0.02748287984287294,5.198885172798216,299
29,30,18,66,0.1126949754011122,5.044526198439242,299,5,4,5,0.06399131012425101,5.138974358974359,299,5,4,5,0.06399131012425101,5.138974358974359,299
30,7,8,12,0.05366575135173719,5.006153846153846,299,3,4,5,0.055522256580650686,4.874559643255296,299,3,4,5,0.055522256580650686,4.874559643255296,299
31,6,4,11,0.11013186567986182,4.734113712374582,299,4,4,5,0.18490535215765835,4.595317725752508,299,4,4,5,0.18490535215765835,4.595317725752508,299
32,37,19,60,0.14470071044484203,5.562051282051282,299,4,4,5,0.2876076915484538,5.517658862876254,299,4,4,5,0.2876076915484538,5.517658862876254,299
33,17,10,26,0.013813055726832193,5.0369676700111485,299,4,3,5,0.04736332405941623,4.998372352285395,299,4,3,5,0.04736332405941623,4.998372352285395,299
34,5,3,10,0.38899911708237955,5.947558528428094,299,4,3,4,0.3507061180816654,5.822608695652174,299,4,3,4,0.3507061180816654,5.822608695652174,299
35,2,5,8,0.05687190045479178,6.792954292084727,299,2,3,5,0.0470391205382231,6.777101449275363,299,2,3,5,0.0470391205382231,6.777101449275363,299
36,8,6,13,0.07244945476523276,5.29340022296544,299,5,4,5,0.3969508008973701,5.2846599777034555,299,5,4,5,0.3969508008973701,5.2846599777034555,299
37,4,3,6,0.4187321484698301,5.67257525083612,299,4,3,5,0.40877885462244745,5.705239687848383,299,4,3,5,0.40877885462244745,5.705239687848383,299
38,4,13,22,0.029829828809561497,5.695005574136009,299,3,4,5,0.013957348045819376,5.804057971014493,299,3,4,5,0.013957348045819376,5.804057971014493,299
39,5,6,15,0.39821765939322196,6.228004459308807,299,3,4,5,0.5481687891266275,6.712486064659978,299,3,4,5,0.5481687891266275,6.712486064659978,299
40,23,5,41,0.10923168298892778,5.27901895206243,299,5,3,5,0.14824298899412566,5.360490523968785,299,5,3,5,0.14824298899412566,5.360490523968785,299
41,23,5,40,0.0986554635765809,5.48989966555184,299,4,4,5,0.04170874854572062,5.371348940914158,299,4,4,5,0.04170874854572062,5.371348940914158,299
42,7,5,14,0.21310340189195254,5.670657748049052,299,4,5,5,0.04772550812942532,6.030189520624303,299,4,5,5,0.04772550812942532,6.030189520624303,299
43,10,22,39,0.05712049727965628,5.2901226309921965,299,5,5,5,0.027501380119930658,5.277748049052397,299,5,5,5,0.027501380119930658,5.277748049052397,299
44,9,5,13,0.13013846935293302,6.263099219620959,299,4,4,5,0.205981129941331,6.457926421404682,299,4,4,5,0.205981129941331,6.457926421404682,299
45,12,17,54,0.002994100849694382,5.82180602006689,299,5,4,5,0.04862855892839504,5.0029877369007805,299,5,4,5,0.04862855892839504,5.0029877369007805,299
