Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,17,18,0.07931237843424352,5.925507246376812,299,1,1,1,0.1319032089177994,5.014827201783723,299,1,1,1,0.1319032089177994,5.014827201783723,299
2,21,37,104,0.11106037693851847,5.740557413600892,299,1,1,1,0.027649240448331138,4.939018952062431,299,1,1,1,0.027649240448331138,4.939018952062431,299
3,8,40,44,0.10126702582264653,5.758907469342252,299,1,1,1,0.06717674421007137,5.137079152731326,299,1,1,1,0.06717674421007137,5.137079152731326,299
4,4,26,71,0.0033777031236157913,5.864347826086957,299,1,1,1,0.10858016013626606,4.8994648829431435,299,1,1,1,0.10858016013626606,4.8994648829431435,299
5,12,74,111,0.0819655308844683,5.711571906354515,299,1,1,1,0.1941390521114813,4.813600891861761,299,1,1,1,0.1941390521114813,4.813600891861761,299
6,7,9,16,0.18033320642003792,5.820624303232999,299,1,1,1,0.013295676678839909,5.354247491638796,299,1,1,1,0.013295676678839909,5.354247491638796,299
7,15,6,52,0.255255530367982,5.32644370122631,299,1,1,1,0.15620414512052727,4.6865328874024526,299,1,1,1,0.15620414512052727,4.6865328874024526,299
8,10,60,104,0.18555812328336485,5.9851282051282055,299,1,1,1,0.1685215527663464,4.927826086956522,299,1,1,1,0.1685215527663464,4.927826086956522,299
9,26,11,93,0.0936046252705008,5.918706800445931,299,1,1,1,0.10900386646235805,5.203232998885173,299,1,1,1,0.10900386646235805,5.203232998885173,299
10,29,8,99,0.17200564381578176,4.721806020066889,299,1,1,1,0.04477898508697075,4.294180602006689,299,1,1,1,0.04477898508697075,4.294180602006689,299
11,4,31,48,0.10544369909780744,6.5361872909699,299,1,1,1,0.033146497458777326,5.156989966555184,299,1,1,1,0.033146497458777326,5.156989966555184,299
12,4,33,56,0.13128617853137267,5.352263099219621,299,1,1,1,0.07930565182316138,5.3018729096989965,299,1,1,1,0.07930565182316138,5.3018729096989965,299
13,5,35,52,0.12474609793868413,5.624816053511705,299,1,1,1,0.0812432202414277,5.264437012263099,299,1,1,1,0.0812432202414277,5.264437012263099,299
14,8,29,66,0.20614284542489636,5.895406911928651,299,1,1,1,0.09602103911436774,4.828004459308807,299,1,1,1,0.09602103911436774,4.828004459308807,299
15,10,21,26,0.061874911485203445,5.486711259754738,299,1,1,1,0.177600078675605,4.2899888517279825,299,1,1,1,0.177600078675605,4.2899888517279825,299
16,4,71,102,0.045090885180168044,5.809966555183946,299,1,1,1,0.031457121977685173,4.89881828316611,299,1,1,1,0.031457121977685173,4.89881828316611,299
17,10,33,37,0.0025246162261069174,5.714425863991082,299,1,1,1,0.05447640736193036,4.246822742474916,299,1,1,1,0.05447640736193036,4.246822742474916,299
18,4,38,60,0.1008560456845764,5.726243032329989,299,1,1,1,0.14044106163146458,5.744994425863991,299,1,1,1,0.14044106163146458,5.744994425863991,299
19,10,47,123,0.03693694774549659,6.044325529542921,299,1,1,1,0.15904612200683876,6.3320624303233,299,1,1,1,0.15904612200683876,6.3320624303233,299
20,6,14,18,0.009012823674503652,5.416967670011148,299,1,1,1,0.02523140376073586,4.397480490523969,299,1,1,1,0.02523140376073586,4.397480490523969,299
21,9,23,45,0.1721437726505739,5.996365663322185,299,1,1,1,0.0008551139066681526,5.041114827201784,299,1,1,1,0.0008551139066681526,5.041114827201784,299
22,12,28,37,0.16179237374423328,6.19139353400223,299,1,1,1,0.1315171707605271,5.030078037904125,299,1,1,1,0.1315171707605271,5.030078037904125,299
23,4,36,77,0.15521336365338528,5.897369007803791,299,1,1,1,0.16704135488473104,5.121761426978818,299,1,1,1,0.16704135488473104,5.121761426978818,299
24,4,14,20,0.19350446083072026,5.406243032329989,299,1,1,1,0.07352184171327421,4.586399108138239,299,1,1,1,0.07352184171327421,4.586399108138239,299
25,17,11,95,0.2188165965645329,5.769476031215162,299,1,1,1,0.17879420737029383,5.357904124860647,299,1,1,1,0.17879420737029383,5.357904124860647,299
26,5,35,76,0.3523884249828385,5.823589743589744,299,1,1,1,0.07844969551110517,4.424927536231884,299,1,1,1,0.07844969551110517,4.424927536231884,299
27,8,19,61,0.006273179123515847,6.034202898550725,299,1,1,1,0.006963662076558231,5.099576365663323,299,1,1,1,0.006963662076558231,5.099576365663323,299
28,7,54,110,0.07425705652634519,5.225039018952063,299,1,1,1,0.08482986095758953,4.260780379041249,299,1,1,1,0.08482986095758953,4.260780379041249,299
