Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,7,50,98,0.07931237843424352,5.925507246376812,299,1,1,1,0.006594591966076576,4.055117056856187,299,1,1,1,0.006594591966076576,4.055117056856187,299
2,71,112,228,0.11106037693851847,5.740557413600892,299,1,1,1,0.03253267013320499,3.7230992196209587,299,1,1,1,0.03253267013320499,3.7230992196209587,299
3,15,73,89,0.10126702582264653,5.758907469342252,299,1,1,1,0.0028300040732550306,4.1461538461538465,299,1,1,1,0.0028300040732550306,4.1461538461538465,299
4,39,155,198,0.0033777031236157913,5.864347826086957,299,1,1,1,0.025426679110728566,4.101739130434782,299,1,1,1,0.025426679110728566,4.101739130434782,299
5,31,143,214,0.0819655308844683,5.711571906354515,299,1,1,1,0.001436039271244673,3.700401337792642,299,1,1,1,0.001436039271244673,3.700401337792642,299
6,14,76,95,0.18033320642003792,5.820624303232999,299,1,1,1,0.010377306370422026,3.2134002229654404,299,1,1,1,0.010377306370422026,3.2134002229654404,299
7,39,66,78,0.255255530367982,5.32644370122631,299,1,1,1,0.00034815224140710715,3.293623188405797,299,1,1,1,0.00034815224140710715,3.293623188405797,299
8,21,146,209,0.18555812328336485,5.9851282051282055,299,1,1,1,0.02505026004518387,3.4634559643255294,299,1,1,1,0.02505026004518387,3.4634559643255294,299
9,71,43,247,0.0936046252705008,5.918706800445931,299,1,1,1,0.0008826835954423247,4.420178372352286,299,1,1,1,0.0008826835954423247,4.420178372352286,299
10,63,22,200,0.17200564381578176,4.721806020066889,299,1,1,1,2.3071047647172405e-05,2.6612040133779264,299,1,1,1,2.3071047647172405e-05,2.6612040133779264,299
11,33,67,90,0.10544369909780744,6.5361872909699,299,1,1,1,1.9286659627710565e-05,3.649810479375697,299,1,1,1,1.9286659627710565e-05,3.649810479375697,299
12,10,182,216,0.13128617853137267,5.352263099219621,299,1,1,1,0.029456160114887806,3.591995540691193,299,1,1,1,0.029456160114887806,3.591995540691193,299
13,20,82,244,0.12474609793868413,5.624816053511705,299,1,1,1,0.007224083624046662,2.734515050167224,299,1,1,1,0.007224083624046662,2.734515050167224,299
14,24,64,114,0.20614284542489636,5.895406911928651,299,1,1,1,0.0011996899093141904,3.9728428093645487,299,1,1,1,0.0011996899093141904,3.9728428093645487,299
15,20,38,46,0.061874911485203445,5.486711259754738,299,1,1,1,0.004823910845633019,3.211482720178372,299,1,1,1,0.004823910845633019,3.211482720178372,299
16,6,121,166,0.045090885180168044,5.809966555183946,299,1,1,1,0.0149402904318337,3.3738015607580825,299,1,1,1,0.0149402904318337,3.3738015607580825,299
