Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,7,50,98,0.07931237843424352,5.925507246376812,299,2,57,96,0.2957488261639035,5.863010033444816,299
2,71,112,228,0.11106037693851847,5.740557413600892,299,2,162,220,0.04678678931515071,6.069654403567447,299
3,15,73,89,0.10126702582264653,5.758907469342252,299,2,74,89,0.41885537006275086,5.691594202898551,299
4,39,155,198,0.0033777031236157913,5.864347826086957,299,2,169,197,0.00028828786826527324,5.794804905239688,299
5,31,143,214,0.0819655308844683,5.711571906354515,299,2,93,144,0.022331754221965136,5.711192865105908,299
6,14,76,95,0.18033320642003792,5.820624303232999,299,2,76,93,0.03916030209835684,5.654849498327759,299
7,39,66,78,0.255255530367982,5.32644370122631,299,2,65,77,0.2551215332986272,5.344147157190635,299
8,21,146,209,0.18555812328336485,5.9851282051282055,299,2,135,192,0.161811572015909,5.6177703455964325,299
9,71,43,247,0.0936046252705008,5.918706800445931,299,2,67,244,0.06705030440163554,5.422920847268673,299
10,63,22,200,0.17200564381578176,4.721806020066889,299,2,83,200,0.022577899223638526,4.784191750278707,299
11,33,67,90,0.10544369909780744,6.5361872909699,299,2,67,90,0.19276739010962207,6.435763656633222,299
12,10,182,216,0.13128617853137267,5.352263099219621,299,2,173,205,0.0786098039954007,5.16546265328874,299
13,20,82,244,0.12474609793868413,5.624816053511705,299,2,98,240,0.179466301340665,5.28345596432553,299
14,24,64,114,0.20614284542489636,5.895406911928651,299,2,78,111,0.09714491867842392,5.587892976588629,299
15,20,38,46,0.061874911485203445,5.486711259754738,299,2,31,42,0.2545312743350133,5.11438127090301,299
16,6,121,166,0.045090885180168044,5.809966555183946,299,2,123,166,0.041302882017612855,5.80329988851728,299
17,80,146,178,0.0025246162261069174,5.714425863991082,299,2,146,178,0.07723398800301008,5.094604236343367,299
18,18,77,140,0.1008560456845764,5.726243032329989,299,2,99,140,0.06152165863943954,5.4510813823857305,299
19,52,157,220,0.03693694774549659,6.044325529542921,299,2,119,151,0.27172429882023597,7.221828316610925,299
20,40,43,56,0.009012823674503652,5.416967670011148,299,2,30,33,0.13656395181750816,4.639710144927537,299
21,16,78,95,0.1721437726505739,5.996365663322185,299,2,81,95,0.04917074979373558,5.549810479375696,299
22,28,108,216,0.16179237374423328,6.19139353400223,299,2,141,211,0.4751702297762155,6.290969899665551,299
23,10,91,192,0.15521336365338528,5.897369007803791,299,2,113,192,0.0452054815554548,5.64876254180602,299
24,11,30,31,0.19350446083072026,5.406243032329989,299,2,30,31,0.1979026640957101,5.383076923076923,299
25,57,48,190,0.2188165965645329,5.769476031215162,299,2,42,52,0.19495855057706712,5.6239910813823855,299
26,32,82,256,0.3523884249828385,5.823589743589744,299,2,160,256,0.1280549505303418,5.037458193979933,299
27,13,87,145,0.006273179123515847,6.034202898550725,299,2,91,144,0.23058927066843016,5.672463768115942,299
28,9,104,212,0.07425705652634519,5.225039018952063,299,2,104,197,0.10447461235111705,5.0146934225195094,299
29,59,152,244,0.1126949754011122,5.044526198439242,299,2,164,243,0.22882527142411546,4.438595317725753,299
30,44,104,235,0.05366575135173719,5.006153846153846,299,2,151,232,0.11950586066990615,4.641984392419175,299
31,14,161,218,0.11013186567986182,4.734113712374582,299,2,165,217,0.1701154294797773,4.482720178372352,299
32,107,140,221,0.14470071044484203,5.562051282051282,299,2,142,215,0.1701140068707696,4.991638795986622,299
33,90,76,236,0.013813055726832193,5.0369676700111485,299,2,135,232,0.1055169751374294,4.428740245261984,299
34,25,120,202,0.38899911708237955,5.947558528428094,299,2,123,173,0.11762474350680749,5.792173913043478,299
35,7,58,76,0.05687190045479178,6.792954292084727,299,2,59,76,0.01682815095938904,6.66066889632107,299
36,14,110,130,0.07244945476523276,5.29340022296544,299,2,110,130,0.11737801871433431,5.137658862876254,299
37,42,17,139,0.4187321484698301,5.67257525083612,299,2,17,32,0.15462021303518955,5.455295429208473,299
38,10,191,223,0.029829828809561497,5.695005574136009,299,2,194,223,0.19556146383196604,5.516744704570791,299
39,26,117,245,0.39821765939322196,6.228004459308807,299,2,114,234,0.2607112061296134,6.4453734671125975,299
40,58,163,245,0.10923168298892778,5.27901895206243,299,2,163,240,0.06026117272082926,5.216521739130434,299
41,80,138,251,0.0986554635765809,5.48989966555184,299,2,161,236,0.07769437238537515,5.147357859531772,299
42,28,89,230,0.21310340189195254,5.670657748049052,299,2,88,224,0.02401220209554937,5.734515050167224,299
43,11,198,246,0.05712049727965628,5.2901226309921965,299,2,198,245,0.15867457142497976,5.194136008918617,299
44,65,119,196,0.13013846935293302,6.263099219620959,299,2,50,56,0.15056204805816997,5.765395763656633,299
45,30,180,244,0.002994100849694382,5.82180602006689,299,2,196,244,0.15320494430026643,4.914314381270903,299
46,52,142,198,0.6399211574387471,6.335250836120402,299,2,119,171,0.7244192962525065,6.138327759197324,299
47,20,132,188,0.06205337496888233,5.327045707915273,299,2,121,156,0.07156041330486841,5.477926421404682,299
48,30,149,210,0.2662721152325376,6.520802675585284,299,2,99,144,0.0346736912090689,6.481895206243032,299
49,7,124,158,0.28682014814364953,5.814648829431438,299,2,119,151,0.043796994576652204,5.739777034559643,299
50,61,66,218,0.08330319940036783,5.1288963210702345,299,2,95,212,0.06641251476781401,5.33721293199554,299
51,33,158,231,0.19175397147076612,5.7154069119286515,299,2,172,224,0.15878680548364077,5.004503901895206,299
52,39,51,202,0.3555795333739128,5.506176142697882,299,2,94,199,0.0044321546921727035,5.823589743589744,299
53,14,184,244,0.06612946434652679,5.169453734671126,299,2,186,240,0.107691736038237,4.794960981047938,299
54,11,142,199,0.056909679227877256,5.074247491638796,299,2,149,199,0.00901044529496538,4.857591973244147,299
55,36,99,242,0.14780955429520162,5.05752508361204,299,2,131,234,0.17531329030953857,4.598595317725753,299
56,70,131,247,0.07487420890403716,5.378216276477146,299,2,158,247,0.0034692997410841176,5.769565217391304,299
57,15,66,89,0.11651091044705225,5.932931995540692,299,2,63,83,0.04159059977385709,5.533311036789297,299
58,40,173,225,0.532617531728279,5.936633221850613,299,2,170,210,0.2949726320221051,5.973913043478261,299
59,52,127,196,0.25940832098680644,6.072107023411371,299,2,135,196,0.06353130264188714,5.607201783723523,299
60,30,38,151,0.20211844392547051,5.941872909698997,299,2,38,143,0.01915564387894172,5.8649944258639914,299
61,63,61,237,0.22909159349117758,5.326622073578595,299,2,62,82,0.07633567345380854,5.697948717948718,299
62,41,160,229,0.20173462863153957,5.994247491638796,299,2,171,226,0.20794455970509773,5.0889855072463765,299
63,36,169,212,0.13136117279132203,5.518037904124861,299,2,168,210,0.09994448332202122,5.5369676700111485,299
64,32,195,229,0.0063428936109778036,5.489208472686734,299,2,194,227,0.15242408978154903,5.192798216276477,299
65,66,34,119,0.2872080231030043,5.4396432552954295,299,2,25,40,0.17434629633659438,4.686911928651059,299
66,6,116,158,0.02816546292748803,5.7215384615384615,299,2,116,158,0.010713587939125522,5.556410256410256,299
67,53,94,245,0.2125026282908904,5.924838350055741,299,2,134,244,0.007608686155042832,5.8589966555183945,299
68,24,52,204,0.07225196500155302,7.276967670011148,299,2,107,200,0.03162521597319805,5.987826086956522,299
69,14,34,52,0.08531648098086178,5.155629877369008,299,2,36,52,0.24973065204114164,5.03551839464883,299
70,36,46,69,0.04629308312842597,5.795562987736901,299,2,28,41,0.06191181937291492,5.333467112597547,299
71,9,136,184,0.2242370836507792,5.886243032329989,299,2,142,184,0.09584562948358838,5.6520401337792645,299
72,92,32,205,0.24847777644575098,5.3589966555183945,299,2,19,34,0.18215090476486528,5.22860646599777,299
73,22,156,200,0.13497730198591248,5.312396878483835,299,2,156,198,0.02221790958381907,5.336164994425864,299
74,17,186,249,0.046492801037664316,5.770702341137124,299,2,190,247,0.10475174927900519,5.178617614269788,299
75,19,113,235,0.06536549081582851,5.306845039018952,299,2,117,235,0.15840961742510662,5.067447045707915,299
76,54,110,240,0.021419122147799518,5.609966555183947,299,2,163,237,0.04775783234575414,5.1463991081382385,299
77,71,145,225,0.3065254246261411,5.437146042363434,299,2,147,219,0.2650814617388998,5.066822742474916,299
78,43,25,136,0.4529269496471753,6.0434336677814935,299,2,64,135,0.14377403251900184,5.918171683389074,299
79,17,192,225,0.15818448293266907,5.517257525083612,299,2,168,198,0.13935707172549786,5.381984392419175,299
80,29,202,252,0.2328871625330472,5.1464882943143815,299,2,203,252,0.18972521899646655,5.0660869565217395,299
81,64,128,171,0.08312335970152053,5.314113712374582,299,2,51,67,0.0899221459300812,4.847001114827202,299
82,15,128,181,0.05571991010012398,5.232084726867336,299,2,128,169,0.004469966665593655,5.1558751393534,299
83,29,49,62,0.18357287042720993,5.786755852842809,299,2,45,50,0.09919727465529282,5.63371237458194,299
84,66,94,191,0.17532505052800595,5.621382385730212,299,2,126,191,0.08234616779726402,5.2092976588628765,299
85,20,32,74,0.06270669950753174,6.402408026755853,299,2,30,72,0.10863430867552812,5.90546265328874,299
86,22,185,245,0.08296180402232481,6.253288740245262,299,2,130,160,0.03425789315044588,6.076410256410257,299
87,31,84,215,0.0280066020918544,6.040423634336678,299,2,134,213,0.09548961584674283,5.622207357859532,299
88,14,171,207,0.11344708218824763,5.638283166109253,299,2,177,207,0.36735703412372145,5.656521739130435,299
89,11,165,213,0.2576105727017034,5.235518394648829,299,2,161,200,0.18852331760291163,5.091817168338907,299
90,42,85,188,0.24605605986500345,6.006265328874025,299,2,91,177,0.37237983195455404,5.8937346711259755,299
91,27,125,211,0.5526599053026077,6.457770345596432,299,2,129,210,0.5139653827277297,6.5716610925306576,299
92,8,79,165,0.09886415830502684,6.339197324414716,299,2,79,159,0.1450959099720221,6.241828316610925,299
93,11,83,95,0.12000781126649136,5.2903232998885175,299,2,83,95,0.13185444119144987,5.026666666666666,299
94,21,127,232,0.022862618856058232,5.6119955406911926,299,2,141,229,0.19095165277581672,4.846399108138239,299
95,25,121,202,0.13525273917184266,5.470769230769231,299,2,121,194,0.12398101087096798,5.607959866220736,299
96,13,195,249,0.015959245621468457,5.453333333333333,299,2,202,247,0.010721130996885533,5.147447045707915,299
97,50,87,158,0.13392018314549803,5.333377926421405,299,2,72,82,0.04021558298545534,5.057435897435897,299
98,66,23,197,0.249854319337507,4.954425863991081,299,2,101,191,0.14176511172612669,4.986845039018952,299
99,86,94,202,0.04143020908726572,5.601672240802675,299,2,113,194,0.13290178140415584,5.242697881828317,299
100,44,182,245,0.12372347867470844,5.463344481605351,299,2,181,233,0.31560747265545486,5.265663322185062,299
