Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,4,50,50,0.07931237843424352,5.925507246376812,299,2,50,50,0.7914460938707226,5.905997770345596,299
2,21,112,210,0.11106037693851847,5.740557413600892,299,2,139,204,0.026345974758667772,6.0261761426978815,299
3,8,73,81,0.10126702582264653,5.758907469342252,299,2,73,81,0.12206475572758177,5.713734671125976,299
4,4,155,191,0.0033777031236157913,5.864347826086957,299,2,155,191,0.002993802183943162,5.878104793756967,299
5,12,143,177,0.0819655308844683,5.711571906354515,299,2,143,177,0.042444994011637247,5.712530657748049,299
6,7,76,86,0.18033320642003792,5.820624303232999,299,2,76,86,0.09254666635238648,5.729186176142698,299
7,15,66,70,0.255255530367982,5.32644370122631,299,2,66,70,0.3850195648914153,5.56149386845039,299
8,10,146,162,0.18555812328336485,5.9851282051282055,299,2,135,150,0.3611372844552452,5.912976588628762,299
9,26,43,195,0.0936046252705008,5.918706800445931,299,2,57,195,0.024357241505807686,5.769476031215162,299
10,29,22,174,0.17200564381578176,4.721806020066889,299,2,58,174,0.06288203287107932,4.8472463768115945,299
11,4,67,77,0.10544369909780744,6.5361872909699,299,2,67,77,0.0776817163219254,6.503344481605351,299
12,4,182,199,0.13128617853137267,5.352263099219621,299,2,179,196,0.12427028400347272,5.372173913043478,299
13,5,82,100,0.12474609793868413,5.624816053511705,299,2,82,100,0.06660636759937588,5.559085841694538,299
14,8,64,87,0.20614284542489636,5.895406911928651,299,2,64,87,0.12323358405020712,5.762408026755853,299
15,10,38,41,0.061874911485203445,5.486711259754738,299,2,35,41,0.12517246381877595,5.3883166109253064,299
16,4,121,154,0.045090885180168044,5.809966555183946,299,2,121,154,0.0577336266219527,5.822987736900781,299
17,10,146,160,0.0025246162261069174,5.714425863991082,299,2,146,160,0.000473470492137161,5.603835005574136,299
18,4,77,98,0.1008560456845764,5.726243032329989,299,2,78,98,0.0923096894444853,5.719799331103679,299
19,10,157,190,0.03693694774549659,6.044325529542921,299,2,161,190,0.06811960354992382,6.366599777034559,299
20,6,43,48,0.009012823674503652,5.416967670011148,299,2,43,48,0.007145703601180144,5.327670011148272,299
21,9,78,89,0.1721437726505739,5.996365663322185,299,2,78,89,0.14648324619755135,5.900914158305462,299
22,12,108,200,0.16179237374423328,6.19139353400223,299,2,138,199,0.23506398904076464,6.061627647714604,299
23,4,91,154,0.15521336365338528,5.897369007803791,299,2,95,154,0.2858477941743619,5.861360089186176,299
24,4,30,30,0.19350446083072026,5.406243032329989,299,2,30,30,0.18524537189775492,5.3936677814938685,299
25,17,48,134,0.2188165965645329,5.769476031215162,299,2,47,56,0.37973533429924067,6.069052396878484,299
26,5,82,111,0.3523884249828385,5.823589743589744,299,2,82,111,0.36594452449876747,5.777658862876254,299
27,8,87,125,0.006273179123515847,6.034202898550725,299,2,87,125,0.01710955802313447,5.95933110367893,299
28,7,104,199,0.07425705652634519,5.225039018952063,299,2,105,193,0.08926291213913093,5.217235228539576,299
29,30,152,206,0.1126949754011122,5.044526198439242,299,2,152,206,0.15424998383415986,4.66396878483835,299
30,7,104,123,0.05366575135173719,5.006153846153846,299,2,107,122,0.07078949372975672,5.049476031215161,299
31,6,161,187,0.11013186567986182,4.734113712374582,299,2,162,187,0.17291621410120372,4.631928651059086,299
32,37,140,175,0.14470071044484203,5.562051282051282,299,2,140,174,0.3034953714710462,5.540691192865106,299
33,17,76,85,0.013813055726832193,5.0369676700111485,299,2,58,61,0.03638763179108329,4.9396655518394645,299
34,5,120,134,0.38899911708237955,5.947558528428094,299,2,121,134,0.218962560929144,5.857703455964326,299
35,2,58,64,0.05687190045479178,6.792954292084727,299,2,58,64,0.05687190045479178,6.792954292084727,299
36,8,110,119,0.07244945476523276,5.29340022296544,299,2,110,119,0.09028226073649157,5.258840579710145,299
37,4,17,17,0.4187321484698301,5.67257525083612,299,2,17,17,0.3653332690721883,5.6925752508361205,299
38,4,191,209,0.029829828809561497,5.695005574136009,299,2,191,209,0.19531745582761206,5.644726867335563,299
39,5,117,133,0.39821765939322196,6.228004459308807,299,2,117,133,0.41708766180999957,6.371505016722408,299
40,23,163,185,0.10923168298892778,5.27901895206243,299,2,163,185,0.09244220344749372,5.326220735785953,299
41,23,138,159,0.0986554635765809,5.48989966555184,299,2,137,155,0.0903908352475541,5.668584169453735,299
42,7,89,204,0.21310340189195254,5.670657748049052,299,2,89,196,0.05516656557819217,5.761181716833891,299
43,10,198,218,0.05712049727965628,5.2901226309921965,299,2,197,217,0.1389104468302293,5.386867335562988,299
44,9,119,141,0.13013846935293302,6.263099219620959,299,2,115,121,0.1769577804676552,6.407068004459309,299
45,12,180,198,0.002994100849694382,5.82180602006689,299,2,181,198,0.03719459855622513,5.582742474916388,299
46,19,142,174,0.6399211574387471,6.335250836120402,299,2,143,174,0.7188749011161768,6.667848383500558,299
47,7,132,158,0.06205337496888233,5.327045707915273,299,2,128,153,0.08623105470203411,5.345484949832776,299
48,4,149,168,0.2662721152325376,6.520802675585284,299,2,149,168,0.06758834484028974,6.453957636566332,299
49,6,124,144,0.28682014814364953,5.814648829431438,299,2,124,144,0.2391312815220723,5.745908584169454,299
50,27,66,208,0.08330319940036783,5.1288963210702345,299,2,96,208,0.025690085359856236,5.311259754738016,299
51,8,158,199,0.19175397147076612,5.7154069119286515,299,2,163,196,0.1532950871305265,5.657614269788183,299
52,16,51,178,0.3555795333739128,5.506176142697882,299,2,54,138,0.4876150917055546,6.2956075808249725,299
53,4,184,211,0.06612946434652679,5.169453734671126,299,2,183,204,0.06062398794159638,5.102296544035674,299
54,4,142,186,0.056909679227877256,5.074247491638796,299,2,142,186,0.004605905166482894,4.997948717948718,299
55,4,99,112,0.14780955429520162,5.05752508361204,299,2,99,112,0.1215139311457948,5.025039018952063,299
56,17,131,231,0.07487420890403716,5.378216276477146,299,2,133,230,0.10851977571737563,5.896410256410256,299
57,4,66,74,0.11651091044705225,5.932931995540692,299,2,63,70,0.08391518261720009,5.906220735785953,299
58,13,173,185,0.532617531728279,5.936633221850613,299,2,173,185,0.4385654402671446,6.0429208472686735,299
59,10,127,155,0.25940832098680644,6.072107023411371,299,2,128,155,0.30834554955691995,6.024080267558529,299
60,11,38,134,0.20211844392547051,5.941872909698997,299,2,38,134,0.11840661704270902,5.978952062430324,299
61,5,61,74,0.22909159349117758,5.326622073578595,299,2,61,74,0.19837453062871913,5.398060200668897,299
62,4,160,176,0.20173462863153957,5.994247491638796,299,2,160,175,0.16284938872608423,5.958573021181717,299
63,6,169,197,0.13136117279132203,5.518037904124861,299,2,169,196,0.14242182779964976,5.680401337792643,299
64,13,195,213,0.0063428936109778036,5.489208472686734,299,2,195,213,0.023415369443826977,5.417458193979933,299
65,10,34,36,0.2872080231030043,5.4396432552954295,299,2,34,36,0.1570652189314082,5.344057971014493,299
66,4,116,146,0.02816546292748803,5.7215384615384615,299,2,116,146,0.025273818646013926,5.677591973244147,299
67,15,94,100,0.2125026282908904,5.924838350055741,299,2,55,55,0.11953153079612756,5.823433667781494,299
68,13,52,102,0.07225196500155302,7.276967670011148,299,2,47,100,0.04386237990884919,6.622140468227425,299
69,4,34,38,0.08531648098086178,5.155629877369008,299,2,34,38,0.09614404059593747,5.144927536231884,299
70,6,46,61,0.04629308312842597,5.795562987736901,299,2,49,61,0.12004821637088989,5.765261984392419,299
71,5,136,150,0.2242370836507792,5.886243032329989,299,2,136,150,0.07302479599629327,5.8309698996655515,299
72,26,32,173,0.24847777644575098,5.3589966555183945,299,2,63,151,0.19809919968229217,5.806711259754738,299
73,5,156,177,0.13497730198591248,5.312396878483835,299,2,156,177,0.019328782894256553,5.303522853957636,299
74,4,186,228,0.046492801037664316,5.770702341137124,299,2,186,226,0.16802823030248337,5.780200668896321,299
