Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,31,6,35,0.07931237843424352,5.925507246376812,299,2,4,7,0.004607934611932495,5.852285395763657,299
2,121,13,174,0.11106037693851847,5.740557413600892,299,2,20,83,0.06538103300876857,5.276789297658863,299
3,78,7,83,0.10126702582264653,5.758907469342252,299,2,5,13,0.03535898839444298,4.385395763656633,299
4,111,4,126,0.0033777031236157913,5.864347826086957,299,2,3,7,0.015581267210094977,4.966867335562988,299
5,81,30,182,0.0819655308844683,5.711571906354515,299,2,26,79,0.0547648298295203,5.423366778149387,299
6,44,4,53,0.18033320642003792,5.820624303232999,299,2,4,16,0.000618485723865684,4.605373467112598,299
7,71,4,74,0.255255530367982,5.32644370122631,299,2,3,12,0.020360479364898345,4.929230769230769,299
8,203,16,215,0.18555812328336485,5.9851282051282055,299,2,28,151,0.07685244559064239,5.103433667781494,299
9,148,4,190,0.0936046252705008,5.918706800445931,299,2,24,163,0.04844392191559846,4.463946488294314,299
10,206,3,239,0.17200564381578176,4.721806020066889,299,2,42,225,0.10483051329823408,3.5396209587513936,299
11,75,6,79,0.10544369909780744,6.5361872909699,299,2,4,9,0.031132137817138025,4.968673355629877,299
12,107,6,120,0.13128617853137267,5.352263099219621,299,2,5,10,0.08347820043220486,4.599910813823858,299
13,183,9,211,0.12474609793868413,5.624816053511705,299,2,26,186,0.13627597685205758,3.72809364548495,299
14,176,8,193,0.20614284542489636,5.895406911928651,299,2,2,6,0.03207482737037141,5.3014938684503905,299
15,167,7,183,0.061874911485203445,5.486711259754738,299,2,6,33,0.17635503061444568,5.403366778149387,299
16,27,26,113,0.045090885180168044,5.809966555183946,299,2,38,113,0.011911490685877194,5.303210702341137,299
17,144,17,177,0.0025246162261069174,5.714425863991082,299,2,5,9,0.12670808727215555,3.7768115942028984,299
18,53,4,74,0.1008560456845764,5.726243032329989,299,2,3,10,0.014120537560130613,5.366399108138238,299
19,168,7,186,0.03693694774549659,6.044325529542921,299,2,3,9,0.13087450912543935,5.076477146042364,299
20,198,5,217,0.009012823674503652,5.416967670011148,299,2,3,5,0.005765409234138099,5.337056856187291,299
21,23,4,25,0.1721437726505739,5.996365663322185,299,2,3,6,0.0013450929762922818,5.048115942028986,299
22,58,12,64,0.16179237374423328,6.19139353400223,299,2,10,32,0.17706298312102398,5.500468227424749,299
23,38,21,171,0.15521336365338528,5.897369007803791,299,2,28,118,0.29745328213581557,5.142452619843924,299
24,52,5,58,0.19350446083072026,5.406243032329989,299,2,6,15,0.06743718589910057,5.044280936454849,299
25,145,3,195,0.2188165965645329,5.769476031215162,299,2,15,152,0.15865815557913943,4.942697881828317,299
26,86,11,199,0.3523884249828385,5.823589743589744,299,2,31,182,0.10531575257778239,4.172263099219621,299
27,94,12,139,0.006273179123515847,6.034202898550725,299,2,31,109,0.011176949623303511,5.533913043478261,299
28,21,17,172,0.07425705652634519,5.225039018952063,299,2,30,165,0.02884213087831098,4.4627201783723525,299
29,175,18,186,0.1126949754011122,5.044526198439242,299,2,4,6,0.1361521869170451,4.016633221850613,299
30,166,8,189,0.05366575135173719,5.006153846153846,299,2,5,20,0.1038908022749197,3.747759197324415,299
31,165,4,181,0.11013186567986182,4.734113712374582,299,2,3,9,0.06686463111658059,4.161471571906355,299
32,178,19,194,0.14470071044484203,5.562051282051282,299,2,5,12,0.007511808963302136,4.722541806020067,299
33,154,10,192,0.013813055726832193,5.0369676700111485,299,2,5,30,0.10526445032896059,3.885752508361204,299
34,132,3,148,0.38899911708237955,5.947558528428094,299,2,2,10,0.05264024376121007,4.9120624303233,299
35,34,5,43,0.05687190045479178,6.792954292084727,299,2,4,9,0.010281932538842464,6.12479375696767,299
36,145,6,167,0.07244945476523276,5.29340022296544,299,2,4,9,0.11623344960253416,4.626622073578595,299
37,93,3,101,0.4187321484698301,5.67257525083612,299,2,3,4,0.12457565660997288,4.941003344481605,299
38,117,13,146,0.029829828809561497,5.695005574136009,299,2,7,14,0.04084545948760958,4.372976588628762,299
39,172,6,201,0.39821765939322196,6.228004459308807,299,2,29,142,0.16283577592836107,5.133534002229655,299
40,192,5,207,0.10923168298892778,5.27901895206243,299,2,5,32,0.1185125007329384,4.276298773690078,299
41,134,5,160,0.0986554635765809,5.48989966555184,299,2,3,12,0.07927958015962001,4.282408026755853,299
42,71,5,78,0.21310340189195254,5.670657748049052,299,2,7,19,0.08016111601990851,4.234358974358974,299
43,130,22,165,0.05712049727965628,5.2901226309921965,299,2,37,144,0.08820631548521411,4.764548494983278,299
44,163,5,176,0.13013846935293302,6.263099219620959,299,2,3,8,0.02329089944148202,5.462006688963211,299
45,65,17,214,0.002994100849694382,5.82180602006689,299,2,48,185,0.06784015354920804,4.081672240802676,299
46,138,11,152,0.6399211574387471,6.335250836120402,299,2,3,8,0.0993573938409295,6.565061315496098,299
47,67,8,79,0.06205337496888233,5.327045707915273,299,2,6,13,0.10663015048384465,3.9300780379041247,299
48,107,8,173,0.2662721152325376,6.520802675585284,299,2,8,30,0.05767683351889073,7.137814938684504,299
49,65,10,126,0.28682014814364953,5.814648829431438,299,2,20,114,0.019375414465894712,5.097904124860647,299
50,170,5,196,0.08330319940036783,5.1288963210702345,299,2,5,14,0.10360522937482602,4.081025641025641,299
51,189,11,197,0.19175397147076612,5.7154069119286515,299,2,2,5,0.028229221443691135,4.6465997770345595,299
52,103,5,138,0.3555795333739128,5.506176142697882,299,2,7,27,0.07325170702726552,4.9048383500557415,299
53,24,37,211,0.06612946434652679,5.169453734671126,299,2,42,192,0.04936803314267423,4.2956744704570795,299
54,31,10,86,0.056909679227877256,5.074247491638796,299,2,16,80,0.0215664505438551,3.917212931995541,299
55,48,4,52,0.14780955429520162,5.05752508361204,299,2,8,26,0.04059587125020766,3.986800445930881,299
56,201,3,219,0.07487420890403716,5.378216276477146,299,2,3,5,0.09267591280937792,3.8488071348940913,299
57,34,7,37,0.11651091044705225,5.932931995540692,299,2,5,33,0.038603001570271925,4.63933110367893,299
58,110,4,119,0.532617531728279,5.936633221850613,299,2,3,8,0.14257996304318524,4.93701226309922,299
59,112,4,149,0.25940832098680644,6.072107023411371,299,2,6,27,0.039579978564967117,5.027402452619844,299
60,112,6,135,0.20211844392547051,5.941872909698997,299,2,16,91,0.1383530426237279,5.510323299888517,299
61,164,4,197,0.22909159349117758,5.326622073578595,299,2,3,20,0.04587842140480819,4.115451505016722,299
62,59,4,65,0.20173462863153957,5.994247491638796,299,2,5,16,0.10504940696727642,4.324593088071349,299
63,85,9,178,0.13136117279132203,5.518037904124861,299,2,37,162,0.19355851941990576,5.025484949832776,299
64,41,3,44,0.0063428936109778036,5.489208472686734,299,2,3,6,0.10211439413586446,4.763612040133779,299
65,193,5,212,0.2872080231030043,5.4396432552954295,299,2,33,180,0.06572909722243266,4.343678929765886,299
66,34,10,52,0.02816546292748803,5.7215384615384615,299,2,11,49,0.00193841481525114,4.74742474916388,299
67,88,10,162,0.2125026282908904,5.924838350055741,299,2,12,64,0.38898000508581976,5.318238573021182,299
68,47,6,49,0.07225196500155302,7.276967670011148,299,2,3,6,0.006739431513281365,5.578238573021181,299
69,145,5,153,0.08531648098086178,5.155629877369008,299,2,2,10,0.08440281343630814,4.066889632107023,299
70,76,6,82,0.04629308312842597,5.795562987736901,299,2,3,9,0.08011219085605628,4.199977703455964,299
71,68,3,82,0.2242370836507792,5.886243032329989,299,2,4,15,0.12997758359152758,5.1810033444816055,299
72,178,2,188,0.24847777644575098,5.3589966555183945,299,2,2,5,0.07142280713497912,4.289877369007804,299
73,49,5,56,0.13497730198591248,5.312396878483835,299,2,5,9,0.07189047813231828,4.518528428093646,299
74,77,16,177,0.046492801037664316,5.770702341137124,299,2,28,115,0.04830597111979027,5.055317725752508,299
75,57,5,66,0.06536549081582851,5.306845039018952,299,2,5,28,0.04279918368324742,4.692597547380156,299
76,147,5,171,0.021419122147799518,5.609966555183947,299,2,3,12,0.002652678377984614,5.15701226309922,299
77,152,34,231,0.3065254246261411,5.437146042363434,299,2,48,219,0.13760806434392608,3.8098104793756966,299
78,128,2,153,0.4529269496471753,6.0434336677814935,299,2,3,9,0.18401964970499263,4.8531326644370125,299
79,34,19,129,0.15818448293266907,5.517257525083612,299,2,24,108,0.0468369815451413,5.0435674470457075,299
80,123,13,133,0.2328871625330472,5.1464882943143815,299,2,5,8,0.02977145504725676,4.5086287625418064,299
81,163,5,200,0.08312335970152053,5.314113712374582,299,2,4,9,0.18259589254970665,4.124704570791527,299
82,125,6,137,0.05571991010012398,5.232084726867336,299,2,22,124,0.07993955423309423,4.837168338907469,299
83,52,14,65,0.18357287042720993,5.786755852842809,299,2,6,19,0.15404820684719772,4.415117056856188,299
84,172,3,197,0.17532505052800595,5.621382385730212,299,2,31,186,0.09564380016219207,4.075808249721293,299
85,148,7,163,0.06270669950753174,6.402408026755853,299,2,6,17,0.005710323392482674,4.668316610925307,299
86,153,4,177,0.08296180402232481,6.253288740245262,299,2,3,12,0.1946945573680604,5.791103678929766,299
87,62,13,113,0.0280066020918544,6.040423634336678,299,2,16,55,0.01215687471120421,5.307134894091416,299
88,54,5,60,0.11344708218824763,5.638283166109253,299,2,3,5,0.07753917711958569,4.026488294314381,299
89,17,7,35,0.2576105727017034,5.235518394648829,299,2,4,10,0.21010248698473477,4.65917502787068,299
90,53,7,179,0.24605605986500345,6.006265328874025,299,2,21,126,0.11783622056409652,5.3364102564102565,299
91,123,14,160,0.5526599053026077,6.457770345596432,299,2,6,19,0.0827823185177257,5.646309921962096,299
92,67,5,145,0.09886415830502684,6.339197324414716,299,2,11,115,0.08678287573685003,5.687982162764771,299
93,77,4,108,0.12000781126649136,5.2903232998885175,299,2,5,19,0.3544894461043878,5.121895206243033,299
94,96,7,141,0.022862618856058232,5.6119955406911926,299,2,5,18,0.08209761818102572,4.325261984392419,299
95,148,13,162,0.13525273917184266,5.470769230769231,299,2,5,9,0.06854210415884168,4.7271125975473804,299
96,52,12,57,0.015959245621468457,5.453333333333333,299,2,13,29,0.048665974229238164,4.2385730211817165,299
97,117,12,137,0.13392018314549803,5.333377926421405,299,2,4,10,0.07257328673325401,4.018639910813824,299
98,146,6,198,0.249854319337507,4.954425863991081,299,2,5,41,0.10890552800375757,4.283166109253066,299
99,199,12,222,0.04143020908726572,5.601672240802675,299,2,4,10,0.1235965759013932,3.7231884057971016,299
100,76,16,93,0.12372347867470844,5.463344481605351,299,2,8,17,0.1254548544711093,4.807736900780379,299
