Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,31,17,38,0.07931237843424352,5.925507246376812,299,4,17,33,0.047189603187685024,6.01041248606466,299
2,121,37,213,0.11106037693851847,5.740557413600892,299,4,75,193,0.15039979460102154,5.430033444816053,299
3,78,40,96,0.10126702582264653,5.758907469342252,299,4,9,21,0.25884279451554304,4.573868450390189,299
4,111,26,247,0.0033777031236157913,5.864347826086957,299,4,60,137,0.047443619119037245,5.1750278706800446,299
5,81,74,215,0.0819655308844683,5.711571906354515,299,4,50,118,0.1003225280312859,5.673288740245262,299
6,44,9,56,0.18033320642003792,5.820624303232999,299,4,9,24,0.05987950152960637,4.942876254180602,299
7,71,6,83,0.255255530367982,5.32644370122631,299,4,30,70,0.2451935893601117,5.196209587513935,299
8,203,60,248,0.18555812328336485,5.9851282051282055,299,4,87,210,0.08123546416879865,5.5026978818283165,299
9,148,11,212,0.0936046252705008,5.918706800445931,299,4,61,199,0.18392172010784624,4.792775919732441,299
10,206,8,260,0.17200564381578176,4.721806020066889,299,4,85,255,0.188059042407986,3.8564771460423635,299
11,75,31,85,0.10544369909780744,6.5361872909699,299,4,11,15,0.11967652201517578,5.264147157190635,299
12,107,33,217,0.13128617853137267,5.352263099219621,299,4,65,177,0.23420030161513394,4.799264214046823,299
13,183,35,235,0.12474609793868413,5.624816053511705,299,4,77,215,0.14975173736371125,4.264548494983278,299
14,176,29,220,0.20614284542489636,5.895406911928651,299,4,13,44,0.08407604431717161,5.743701226309922,299
15,167,21,240,0.061874911485203445,5.486711259754738,299,4,48,189,0.3398396870484439,5.815964325529543,299
16,27,71,149,0.045090885180168044,5.809966555183946,299,4,76,149,0.05310723239882714,5.575741360089186,299
17,144,33,198,0.0025246162261069174,5.714425863991082,299,4,10,14,0.2154649874482718,4.0835228539576365,299
18,53,38,186,0.1008560456845764,5.726243032329989,299,4,37,122,0.07180094421199625,5.66164994425864,299
19,168,47,215,0.03693694774549659,6.044325529542921,299,4,6,22,0.29969737938831076,5.332530657748049,299
20,198,14,237,0.009012823674503652,5.416967670011148,299,4,45,159,0.05979277751189726,5.6632775919732445,299
21,23,23,82,0.1721437726505739,5.996365663322185,299,4,34,80,0.04804658288072591,5.339933110367893,299
22,58,28,67,0.16179237374423328,6.19139353400223,299,4,27,55,0.2747566004498142,5.673623188405797,299
23,38,36,192,0.15521336365338528,5.897369007803791,299,4,61,155,0.10617932209704943,5.397591973244147,299
24,52,14,61,0.19350446083072026,5.406243032329989,299,4,11,16,0.20451253903357758,5.300089186176143,299
25,145,11,228,0.2188165965645329,5.769476031215162,299,4,34,184,0.26937735839640486,5.337235228539576,299
26,86,35,227,0.3523884249828385,5.823589743589744,299,4,74,223,0.08393098421969908,4.608026755852843,299
27,94,19,166,0.006273179123515847,6.034202898550725,299,4,52,141,0.06500855039583119,5.850144927536232,299
28,21,54,203,0.07425705652634519,5.225039018952063,299,4,65,201,0.07339139166675335,4.693132664437012,299
29,175,77,227,0.1126949754011122,5.044526198439242,299,4,19,33,0.2046948419055663,4.341204013377927,299
30,166,75,236,0.05366575135173719,5.006153846153846,299,4,107,235,0.23664357853270834,4.058483835005574,299
31,165,61,221,0.11013186567986182,4.734113712374582,299,4,77,203,0.16217609498963592,4.428896321070234,299
32,178,45,239,0.14470071044484203,5.562051282051282,299,4,51,112,0.07252984241310681,5.2211594202898555,299
33,154,15,209,0.013813055726832193,5.0369676700111485,299,4,12,40,0.166221513655047,4.269476031215162,299
34,132,11,173,0.38899911708237955,5.947558528428094,299,4,41,123,0.170945752195225,5.126109253065775,299
35,34,16,75,0.05687190045479178,6.792954292084727,299,4,14,36,0.14408693261432115,6.503589743589743,299
36,145,10,197,0.07244945476523276,5.29340022296544,299,4,8,17,0.24064330204513118,4.892084726867336,299
37,93,10,118,0.4187321484698301,5.67257525083612,299,4,5,11,0.38554682063603785,5.127848383500558,299
38,117,56,151,0.029829828809561497,5.695005574136009,299,4,11,16,0.04026144999357791,4.679866220735786,299
39,172,43,238,0.39821765939322196,6.228004459308807,299,4,85,186,0.5233222500928236,5.390189520624303,299
40,192,85,228,0.10923168298892778,5.27901895206243,299,4,20,33,0.31465516765229284,4.483745819397993,299
41,134,37,196,0.0986554635765809,5.48989966555184,299,4,22,36,0.232860750558058,4.541070234113713,299
42,71,9,98,0.21310340189195254,5.670657748049052,299,4,9,22,0.2508108425876351,4.6694091415830545,299
43,130,31,177,0.05712049727965628,5.2901226309921965,299,4,64,177,0.10280035031627452,4.957881828316611,299
44,163,55,197,0.13013846935293302,6.263099219620959,299,4,11,33,0.12978248563716438,5.8650836120401335,299
45,65,37,235,0.002994100849694382,5.82180602006689,299,4,83,228,0.1833101851156742,4.355540691192865,299
46,138,41,176,0.6399211574387471,6.335250836120402,299,4,13,56,0.286370459490182,6.966934225195095,299
47,67,43,229,0.06205337496888233,5.327045707915273,299,4,85,224,0.20717578591418984,4.242051282051282,299
48,107,72,197,0.2662721152325376,6.520802675585284,299,4,22,37,0.09116712118381,7.388673355629877,299
49,65,69,165,0.28682014814364953,5.814648829431438,299,4,70,165,0.15023406829181862,5.450144927536232,299
50,170,21,217,0.08330319940036783,5.1288963210702345,299,4,85,203,0.15288839880967603,4.407023411371237,299
51,189,54,239,0.19175397147076612,5.7154069119286515,299,4,49,168,0.17493504509792002,5.01056856187291,299
52,103,10,178,0.3555795333739128,5.506176142697882,299,4,32,173,0.13529391416201592,5.150992196209588,299
53,24,77,241,0.06612946434652679,5.169453734671126,299,4,82,229,0.15536450213413067,4.595473801560758,299
54,31,29,91,0.056909679227877256,5.074247491638796,299,4,29,85,0.0899404369521881,4.311661092530658,299
55,48,60,236,0.14780955429520162,5.05752508361204,299,4,91,220,0.2232255464302062,4.315785953177257,299
56,201,31,240,0.07487420890403716,5.378216276477146,299,4,14,28,0.16846857023080963,4.148896321070234,299
57,34,13,42,0.11651091044705225,5.932931995540692,299,4,10,38,0.14732880857279898,5.079888517279822,299
58,110,13,169,0.532617531728279,5.936633221850613,299,4,51,163,0.16425297930299398,5.266778149386845,299
59,112,66,204,0.25940832098680644,6.072107023411371,299,4,72,186,0.07665284171841812,5.570323299888518,299
60,112,9,204,0.20211844392547051,5.941872909698997,299,4,27,196,0.3158567266690395,5.814425863991081,299
61,164,24,230,0.22909159349117758,5.326622073578595,299,4,15,30,0.25135759436510174,4.5257971014492755,299
62,59,59,201,0.20173462863153957,5.994247491638796,299,4,79,201,0.2917110476563123,4.753645484949833,299
63,85,35,224,0.13136117279132203,5.518037904124861,299,4,90,216,0.2967475474736534,5.164280936454849,299
64,41,27,162,0.0063428936109778036,5.489208472686734,299,4,66,162,0.14604507038244469,4.9976811594202895,299
65,193,14,235,0.2872080231030043,5.4396432552954295,299,4,58,206,0.1568417946187065,4.7098773690078035,299
66,34,48,168,0.02816546292748803,5.7215384615384615,299,4,54,167,0.029075977792983224,5.128227424749164,299
67,88,42,226,0.2125026282908904,5.924838350055741,299,4,42,202,0.036536341877486014,5.616588628762542,299
68,47,37,151,0.07225196500155302,7.276967670011148,299,4,37,126,0.04099296347060373,5.9108584169453735,299
69,145,12,233,0.08531648098086178,5.155629877369008,299,4,64,233,0.1080419031248659,4.467714604236344,299
70,76,25,95,0.04629308312842597,5.795562987736901,299,4,7,15,0.19335313161713796,4.511304347826087,299
71,68,36,180,0.2242370836507792,5.886243032329989,299,4,65,166,0.139516962369854,5.515005574136009,299
72,178,13,204,0.24847777644575098,5.3589966555183945,299,4,11,18,0.2224303587802824,4.667045707915273,299
73,49,21,233,0.13497730198591248,5.312396878483835,299,4,55,232,0.09769366104555487,4.784927536231884,299
74,77,57,221,0.046492801037664316,5.770702341137124,299,4,67,154,0.10803276609147869,5.247870680044593,299
75,57,29,74,0.06536549081582851,5.306845039018952,299,4,37,73,0.15194938296086716,4.861471571906354,299
76,147,63,217,0.021419122147799518,5.609966555183947,299,4,49,139,0.031877483369528094,5.42876254180602,299
77,152,83,254,0.3065254246261411,5.437146042363434,299,4,96,245,0.3178589755026471,4.169966555183946,299
78,128,14,203,0.4529269496471753,6.0434336677814935,299,4,55,192,0.1774349988485051,5.1003790412486065,299
79,34,84,223,0.15818448293266907,5.517257525083612,299,4,81,208,0.15363730233378398,5.237279821627648,299
80,123,102,251,0.2328871625330472,5.1464882943143815,299,4,100,232,0.10473113301986166,4.818907469342252,299
81,163,11,218,0.08312335970152053,5.314113712374582,299,4,9,15,0.1554581475074594,4.377458193979933,299
82,125,64,233,0.05571991010012398,5.232084726867336,299,4,82,224,0.09972261265548384,5.051772575250836,299
83,52,25,68,0.18357287042720993,5.786755852842809,299,4,10,22,0.12477249133926815,4.689342251950948,299
84,172,20,212,0.17532505052800595,5.621382385730212,299,4,63,209,0.33623808878250006,4.475273132664437,299
85,148,23,242,0.06270669950753174,6.402408026755853,299,4,43,237,0.11622807329505924,5.162274247491639,299
86,153,26,204,0.08296180402232481,6.253288740245262,299,4,19,37,0.14324564618088648,6.040356744704571,299
87,62,39,222,0.0280066020918544,6.040423634336678,299,4,67,176,0.058252604421261955,5.588049052396879,299
88,54,24,67,0.11344708218824763,5.638283166109253,299,4,6,12,0.09485745093988157,4.370367892976589,299
89,17,14,41,0.2576105727017034,5.235518394648829,299,4,6,14,0.3304858388541829,4.876767001114827,299
90,53,13,193,0.24605605986500345,6.006265328874025,299,4,32,148,0.14383023894538427,5.57072463768116,299
91,123,58,225,0.5526599053026077,6.457770345596432,299,4,83,198,0.20737817585440488,6.166265328874024,299
92,67,30,163,0.09886415830502684,6.339197324414716,299,4,27,133,0.15555294720002208,5.89850613154961,299
93,77,8,116,0.12000781126649136,5.2903232998885175,299,4,9,20,0.16755196703631825,5.455496098104794,299
94,96,72,213,0.022862618856058232,5.6119955406911926,299,4,82,209,0.14924816086206272,4.66876254180602,299
95,148,59,230,0.13525273917184266,5.470769230769231,299,4,67,197,0.14409951194319293,5.061114827201783,299
96,52,16,61,0.015959245621468457,5.453333333333333,299,4,16,29,0.10892141948463299,4.560936454849498,299
97,117,44,154,0.13392018314549803,5.333377926421405,299,4,14,22,0.1330070884905495,4.383076923076923,299
98,146,7,206,0.249854319337507,4.954425863991081,299,4,5,46,0.14359415497713793,4.5201783723522855,299
99,199,39,233,0.04143020908726572,5.601672240802675,299,4,5,11,0.1397123642663256,4.183879598662207,299
100,76,75,204,0.12372347867470844,5.463344481605351,299,4,79,190,0.1288147189109037,5.09453734671126,299
