Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
1,7,50,98,0.07931237843424352,5.925507246376812,299,4,53,98,0.06138633561729221,5.903478260869565,299
2,71,112,228,0.11106037693851847,5.740557413600892,299,4,157,220,0.21100712575442593,6.149030100334448,299
3,15,73,89,0.10126702582264653,5.758907469342252,299,4,73,89,0.19568613393725287,5.793801560758083,299
4,39,155,198,0.0033777031236157913,5.864347826086957,299,4,167,197,0.0004371218331467356,5.878060200668896,299
5,31,143,214,0.0819655308844683,5.711571906354515,299,4,94,146,0.07922479919818488,5.794180602006689,299
6,14,76,95,0.18033320642003792,5.820624303232999,299,4,76,95,0.039479697019064654,5.681627647714604,299
7,39,66,78,0.255255530367982,5.32644370122631,299,4,66,78,0.39631471323502454,5.403745819397994,299
8,21,146,209,0.18555812328336485,5.9851282051282055,299,4,143,202,0.2662916775003151,5.671549609810479,299
9,71,43,247,0.0936046252705008,5.918706800445931,299,4,63,245,0.05564459755054151,5.553021181716834,299
10,63,22,200,0.17200564381578176,4.721806020066889,299,4,79,200,0.04105116545020998,4.857101449275362,299
11,33,67,90,0.10544369909780744,6.5361872909699,299,4,67,90,0.06734025760742642,6.615451505016722,299
12,10,182,216,0.13128617853137267,5.352263099219621,299,4,177,210,0.13306137926771536,5.192263099219621,299
13,20,82,244,0.12474609793868413,5.624816053511705,299,4,96,240,0.054705180425831154,5.429453734671126,299
14,24,64,114,0.20614284542489636,5.895406911928651,299,4,75,111,0.17815743171730236,5.726711259754738,299
15,20,38,46,0.061874911485203445,5.486711259754738,299,4,30,42,0.2561777493743197,5.274470457079152,299
16,6,121,166,0.045090885180168044,5.809966555183946,299,4,121,166,0.053113235910708795,5.842185061315496,299
17,80,146,178,0.0025246162261069174,5.714425863991082,299,4,146,178,0.08836577395996571,5.310836120401338,299
18,18,77,140,0.1008560456845764,5.726243032329989,299,4,95,140,0.04205550719028885,5.541159420289855,299
19,52,157,220,0.03693694774549659,6.044325529542921,299,4,112,153,0.4119611661146544,7.329453734671126,299
20,40,43,56,0.009012823674503652,5.416967670011148,299,4,30,33,0.1972884074142659,4.749409141583055,299
21,16,78,95,0.1721437726505739,5.996365663322185,299,4,78,95,0.11568214502321557,5.694425863991081,299
22,28,108,216,0.16179237374423328,6.19139353400223,299,4,139,213,0.35265346899026606,6.264347826086957,299
23,10,91,192,0.15521336365338528,5.897369007803791,299,4,93,192,0.18588731428458494,5.873266443701226,299
24,11,30,31,0.19350446083072026,5.406243032329989,299,4,30,31,0.2195672640463443,5.395830546265329,299
25,57,48,190,0.2188165965645329,5.769476031215162,299,4,43,54,0.2548423975529076,5.783344481605351,299
26,32,82,256,0.3523884249828385,5.823589743589744,299,4,155,256,0.25101541425385865,5.168494983277592,299
27,13,87,145,0.006273179123515847,6.034202898550725,299,4,91,145,0.301417141250105,5.809498327759197,299
28,9,104,212,0.07425705652634519,5.225039018952063,299,4,103,204,0.13172738591372235,5.139598662207358,299
29,59,152,244,0.1126949754011122,5.044526198439242,299,4,154,244,0.20395898888217234,4.670189520624303,299
30,44,104,235,0.05366575135173719,5.006153846153846,299,4,146,235,0.1667826337732785,4.718283166109253,299
31,14,161,218,0.11013186567986182,4.734113712374582,299,4,161,218,0.1944026122129937,4.545105908584169,299
32,107,140,221,0.14470071044484203,5.562051282051282,299,4,140,217,0.2015790571478131,5.259710144927536,299
33,90,76,236,0.013813055726832193,5.0369676700111485,299,4,123,236,0.07090157712535214,4.662185061315496,299
34,25,120,202,0.38899911708237955,5.947558528428094,299,4,120,174,0.49176182312842565,5.842943143812709,299
35,7,58,76,0.05687190045479178,6.792954292084727,299,4,58,76,0.053892869494410744,6.750345596432553,299
36,14,110,130,0.07244945476523276,5.29340022296544,299,4,110,130,0.14022976931958583,5.253422519509476,299
37,42,17,139,0.4187321484698301,5.67257525083612,299,4,17,34,0.28786113303919536,5.592040133779264,299
38,10,191,223,0.029829828809561497,5.695005574136009,299,4,191,223,0.11129006999340019,5.62015607580825,299
39,26,117,245,0.39821765939322196,6.228004459308807,299,4,116,241,0.17077826088280423,6.516142697881828,299
40,58,163,245,0.10923168298892778,5.27901895206243,299,4,163,245,0.14935130696641216,5.212129319955407,299
41,80,138,251,0.0986554635765809,5.48989966555184,299,4,161,238,0.08279370277945552,5.263411371237458,299
42,28,89,230,0.21310340189195254,5.670657748049052,299,4,89,226,0.02654971176411211,5.793199554069119,299
