Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,7,6,12,0.07931237843424352,5.925507246376812,299,4,4,4,0.05492268846247487,5.8020066889632105,299,4,4,4,0.05492268846247487,5.8020066889632105,299
2,71,13,114,0.11106037693851847,5.740557413600892,299,4,3,4,0.1694757288700397,5.271282051282051,299,4,3,4,0.1694757288700397,5.271282051282051,299
3,15,7,19,0.10126702582264653,5.758907469342252,299,4,3,4,0.1655262846826877,5.8422073578595315,299,4,3,4,0.1655262846826877,5.8422073578595315,299
4,39,4,64,0.0033777031236157913,5.864347826086957,299,4,3,4,0.04975181524848675,5.447670011148272,299,4,3,4,0.04975181524848675,5.447670011148272,299
5,31,30,107,0.0819655308844683,5.711571906354515,299,4,3,4,0.19764269128135048,5.1009141583054625,299,4,3,4,0.19764269128135048,5.1009141583054625,299
6,14,4,18,0.18033320642003792,5.820624303232999,299,4,3,4,0.047596592839094315,5.517926421404682,299,4,3,4,0.047596592839094315,5.517926421404682,299
7,39,4,44,0.255255530367982,5.32644370122631,299,4,3,4,0.334669196937428,5.334269788182832,299,4,3,4,0.334669196937428,5.334269788182832,299
8,21,16,100,0.18555812328336485,5.9851282051282055,299,4,3,4,0.3801581222774505,5.653088071348941,299,4,3,4,0.3801581222774505,5.653088071348941,299
9,71,4,93,0.0936046252705008,5.918706800445931,299,4,4,4,0.19015230870020328,4.9452619843924195,299,4,4,4,0.19015230870020328,4.9452619843924195,299
10,63,3,119,0.17200564381578176,4.721806020066889,299,4,3,4,0.1032946331724879,4.515139353400223,299,4,3,4,0.1032946331724879,4.515139353400223,299
11,33,6,46,0.10544369909780744,6.5361872909699,299,4,3,4,0.06538264730109243,6.417725752508361,299,4,3,4,0.06538264730109243,6.417725752508361,299
12,10,6,13,0.13128617853137267,5.352263099219621,299,4,2,4,0.15156789377304392,5.332196209587514,299,4,2,4,0.15156789377304392,5.332196209587514,299
13,20,9,113,0.12474609793868413,5.624816053511705,299,4,3,4,0.1953942120350044,4.815161649944258,299,4,3,4,0.1953942120350044,4.815161649944258,299
14,24,8,85,0.20614284542489636,5.895406911928651,299,4,2,4,0.24224031367395926,5.292508361204013,299,4,2,4,0.24224031367395926,5.292508361204013,299
15,20,7,27,0.061874911485203445,5.486711259754738,299,4,3,4,0.2480668582249359,4.889944258639911,299,4,3,4,0.2480668582249359,4.889944258639911,299
16,6,26,59,0.045090885180168044,5.809966555183946,299,4,3,4,0.040784950680872484,6.071326644370123,299,4,3,4,0.040784950680872484,6.071326644370123,299
17,80,17,108,0.0025246162261069174,5.714425863991082,299,4,3,4,0.12376575206745477,5.0950724637681155,299,4,3,4,0.12376575206745477,5.0950724637681155,299
18,18,4,23,0.1008560456845764,5.726243032329989,299,4,2,4,0.11848036605264917,5.522497212931995,299,4,2,4,0.11848036605264917,5.522497212931995,299
19,52,7,77,0.03693694774549659,6.044325529542921,299,4,4,4,0.5410281746872174,7.405930880713489,299,4,4,4,0.5410281746872174,7.405930880713489,299
20,40,5,46,0.009012823674503652,5.416967670011148,299,4,3,4,0.16266372125658368,4.726109253065775,299,4,3,4,0.16266372125658368,4.726109253065775,299
21,16,4,18,0.1721437726505739,5.996365663322185,299,4,3,4,0.051942381063916146,5.647692307692307,299,4,3,4,0.051942381063916146,5.647692307692307,299
22,28,12,41,0.16179237374423328,6.19139353400223,299,4,3,4,0.4106141558710742,5.769698996655518,299,4,3,4,0.4106141558710742,5.769698996655518,299
23,10,21,91,0.15521336365338528,5.897369007803791,299,4,4,4,0.1406096412670806,6.357413600891862,299,4,4,4,0.1406096412670806,6.357413600891862,299
24,11,5,18,0.19350446083072026,5.406243032329989,299,4,3,4,0.20540424946353875,5.433110367892977,299,4,3,4,0.20540424946353875,5.433110367892977,299
