Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,6,7,0.07931237843424352,5.925507246376812,299,4,4,4,0.07389164931974246,5.906577480490524,299,4,4,4,0.07389164931974246,5.906577480490524,299
2,21,13,46,0.11106037693851847,5.740557413600892,299,4,4,4,0.0676469993410299,6.298862876254181,299,4,4,4,0.0676469993410299,6.298862876254181,299
3,8,7,11,0.10126702582264653,5.758907469342252,299,3,3,4,0.12776574925273682,5.832931995540691,299,3,3,4,0.12776574925273682,5.832931995540691,299
4,4,4,20,0.0033777031236157913,5.864347826086957,299,3,3,4,0.014354592615238165,5.668160535117057,299,3,3,4,0.014354592615238165,5.668160535117057,299
5,12,30,62,0.0819655308844683,5.711571906354515,299,3,3,4,0.11556341447388732,5.489877369007804,299,3,3,4,0.11556341447388732,5.489877369007804,299
6,7,4,10,0.18033320642003792,5.820624303232999,299,4,3,4,0.10084954210419031,5.723678929765886,299,4,3,4,0.10084954210419031,5.723678929765886,299
7,15,4,27,0.255255530367982,5.32644370122631,299,4,4,4,0.3657344662136266,5.635674470457079,299,4,4,4,0.3657344662136266,5.635674470457079,299
8,10,16,50,0.18555812328336485,5.9851282051282055,299,4,3,4,0.21147094501950892,6.029498327759197,299,4,3,4,0.21147094501950892,6.029498327759197,299
9,26,4,48,0.0936046252705008,5.918706800445931,299,3,4,4,0.07180233495638304,5.545150501672241,299,3,4,4,0.07180233495638304,5.545150501672241,299
10,29,3,58,0.17200564381578176,4.721806020066889,299,3,3,4,0.055843248001704496,4.921226309921962,299,3,3,4,0.055843248001704496,4.921226309921962,299
11,4,6,15,0.10544369909780744,6.5361872909699,299,4,4,4,0.10789705766039258,6.447068004459309,299,4,4,4,0.10789705766039258,6.447068004459309,299
12,4,6,8,0.13128617853137267,5.352263099219621,299,4,4,4,0.1659356649848277,5.436298773690078,299,4,4,4,0.1659356649848277,5.436298773690078,299
13,5,9,26,0.12474609793868413,5.624816053511705,299,4,4,4,0.08259103588514631,5.884437012263099,299,4,4,4,0.08259103588514631,5.884437012263099,299
