Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,31,50,104,0.07931237843424352,5.925507246376812,299,4,4,4,0.059589503159903696,4.760267558528428,299,4,4,4,0.059589503159903696,4.760267558528428,299
2,121,112,246,0.11106037693851847,5.740557413600892,299,4,4,4,0.2137896577470918,4.395161649944258,299,4,4,4,0.2137896577470918,4.395161649944258,299
3,78,73,111,0.10126702582264653,5.758907469342252,299,4,4,4,0.19800672649875628,3.586243032329989,299,4,4,4,0.19800672649875628,3.586243032329989,299
4,111,155,278,0.0033777031236157913,5.864347826086957,299,4,4,4,0.009613502838907113,5.963901895206243,299,4,4,4,0.009613502838907113,5.963901895206243,299
5,81,143,242,0.0819655308844683,5.711571906354515,299,4,4,4,0.2105172479246028,3.8854403567447044,299,4,4,4,0.2105172479246028,3.8854403567447044,299
6,44,76,115,0.18033320642003792,5.820624303232999,299,4,4,4,0.17683327640322988,3.431794871794872,299,4,4,4,0.17683327640322988,3.431794871794872,299
7,71,66,87,0.255255530367982,5.32644370122631,299,4,4,4,0.26003995493921106,3.5944035674470456,299,4,4,4,0.26003995493921106,3.5944035674470456,299
8,203,146,270,0.18555812328336485,5.9851282051282055,299,4,4,4,0.1540363849999574,5.274269788182831,299,4,4,4,0.1540363849999574,5.274269788182831,299
9,148,43,274,0.0936046252705008,5.918706800445931,299,4,4,4,0.1809058547690563,3.9292307692307693,299,4,4,4,0.1809058547690563,3.9292307692307693,299
10,206,22,279,0.17200564381578176,4.721806020066889,299,4,4,4,0.07300621245286061,5.059130434782609,299,4,4,4,0.07300621245286061,5.059130434782609,299
11,75,67,101,0.10544369909780744,6.5361872909699,299,4,4,4,0.1197590866644978,5.1178149386845035,299,4,4,4,0.1197590866644978,5.1178149386845035,299
12,107,182,246,0.13128617853137267,5.352263099219621,299,4,4,4,0.022636769033948023,4.766711259754738,299,4,4,4,0.022636769033948023,4.766711259754738,299
13,183,82,266,0.12474609793868413,5.624816053511705,299,4,4,4,0.24606845413748868,3.590546265328874,299,4,4,4,0.24606845413748868,3.590546265328874,299
14,176,64,239,0.20614284542489636,5.895406911928651,299,4,4,4,0.11630381330213237,4.731995540691193,299,4,4,4,0.11630381330213237,4.731995540691193,299
15,167,38,267,0.061874911485203445,5.486711259754738,299,4,4,4,0.2134121275546711,3.778483835005574,299,4,4,4,0.2134121275546711,3.778483835005574,299
16,27,121,179,0.045090885180168044,5.809966555183946,299,4,4,4,0.18739869108995366,3.8767670011148274,299,4,4,4,0.18739869108995366,3.8767670011148274,299
17,144,146,212,0.0025246162261069174,5.714425863991082,299,4,4,4,0.199210226463161,3.4920847268673354,299,4,4,4,0.199210226463161,3.4920847268673354,299
18,53,77,212,0.1008560456845764,5.726243032329989,299,4,4,4,0.12871540945049,4.218238573021182,299,4,4,4,0.12871540945049,4.218238573021182,299
19,168,157,253,0.03693694774549659,6.044325529542921,299,4,4,4,0.17786938611276382,4.3310367892976585,299,4,4,4,0.17786938611276382,4.3310367892976585,299
20,198,43,257,0.009012823674503652,5.416967670011148,299,4,4,4,0.12013565315511422,4.1641917502787065,299,4,4,4,0.12013565315511422,4.1641917502787065,299
21,23,78,101,0.1721437726505739,5.996365663322185,299,4,4,4,0.21281157975468346,4.425016722408027,299,4,4,4,0.21281157975468346,4.425016722408027,299
22,58,108,232,0.16179237374423328,6.19139353400223,299,4,4,4,0.07823381349055049,5.199063545150501,299,4,4,4,0.07823381349055049,5.199063545150501,299
23,38,91,256,0.15521336365338528,5.897369007803791,299,4,4,4,0.22252075768915935,3.297146042363434,299,4,4,4,0.22252075768915935,3.297146042363434,299
24,52,30,67,0.19350446083072026,5.406243032329989,299,4,4,4,0.004679981297028089,4.322764771460424,299,4,4,4,0.004679981297028089,4.322764771460424,299
25,145,48,263,0.2188165965645329,5.769476031215162,299,4,4,4,0.1303285333204792,5.249654403567447,299,4,4,4,0.1303285333204792,5.249654403567447,299
26,86,82,278,0.3523884249828385,5.823589743589744,299,4,4,4,0.216276820890817,3.677391304347826,299,4,4,4,0.216276820890817,3.677391304347826,299
27,94,87,197,0.006273179123515847,6.034202898550725,299,4,4,4,0.06844264494417836,4.458327759197324,299,4,4,4,0.06844264494417836,4.458327759197324,299
28,21,104,249,0.07425705652634519,5.225039018952063,299,4,4,4,0.17276658122970756,3.5617391304347827,299,4,4,4,0.17276658122970756,3.5617391304347827,299
29,175,152,260,0.1126949754011122,5.044526198439242,299,4,4,4,0.09172880366010917,4.639620958751394,299,4,4,4,0.09172880366010917,4.639620958751394,299
30,166,104,261,0.05366575135173719,5.006153846153846,299,4,4,4,0.1299381532346682,4.178840579710145,299,4,4,4,0.1299381532346682,4.178840579710145,299
31,165,161,274,0.11013186567986182,4.734113712374582,299,4,4,4,0.1444312607805159,3.6162541806020068,299,4,4,4,0.1444312607805159,3.6162541806020068,299
32,178,140,253,0.14470071044484203,5.562051282051282,299,4,4,4,0.13641526936438245,4.5952954292084724,299,4,4,4,0.13641526936438245,4.5952954292084724,299
33,154,76,263,0.013813055726832193,5.0369676700111485,299,4,4,4,0.1921993178530197,3.6018729096989968,299,4,4,4,0.1921993178530197,3.6018729096989968,299
34,132,120,259,0.38899911708237955,5.947558528428094,299,4,4,4,0.2614506937473037,4.954046822742475,299,4,4,4,0.2614506937473037,4.954046822742475,299
35,34,58,84,0.05687190045479178,6.792954292084727,299,4,4,4,0.1325098930628931,5.159576365663322,299,4,4,4,0.1325098930628931,5.159576365663322,299
36,145,110,247,0.07244945476523276,5.29340022296544,299,4,4,4,0.20204839340126113,3.8981270903010032,299,4,4,4,0.20204839340126113,3.8981270903010032,299
37,93,17,150,0.4187321484698301,5.67257525083612,299,4,4,4,0.0675562953521255,4.5773913043478265,299,4,4,4,0.0675562953521255,4.5773913043478265,299
38,117,191,273,0.029829828809561497,5.695005574136009,299,4,4,4,0.21491215455880985,4.055451505016722,299,4,4,4,0.21491215455880985,4.055451505016722,299
39,172,117,269,0.39821765939322196,6.228004459308807,299,4,4,4,0.07047356711559681,4.736321070234114,299,4,4,4,0.07047356711559681,4.736321070234114,299
40,192,163,263,0.10923168298892778,5.27901895206243,299,4,4,4,0.35075287240707476,3.792597547380156,299,4,4,4,0.35075287240707476,3.792597547380156,299
41,134,138,274,0.0986554635765809,5.48989966555184,299,4,4,4,0.09217486963941653,4.556767001114827,299,4,4,4,0.09217486963941653,4.556767001114827,299
42,71,89,261,0.21310340189195254,5.670657748049052,299,4,4,4,0.20404035441446844,3.9644593088071347,299,4,4,4,0.20404035441446844,3.9644593088071347,299
43,130,198,261,0.05712049727965628,5.2901226309921965,299,4,4,4,0.016647471186733556,5.420512820512821,299,4,4,4,0.016647471186733556,5.420512820512821,299
44,163,119,235,0.13013846935293302,6.263099219620959,299,4,4,4,0.11787314108889956,4.308093645484949,299,4,4,4,0.11787314108889956,4.308093645484949,299
45,65,180,276,0.002994100849694382,5.82180602006689,299,4,4,4,0.16064371964747015,3.315897435897436,299,4,4,4,0.16064371964747015,3.315897435897436,299
46,138,142,225,0.6399211574387471,6.335250836120402,299,4,4,4,0.26226308892047023,4.802118171683389,299,4,4,4,0.26226308892047023,4.802118171683389,299
47,67,132,257,0.06205337496888233,5.327045707915273,299,4,4,4,0.2614851356589476,3.8744258639910814,299,4,4,4,0.2614851356589476,3.8744258639910814,299
48,107,149,233,0.2662721152325376,6.520802675585284,299,4,4,4,0.15657322810774296,5.804994425863991,299,4,4,4,0.15657322810774296,5.804994425863991,299
49,65,124,183,0.28682014814364953,5.814648829431438,299,4,4,4,0.17425328603577805,4.024682274247492,299,4,4,4,0.17425328603577805,4.024682274247492,299
50,170,66,251,0.08330319940036783,5.1288963210702345,299,4,4,4,0.14990850716723772,3.3998216276477145,299,4,4,4,0.14990850716723772,3.3998216276477145,299
51,189,158,266,0.19175397147076612,5.7154069119286515,299,4,4,4,0.21974348512635566,3.351794871794872,299,4,4,4,0.21974348512635566,3.351794871794872,299
52,103,51,219,0.3555795333739128,5.506176142697882,299,4,4,4,0.11089656444846294,4.539509476031215,299,4,4,4,0.11089656444846294,4.539509476031215,299
53,24,184,267,0.06612946434652679,5.169453734671126,299,4,4,4,0.2093564611604386,4.068985507246377,299,4,4,4,0.2093564611604386,4.068985507246377,299
54,31,142,248,0.056909679227877256,5.074247491638796,299,4,4,4,0.2098788362801598,3.586778149386845,299,4,4,4,0.2098788362801598,3.586778149386845,299
55,48,99,263,0.14780955429520162,5.05752508361204,299,4,4,4,0.0742529382888605,5.534069119286511,299,4,4,4,0.0742529382888605,5.534069119286511,299
56,201,131,276,0.07487420890403716,5.378216276477146,299,4,4,4,0.07827653135929673,4.618127090301003,299,4,4,4,0.07827653135929673,4.618127090301003,299
57,34,66,97,0.11651091044705225,5.932931995540692,299,4,4,4,0.23066668669708323,3.5685172798216276,299,4,4,4,0.23066668669708323,3.5685172798216276,299
58,110,173,265,0.532617531728279,5.936633221850613,299,4,4,4,0.2587310463913115,4.659576365663322,299,4,4,4,0.2587310463913115,4.659576365663322,299
59,112,127,224,0.25940832098680644,6.072107023411371,299,4,4,4,0.2230865503775573,3.9928428093645483,299,4,4,4,0.2230865503775573,3.9928428093645483,299
60,112,38,257,0.20211844392547051,5.941872909698997,299,4,4,4,0.04306060470926102,6.361404682274247,299,4,4,4,0.04306060470926102,6.361404682274247,299
61,164,61,259,0.22909159349117758,5.326622073578595,299,4,4,4,0.23162544034192223,3.480891861761427,299,4,4,4,0.23162544034192223,3.480891861761427,299
62,59,160,268,0.20173462863153957,5.994247491638796,299,4,4,4,0.1882653280144747,4.489565217391305,299,4,4,4,0.1882653280144747,4.489565217391305,299
63,85,169,243,0.13136117279132203,5.518037904124861,299,4,4,4,0.11638591120515861,4.141092530657748,299,4,4,4,0.11638591120515861,4.141092530657748,299
64,41,195,249,0.0063428936109778036,5.489208472686734,299,4,4,4,0.10385564096932433,5.150769230769231,299,4,4,4,0.10385564096932433,5.150769230769231,299
65,193,34,262,0.2872080231030043,5.4396432552954295,299,4,4,4,0.1603824755690929,3.7860423634336677,299,4,4,4,0.1603824755690929,3.7860423634336677,299
66,34,116,182,0.02816546292748803,5.7215384615384615,299,4,4,4,0.08867809437488201,4.785172798216276,299,4,4,4,0.08867809437488201,4.785172798216276,299
67,88,94,258,0.2125026282908904,5.924838350055741,299,4,4,4,0.15527984885312213,4.225418060200669,299,4,4,4,0.15527984885312213,4.225418060200669,299
68,47,52,239,0.07225196500155302,7.276967670011148,299,4,4,4,0.10079888703098627,5.383612040133779,299,4,4,4,0.10079888703098627,5.383612040133779,299
69,145,34,253,0.08531648098086178,5.155629877369008,299,4,4,4,0.009276601047028465,4.296655518394648,299,4,4,4,0.009276601047028465,4.296655518394648,299
70,76,46,104,0.04629308312842597,5.795562987736901,299,4,4,4,0.14662426506442502,4.327848383500557,299,4,4,4,0.14662426506442502,4.327848383500557,299
71,68,136,199,0.2242370836507792,5.886243032329989,299,4,4,4,0.05641423888178071,3.5464882943143814,299,4,4,4,0.05641423888178071,3.5464882943143814,299
72,178,32,221,0.24847777644575098,5.3589966555183945,299,4,4,4,0.21305737571719285,4.035496098104794,299,4,4,4,0.21305737571719285,4.035496098104794,299
73,49,156,266,0.13497730198591248,5.312396878483835,299,4,4,4,0.18305793580092677,4.876833890746934,299,4,4,4,0.18305793580092677,4.876833890746934,299
74,77,186,260,0.046492801037664316,5.770702341137124,299,4,4,4,0.09730232048992607,4.413667781493868,299,4,4,4,0.09730232048992607,4.413667781493868,299
75,57,113,272,0.06536549081582851,5.306845039018952,299,4,4,4,0.10048874646625802,4.224548494983278,299,4,4,4,0.10048874646625802,4.224548494983278,299
76,147,110,273,0.021419122147799518,5.609966555183947,299,4,4,4,0.20501767366560764,3.855540691192865,299,4,4,4,0.20501767366560764,3.855540691192865,299
77,152,145,273,0.3065254246261411,5.437146042363434,299,4,4,4,0.14476522648189946,4.418818283166109,299,4,4,4,0.14476522648189946,4.418818283166109,299
78,128,25,232,0.4529269496471753,6.0434336677814935,299,4,4,4,0.10797946557494743,4.30546265328874,299,4,4,4,0.10797946557494743,4.30546265328874,299
79,34,192,252,0.15818448293266907,5.517257525083612,299,4,4,4,0.2255856855613665,3.5958082497212933,299,4,4,4,0.2255856855613665,3.5958082497212933,299
80,123,202,281,0.2328871625330472,5.1464882943143815,299,4,4,4,0.062411325441178445,4.130568561872909,299,4,4,4,0.062411325441178445,4.130568561872909,299
81,163,128,235,0.08312335970152053,5.314113712374582,299,4,4,4,0.23574190283842,3.585484949832776,299,4,4,4,0.23574190283842,3.585484949832776,299
82,125,128,246,0.05571991010012398,5.232084726867336,299,4,4,4,0.2031075549516671,3.6618283166109253,299,4,4,4,0.2031075549516671,3.6618283166109253,299
83,52,49,104,0.18357287042720993,5.786755852842809,299,4,4,4,0.16921935454080717,3.6486510590858416,299,4,4,4,0.16921935454080717,3.6486510590858416,299
84,172,94,258,0.17532505052800595,5.621382385730212,299,4,4,4,0.12981192717543058,4.414046822742475,299,4,4,4,0.12981192717543058,4.414046822742475,299
85,148,32,267,0.06270669950753174,6.402408026755853,299,4,4,4,0.24238653850823044,4.503745819397993,299,4,4,4,0.24238653850823044,4.503745819397993,299
86,153,185,266,0.08296180402232481,6.253288740245262,299,4,4,4,0.07164566718499285,4.519130434782609,299,4,4,4,0.07164566718499285,4.519130434782609,299
87,62,84,261,0.0280066020918544,6.040423634336678,299,4,4,4,0.11761332133518766,5.4109921962095875,299,4,4,4,0.11761332133518766,5.4109921962095875,299
88,54,171,246,0.11344708218824763,5.638283166109253,299,4,4,4,0.25420556732607147,4.026465997770345,299,4,4,4,0.25420556732607147,4.026465997770345,299
89,17,165,226,0.2576105727017034,5.235518394648829,299,4,4,4,0.12918597675621538,4.273600891861761,299,4,4,4,0.12918597675621538,4.273600891861761,299
90,53,85,228,0.24605605986500345,6.006265328874025,299,4,4,4,0.20971763650007147,4.063166109253066,299,4,4,4,0.20971763650007147,4.063166109253066,299
91,123,125,251,0.5526599053026077,6.457770345596432,299,4,4,4,0.13950508333480632,5.5085395763656635,299,4,4,4,0.13950508333480632,5.5085395763656635,299
92,67,79,185,0.09886415830502684,6.339197324414716,299,4,4,4,0.1478008870829322,4.892173913043478,299,4,4,4,0.1478008870829322,4.892173913043478,299
93,77,83,135,0.12000781126649136,5.2903232998885175,299,4,4,4,0.042948414344306546,4.935072463768116,299,4,4,4,0.042948414344306546,4.935072463768116,299
94,96,127,248,0.022862618856058232,5.6119955406911926,299,4,4,4,0.1610439011393705,3.925061315496098,299,4,4,4,0.1610439011393705,3.925061315496098,299
