Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
1,4,17,18,0.07931237843424352,5.925507246376812,299,4,4,4,0.16275541807345528,5.3651727982162765,299,4,4,4,0.16275541807345528,5.3651727982162765,299
2,21,37,104,0.11106037693851847,5.740557413600892,299,4,4,4,0.04260601785812435,5.540958751393534,299,4,4,4,0.04260601785812435,5.540958751393534,299
3,8,40,44,0.10126702582264653,5.758907469342252,299,3,4,4,0.20457489240527327,5.510791527313266,299,3,4,4,0.20457489240527327,5.510791527313266,299
4,4,26,71,0.0033777031236157913,5.864347826086957,299,3,4,4,0.2018237687425335,5.2898550724637685,299,3,4,4,0.2018237687425335,5.2898550724637685,299
5,12,74,111,0.0819655308844683,5.711571906354515,299,3,4,4,0.2948888028800313,5.139108138238573,299,3,4,4,0.2948888028800313,5.139108138238573,299
6,7,9,16,0.18033320642003792,5.820624303232999,299,3,4,4,0.05952365894217026,5.6462653288740245,299,3,4,4,0.05952365894217026,5.6462653288740245,299
7,15,6,52,0.255255530367982,5.32644370122631,299,4,4,4,0.4068571751431844,5.151705685618729,299,4,4,4,0.4068571751431844,5.151705685618729,299
8,10,60,104,0.18555812328336485,5.9851282051282055,299,4,4,4,0.2252298522460624,5.38365663322185,299,4,4,4,0.2252298522460624,5.38365663322185,299
9,26,11,93,0.0936046252705008,5.918706800445931,299,3,4,4,0.12855338635867525,5.739331103678929,299,3,4,4,0.12855338635867525,5.739331103678929,299
10,29,8,99,0.17200564381578176,4.721806020066889,299,3,4,4,0.11749777720702699,4.76876254180602,299,3,4,4,0.11749777720702699,4.76876254180602,299
11,4,31,48,0.10544369909780744,6.5361872909699,299,4,4,4,0.08190957090840917,5.647959866220736,299,4,4,4,0.08190957090840917,5.647959866220736,299
12,4,33,56,0.13128617853137267,5.352263099219621,299,4,4,4,0.2240529544694957,5.669721293199554,299,4,4,4,0.2240529544694957,5.669721293199554,299
13,5,35,52,0.12474609793868413,5.624816053511705,299,4,4,4,0.10388149730731817,5.666176142697882,299,4,4,4,0.10388149730731817,5.666176142697882,299
14,8,29,66,0.20614284542489636,5.895406911928651,299,3,4,4,0.2417889814391897,5.352775919732442,299,3,4,4,0.2417889814391897,5.352775919732442,299
15,10,21,26,0.061874911485203445,5.486711259754738,299,3,4,4,0.28668496680348565,4.636276477146042,299,3,4,4,0.28668496680348565,4.636276477146042,299
16,4,71,102,0.045090885180168044,5.809966555183946,299,2,4,4,0.08896824898463836,5.339108138238573,299,2,4,4,0.08896824898463836,5.339108138238573,299
17,10,33,37,0.0025246162261069174,5.714425863991082,299,4,4,4,0.13464276352020565,4.800914158305463,299,4,4,4,0.13464276352020565,4.800914158305463,299
18,4,38,60,0.1008560456845764,5.726243032329989,299,3,4,4,0.008759521613815236,6.296231884057971,299,3,4,4,0.008759521613815236,6.296231884057971,299
19,10,47,123,0.03693694774549659,6.044325529542921,299,3,4,4,0.2590506228250531,6.780847268673355,299,3,4,4,0.2590506228250531,6.780847268673355,299
20,6,14,18,0.009012823674503652,5.416967670011148,299,4,4,4,0.03563504121076427,4.883010033444816,299,4,4,4,0.03563504121076427,4.883010033444816,299
21,9,23,45,0.1721437726505739,5.996365663322185,299,3,4,4,0.06500969638023686,5.367224080267558,299,3,4,4,0.06500969638023686,5.367224080267558,299
22,12,28,37,0.16179237374423328,6.19139353400223,299,3,4,4,0.36816611247656916,5.496521739130435,299,3,4,4,0.36816611247656916,5.496521739130435,299
23,4,36,77,0.15521336365338528,5.897369007803791,299,3,4,4,0.4586289464529848,5.720200668896321,299,3,4,4,0.4586289464529848,5.720200668896321,299
24,4,14,20,0.19350446083072026,5.406243032329989,299,4,4,4,0.21117200803368064,4.908695652173913,299,4,4,4,0.21117200803368064,4.908695652173913,299
25,17,11,95,0.2188165965645329,5.769476031215162,299,3,4,4,0.2743563913748418,5.832419175027871,299,3,4,4,0.2743563913748418,5.832419175027871,299
26,5,35,76,0.3523884249828385,5.823589743589744,299,3,4,4,0.1230012364941991,5.1296098104793755,299,3,4,4,0.1230012364941991,5.1296098104793755,299
27,8,19,61,0.006273179123515847,6.034202898550725,299,3,4,4,0.024343243224434655,5.418684503901895,299,3,4,4,0.024343243224434655,5.418684503901895,299
28,7,54,110,0.07425705652634519,5.225039018952063,299,4,4,4,0.11287089043016514,4.802251950947603,299,4,4,4,0.11287089043016514,4.802251950947603,299
29,30,77,124,0.1126949754011122,5.044526198439242,299,3,4,4,0.14504769251997365,4.679219620958752,299,3,4,4,0.14504769251997365,4.679219620958752,299
30,7,75,91,0.05366575135173719,5.006153846153846,299,3,4,4,0.19110471113531347,4.534403567447046,299,3,4,4,0.19110471113531347,4.534403567447046,299
31,6,61,93,0.11013186567986182,4.734113712374582,299,3,4,4,0.10593735186555396,4.989275362318841,299,3,4,4,0.10593735186555396,4.989275362318841,299
32,37,45,122,0.14470071044484203,5.562051282051282,299,3,4,4,0.19273549108594557,5.054002229654404,299,3,4,4,0.19273549108594557,5.054002229654404,299
33,17,15,33,0.013813055726832193,5.0369676700111485,299,3,4,4,0.161075631563122,5.05835005574136,299,3,4,4,0.161075631563122,5.05835005574136,299
